Abbreviated District Name,RR,Units/Special,F1,Units/Special,F2,Units/Special,FHO,Units/Special,RCO,Units/Special
Maximum Density (units/acre),0.5,Units Per Acre,0.2,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),50,Feet,50,Feet,,Feet,,N/A,,N/A
Side Setback (ft),50,Feet,50,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),50,Feet,50,Feet,,Feet,,N/A,,N/A
Frontage (ft),300,Feet,300,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,No,,No,,,,No,,No,
Connection or Proximity to Public Transit Required,No,,No,,,,No,,No,
Max. Stories,,N/A,,N/A,,Stories,,N/A,,N/A
Max. Height (ft),30,Feet,30,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,Units Per Building,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,No,,No,
Elderly Housing Only,No,,No,,,,No,,No,
Minimum Lot Size (acres),10,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),0.5,Units Per Acre,0.2,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),50,Feet,50,Feet,,Feet,,N/A,,N/A
Side Setback (ft),50,Feet,50,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),50,Feet,50,Feet,,Feet,,N/A,,N/A
Frontage (ft),300,Feet,300,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,No,,No,,,,No,,No,
Connection or Proximity to Public Transit Required,No,,No,,,,No,,No,
Max. Stories,,N/A,,N/A,,Stories,,N/A,,N/A
Max. Height (ft),30,Feet,30,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,Units Per Building,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,
Owner Occupancy Required,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,
Minimum Lot Size (acres),2,Acres Per Treatment,5,Acres Per Treatment,25,Acres Per Treatment,,N/A,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Restricted to Only Primary Structure,No,,No,,No,,no,,no,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,,N/A,,N/A
Max. ADU Size (sq. ft.),900,Square Feet,900,Square Feet,900,Square Feet,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,,,Units/Special,,Units/Special,,,,
Mobile or Manufactured Home Park,Yes,,No,,,,No,,No,
Minimum Lot Size (acres),,N/A,,N/A,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,N/A,,N/A
Max. Units,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,
PUD Threshold #,,,,,,,,,,
PUD Allowed,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
