Abbreviated District Name,FR,Units/Special,R-5,Units/Special,R-3,Units/Special,R-1,Units/Special,RLD,Units/Special,RMD,Units/Special,RHD,Units/Special,R/O,Units/Special,HC,Units/Special,C/LI,Units/Special,LC/LI,,BS/LI,,I,,COM,,CO,,DRO,,FHO,,SRO,,APO,
Frontage (ft),200,Feet,200 from state route; 150 from town road,Alternative,150 from state route; 50 on cul-de-sac perimeter,Alternative,100 from state route; 50 from cul-de-sac perimeter,Alternative,75,Feet,50,Feet,50,Feet,,N/A,100 from state route; 75 from town road; 50 from cul-de-sac perimeter,Alternative,,Feet,150,Feet,150,Feet,150,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,15000 square feet/acre,Contextual,15000 square feet/acre,Contextual,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,35,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),28,Acres Per Treatment,5,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,0.18,Acres Per Treatment,0.11,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,0.5,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),0.07,Units Per Acre,0.4,Units Per Acre,0.67,Units Per Acre,2,Units Per Acre,4.3,Units Per Acre,11.1,Units Per Acre,18.2,Units Per Acre,2,Units Per Acre,4.3,Units Per Acre,2,Units Per Acre,2,Units Per Acre,4,Units Per Acre,0.67,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),60,Feet,80 from state route; 60 from town road,Alternative,60,Feet,80,Feet,50 from state route; 35 from town road,Alternative,35,Feet,35,Feet,50,Feet,50 from state route; 40 from town road,Alternative,50,Feet,50,Feet,50,Feet,50,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Side Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,10,Feet,10,Feet,25,Feet,10,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Rear Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,25,Feet,15,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Frontage (ft),200,Feet,200 from state route; 150 from town road,Alternative,150 from state route; 50 on cul-de-sac perimeter,Alternative,100 from state route; 50 from cul-de-sac perimeter,Alternative,75,Feet,50,Feet,50,Feet,,N/A,100 from state route; 75 from town road; 50 from cul-de-sac perimeter,Alternative,150,Feet,150,Feet,150,Feet,150,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,15000 square feet/acre,Contextual,15000 square feet/acre,Contextual,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),28,Acres Per Treatment,5,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.92,Acres Per Treatment,0.37,Acres Per Treatment,0.23,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1.5,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),0.11,Units Per Acre,0.6,Units Per Acre,1,Units Per Acre,3,Units Per Acre,3.3,Units Per Acre,8.1,Units Per Acre,13,Units Per Acre,3,Units Per Acre,6.5,Units Per Acre,3,Units Per Acre,3,Units Per Acre,2,Units Per Acre,1,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),60,Feet,80 from state route; 60 from town road,Alternative,60,Feet,80,Feet,50 from state route; 35 from town road,Alternative,35,Feet,35,Feet,50,Feet,50 from state route; 40 from town road,Alternative,50,Feet,50,Feet,50,Feet,50,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Side Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,10,Feet,10,Feet,25,Feet,10,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Rear Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,25,Feet,15,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Frontage (ft),200,Feet,200 from state route; 150 from town road,Alternative,150 from state route; 50 on cul-de-sac perimeter,Alternative,100 from state route; 50 from cul-de-sac perimeter,Alternative,75,Feet,50,Feet,50,Feet,,N/A,100 from state route; 75 from town road; 50 from cul-de-sac perimeter,Alternative,150,Feet,150,Feet,150,Feet,150,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,15000 square feet/acre,Contextual,15000 square feet/acre,Contextual,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),28,Acres Per Treatment,5,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,0.18,Acres Per Treatment,0.11,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),0.14,Units Per Acre,0.8,Units Per Acre,1.33,Units Per Acre,4,Units Per Acre,8.7,Units Per Acre,22.2,Units Per Acre,36.4,Units Per Acre,4,Units Per Acre,8.7,Units Per Acre,4,Units Per Acre,4,Units Per Acre,2,Units Per Acre,1.33,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),60,Feet,80 from state route; 60 from town road,Alternative,60,Feet,80,Feet,50 from state route; 35 from town road,Alternative,35,Feet,35,Feet,50,Feet,50 from state route; 40 from town road,Alternative,50,Feet,50,Feet,50,Feet,50,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Side Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,10,Feet,10,Feet,25,Feet,10,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Rear Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,25,Feet,15,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Frontage (ft),200,Feet,200 from state route; 150 from town road,Alternative,150 from state route; 50 on cul-de-sac perimeter,Alternative,100 from state route; 50 from cul-de-sac perimeter,Alternative,75,Feet,50,Feet,50,Feet,,N/A,100 from state route; 75 from town road; 50 from cul-de-sac perimeter,Alternative,150,Feet,150,Feet,150,Feet,150,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,15000 square feet/acre,Contextual,15000 square feet/acre,Contextual,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),28,Acres Per Treatment,5,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,0.18,Acres Per Treatment,0.11,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),0.18,Units Per Acre,1,Units Per Acre,1.33,Units Per Acre,5,Units Per Acre,10.9,Units Per Acre,27.8,Units Per Acre,45.5,Units Per Acre,4,Units Per Acre,10.9,Units Per Acre,5,Units Per Acre,4,Units Per Acre,2,Units Per Acre,1.67,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),60,Feet,80 from state route; 60 from town road,Alternative,60,Feet,80,Feet,50 from state route; 35 from town road,Alternative,35,Feet,35,Feet,50,Feet,50 from state route; 40 from town road,Alternative,50,Feet,50,Feet,50,Feet,50,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Side Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,10,Feet,10,Feet,25,Feet,10,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Rear Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,25,Feet,15,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Frontage (ft),200,Feet,200 from state route; 150 from town road,Alternative,150 from state route; 50 on cul-de-sac perimeter,Alternative,100 from state route; 50 from cul-de-sac perimeter,Alternative,75,Feet,50,Feet,50,Feet,,N/A,100 from state route; 75 from town road; 50 from cul-de-sac perimeter,Alternative,150,Feet,150,Feet,150,Feet,150,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A
