Abbreviated District Name,R,Units/Special,S,Units/Special,F,Units/Special,FHA,Units/Special
Frontage (ft),,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,,,,,No,
Connection or Proximity to Public Transit Required,,,,,,,No,
Max. Stories,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,No,
Elderly Housing Only,,,,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,Feet,,Feet,,Feet,,N/A
Side Setback (ft),,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,,Feet,,N/A
Frontage (ft),,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,,,,,No,
Connection or Proximity to Public Transit Required,,,,,,,No,
Max. Stories,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,No,
Elderly Housing Only,,,,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,Feet,,Feet,,Feet,,N/A
Side Setback (ft),,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,,Feet,,N/A
Frontage (ft),,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,,,,,No,
Connection or Proximity to Public Transit Required,,,,,,,No,
Max. Stories,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,
Elderly Housing Only,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,,,,,,
Renter Occupancy Required,,,,,,,,
Owner Occupancy Required,,,,,,,,
Elderly Housing Only,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,,,,,,,,
Max. ADU Size (%),,Percent,,Percent,,Percent,,Percent
Max. ADU Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,
PUD Threshold #,,,,,,,,
PUD Allowed,,,,,,,,
PUD requiring land conservation,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
