Abbreviated District Name,VIL,Units/Special,RES,Units/Special,RRL,Units/Special,CON,Units/Special,SWO,Units/Special,FHO,Units/Special
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),70,Percent,50,Percent,30,Percent,15,Percent,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
3-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,No,,,
Minimum Lot Size (acres),0.11,Acres Per Treatment,0.46,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,,N/A,,Acres Per Treatment
Maximum Density (units/acre),27,Units Per Acre,6.5,Units Per Acre,1.5,Units Per Acre,0.6,Units Per Acre,,N/A,,Units Per Acre
Front Setback (ft),15,Feet,20,Feet,30,Feet,40,Feet,,N/A,,Feet
Side Setback (ft),10,Feet,10,Feet,20,Feet,20,Feet,,N/A,,Feet
Rear Setback (ft),30,Feet,30,Feet,40,Feet,40,Feet,,N/A,,Feet
Frontage (ft),50,Feet,80,Feet,100,Feet,50,Feet,,N/A,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),70,Percent,50,Percent,30,Percent,15,Percent,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,Yes,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,No,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,No,,,
Minimum Lot Size (acres),0.11,Acres Per Treatment,0.46,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,,N/A,,Acres Per Treatment
Maximum Density (units/acre),36,Units Per Acre,8.7,Units Per Acre,2,Units Per Acre,0.8,Units Per Acre,,N/A,,Units Per Acre
Front Setback (ft),15,Feet,20,Feet,30,Feet,40,Feet,,N/A,,Feet
Side Setback (ft),10,Feet,10,Feet,20,Feet,20,Feet,,N/A,,Feet
Rear Setback (ft),30,Feet,30,Feet,40,Feet,40,Feet,,N/A,,Feet
Frontage (ft),50,Feet,80,Feet,100,Feet,50,Feet,,N/A,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),70,Percent,50,Percent,30,Percent,15,Percent,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,Yes,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,No,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,,,No,,,
Elderly Housing Only,No,,No,,No,,,,No,,,
Minimum Lot Size (acres),0.11,Acres Per Treatment,0.46,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,N/A,,Acres Per Treatment
Maximum Density (units/acre),45,Units Per Acre,10.9,Units Per Acre,2.5,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre
Front Setback (ft),15,Feet,20,Feet,30,Feet,,Feet,,N/A,,Feet
Side Setback (ft),10,Feet,10,Feet,20,Feet,,Feet,,N/A,,Feet
Rear Setback (ft),30,Feet,30,Feet,40,Feet,,Feet,,N/A,,Feet
Frontage (ft),50,Feet,80,Feet,100,Feet,,Feet,,N/A,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),70,Percent,50,Percent,30,Percent,,Percent,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,,,Yes,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,,,No,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Elderly Housing Only,No,,No,,No,,No,,No,N/A,No,
Minimum Lot Size (acres),0.11,Acres Per Treatment,0.46,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,,N/A,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,,N/A,30,Percent
Max. ADU Size (sq. ft.),900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,,N/A,900,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,No,,No,,No,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,Units Per Acre
Max. Units,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
