Abbreviated District Name,RR,Units/Special,RN,Units/Special,VC,Units/Special,P,Units/Special,IND,Units/Special,COM,Units/Special,LCI,Units/Special,MS,Units/Special,IC,Units/Special,IND/COM,Units/Special,FHAO,Units/Special
Minimum Lot Size (acres),1: 0.46; 2: 0.57; 3: 0.92,Alternative,1: 0.46; 2: 0.57; 3: 0.8,Alternative,0.23,Acres Per Treatment,0.2,Acres Per Treatment,,Acres Per Treatment,1: 0.46; 2: 0.57; 3: 0.92,Alternative,,Acres Per Treatment,0.23,Acres Per Treatment,0.46,Acres Per Treatment,1: 0.46; 2: 0.57; 3: 0.92,Alternative,,Acres Per Treatment
Front Setback (ft),40,Feet,40,Feet,30,Feet,30,Feet,,Feet,40,Feet,,Feet,30,Feet,40,Feet,40,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,15,Feet,10,Feet,,Feet,25,Feet,,Feet,15,Feet,25,Feet,25,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,,Feet,25,Feet,,Feet,25,Feet,25,Feet,25,Feet,,Feet
Frontage (ft),1: 100; 2: 125; 3: 150,Alternative,1: 100; 2&3: 125,Alternative,65,Feet,65,Feet,,Feet,1: 100; 2: 125; 3: 150,Alternative,,Feet,65,Feet,100,Feet,1: 100; 2: 125; 3: 150,Alternative,,Feet
Max. Lot Coverage - Buildings (%),20,Percent,20,Percent,20,Percent,20,Percent,,Percent,20,Percent,,Percent,20,Percent,20,Percent,20,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Minimum Lot Size (acres),1: 0.69; 2: 0.92; 3: 1.38,Alternative,1: 0.57; 2: 0.8; 3: 0.92,Alternative,0.34,Acres Per Treatment,0.2,Acres Per Treatment,,Acres Per Treatment,1: 0.69; 2: 0.92; 3: 1.38,Alternative,,Acres Per Treatment,0.34,Acres Per Treatment,0.69,Acres Per Treatment,1: 0.69; 2: 0.92; 3: 1.38,Alternative,,Acres Per Treatment
Maximum Density (units/acre),1: 2.9; 2: 2.2; 3: 1.45,Alternative,1: 3.5; 2: 2.5; 3: 2.2,Alternative,5.9,Units Per Acre,10,Units Per Acre,,Units Per Acre,1: 2.9; 2: 2.2; 3: 1.45,Alternative,,Units Per Acre,5.9,Units Per Acre,2.9,Units Per Acre,1: 2.9; 2: 2.2; 3: 1.45,Alternative,,Units Per Acre
Front Setback (ft),40,Feet,40,Feet,30,Feet,30,Feet,,Feet,40,Feet,,Feet,30,Feet,40,Feet,40,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,15,Feet,10,Feet,,Feet,25,Feet,,Feet,15,Feet,25,Feet,25,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,,Feet,25,Feet,,Feet,25,Feet,25,Feet,25,Feet,,Feet
Frontage (ft),1: 100; 2: 125; 3: 150,Alternative,1: 100; 2&3: 125,Alternative,65,Feet,65,Feet,,Feet,1: 100; 2: 125; 3: 150,Alternative,,Feet,65,Feet,100,Feet,1: 100; 2: 125; 3: 150,Alternative,,Feet
Max. Lot Coverage - Buildings (%),20,Percent,20,Percent,20,Percent,20,Percent,,Percent,20,Percent,,Percent,20,Percent,20,Percent,20,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,Stories,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A,,N/A,,Stories,,Stories
Max. Height (ft),,Feet,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,N/A,,N/A,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Minimum Lot Size (acres),1: 0.69; 2: 0.92; 3: 1.38,Alternative,1: 0.57; 2: 0.8; 3: 0.92,Alternative,0.34,Acres Per Treatment,0.2,Acres Per Treatment,,Acres Per Treatment,1: 0.69; 2: 0.92; 3: 1.38,Alternative,,Acres Per Treatment,0.34,Acres Per Treatment,0.69,Acres Per Treatment,1: 0.69; 2: 0.92; 3: 1.38,Alternative,,Acres Per Treatment
Maximum Density (units/acre),1: 4.3; 2: 3.3; 2.2,Alternative,1: 5.3; 2: 3.75; 3: 3.3,Alternative,8.8,Units Per Acre,15,Units Per Acre,,Units Per Acre,1: 4.3; 2: 3.3; 2.2,Alternative,,Units Per Acre,8.8,Units Per Acre,4.3,Units Per Acre,1: 4.3; 2: 3.3; 2.2,Alternative,,Units Per Acre
Front Setback (ft),40,Feet,40,Feet,30,Feet,30,Feet,,Feet,40,Feet,,Feet,30,Feet,40,Feet,40,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,15,Feet,10,Feet,,Feet,25,Feet,,Feet,15,Feet,25,Feet,25,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,,Feet,25,Feet,,Feet,25,Feet,25,Feet,25,Feet,,Feet
Frontage (ft),1: 100; 2: 125; 3: 150,Alternative,1: 100; 2&3: 125,Alternative,65,Feet,65,Feet,,Feet,1: 100; 2: 125; 3: 150,Alternative,,Feet,65,Feet,100,Feet,1: 100; 2: 125; 3: 150,Alternative,,Feet
Max. Lot Coverage - Buildings (%),20,Percent,20,Percent,20,Percent,20,Percent,,Percent,20,Percent,,Percent,20,Percent,20,Percent,20,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,Yes,,Yes,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Minimum Lot Size (acres),1: 0.69; 2: 0.92; 3: 1.38,Alternative,1: 0.57; 2: 0.8; 3: 0.92,Alternative,0.34,Acres Per Treatment,0.2,Acres Per Treatment,,Acres Per Treatment,1: 0.69; 2: 0.92; 3: 1.38,Alternative,,Acres Per Treatment,0.34,Acres Per Treatment,0.69,Acres Per Treatment,1: 0.69; 2: 0.92; 3: 1.38,Alternative,,Acres Per Treatment
Maximum Density (units/acre),1: 5.8; 2: 4.3; 3: 2.9,Alternative,1: 7; 2: 5; 3: 4.3,Alternative,11.8,Units Per Acre,20,Units Per Acre,,Units Per Acre,1: 5.8; 2: 4.3; 3: 2.9,Alternative,,Units Per Acre,11.8,Units Per Acre,5.8,Units Per Acre,1: 5.8; 2: 4.3; 3: 2.9,Alternative,,Units Per Acre
Front Setback (ft),40,Feet,40,Feet,30,Feet,30,Feet,,Feet,40,Feet,,Feet,30,Feet,40,Feet,40,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,15,Feet,10,Feet,,Feet,25,Feet,,Feet,15,Feet,25,Feet,25,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,,Feet,25,Feet,,Feet,25,Feet,25,Feet,25,Feet,,Feet
Frontage (ft),1: 100; 2: 125; 3: 150,Alternative,1: 100; 2&3: 125,Alternative,65,Feet,65,Feet,,Feet,1: 100; 2: 125; 3: 150,Alternative,,Feet,65,Feet,100,Feet,1: 100; 2: 125; 3: 150,Alternative,,Feet
Max. Lot Coverage - Buildings (%),20,Percent,20,Percent,20,Percent,20,Percent,,Percent,20,Percent,,Percent,20,Percent,20,Percent,20,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,Yes,,Yes,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Minimum Lot Size (acres),1: 0.69; 2: 0.92; 3: 1.38,Alternative,1: 0.57; 2: 0.8; 3: 0.92,Alternative,0.34,Acres Per Treatment,0.2,Acres Per Treatment,,Acres Per Treatment,1: 0.69; 2: 0.92; 3: 1.38,Alternative,,Acres Per Treatment,0.34,Acres Per Treatment,0.69,Acres Per Treatment,1: 0.69; 2: 0.92; 3: 1.38,Alternative,,Acres Per Treatment
Maximum Density (units/acre),1: 7.2; 2: 5.4; 3: 3.6,Units Per Acre,1: 8.8; 2: 6.25; 3: 5.4,Alternative,14.7,Units Per Acre,25,Units Per Acre,,Units Per Acre,1: 7.2; 2: 5.4; 3: 3.6,Units Per Acre,,Units Per Acre,14.7,Units Per Acre,7.2,Units Per Acre,1: 7.2; 2: 5.4; 3: 3.6,Units Per Acre,,Units Per Acre
Front Setback (ft),40,Feet,40,Feet,30,Feet,30,Feet,,Feet,40,Feet,,Feet,30,Feet,40,Feet,40,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,15,Feet,10,Feet,,Feet,25,Feet,,Feet,15,Feet,25,Feet,25,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,,Feet,25,Feet,,Feet,25,Feet,25,Feet,25,Feet,,Feet
Frontage (ft),1: 100; 2: 125; 3: 150,Alternative,1: 100; 2&3: 125,Alternative,65,Feet,65,Feet,,Feet,1: 100; 2: 125; 3: 150,Alternative,,Feet,65,Feet,100,Feet,1: 100; 2: 125; 3: 150,Alternative,,Feet
Max. Lot Coverage - Buildings (%),20,Percent,20,Percent,20,Percent,20,Percent,,Percent,20,Percent,,Percent,20,Percent,20,Percent,20,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,Yes,,Yes,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Renter Occupancy Required,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,Yes,,Yes,,,
Elderly Housing Only,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Minimum Lot Size (acres),1: 0.69; 2: 0.92; 3: 1.38,Alternative,1: 0.57; 2: 0.8; 3: 0.92,Alternative,0.23,Acres Per Treatment,0.2,Acres Per Treatment,,Acres Per Treatment,1: 0.46; 2: 0.57; 3: 0.92,Alternative,,Acres Per Treatment,0.23,Acres Per Treatment,0.46,Acres Per Treatment,1: 0.46; 2: 0.57; 3: 0.92,Alternative,,Acres Per Treatment
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,No,,No,,No,,No,,,,No,,,,No,,No,,No,,,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,,Percent,30,Percent,,Percent,30,Percent,30,Percent,30,Percent,,Percent
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,Yes,,Yes,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
