Abbreviated District Name,MDR,Units/Special,LD,Units/Special,RL,Units/Special,C1,Units/Special,C2,Units/Special,I,Units/Special,S,Units/Special
Front Setback (ft),25'/off-lot water +/or sewer; 75'/on-lot water+sewer,Alternative,50,Feet,50,Feet,25'/off-lot water+sewer; 75'/off-lot water/sewer or on-lot water+sewer,Alternative,25'/off-lot water +/or sewer; 75'/on-lot water+sewer,Alternative,25'/on-lot water+sewer; 75'/off-lot water/sewer and on-lot water+sewer,Alternative,200,Feet
Side Setback (ft),15'/on-lot water+sewer; 25'/off-lot water/sewer and on-lot water+sewer,Alternative,50,Feet,50,Feet,10,Feet,15'/on-lot water+sewer; 25'/off-lot water/sewer and on-lot water+sewer,Alternative,10'/on-lot water+sewer; 20'/off-lot water/sewer and on-lot water+sewer,Alternative,15,Feet
Rear Setback (ft),35'/on-lot water+sewer; 50'/off-lot water/sewer and on-lot water+sewer,Alternative,75,Feet,100,Feet,20'/off-lot water+sewer; 50'/off-lot water/sewer or on-lot water+sewer,Alternative,35'/on-lot water+sewer; 50'/off-lot water/sewer and on-lot water+sewer,Alternative,20,Feet,15,Feet
Frontage (ft),100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,400,Feet,400,Feet,100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,100'/off-lot water +/or sewer; 200'/on-lot water+sewer,Alternative,200,Feet
Max. Lot Coverage - Buildings (%),30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,,,,,,,No,,,,,
Elderly Housing Only,No,,,,,,,,No,,,,,
Minimum Lot Size (acres),0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),25'/off-lot water +/or sewer; 75'/on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,25'/off-lot water +/or sewer; 75'/on-lot water+sewer,Alternative,,Feet,,Feet
Side Setback (ft),15'/on-lot water+sewer; 25'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,15'/on-lot water+sewer; 25'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet
Rear Setback (ft),35'/on-lot water+sewer; 50'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,35'/on-lot water+sewer; 50'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet
Frontage (ft),100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,,Feet,,Feet
Max. Lot Coverage - Buildings (%),30,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,Percent,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,Stories,,Stories,,Stories,,N/A,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,,,No,,,,,
Elderly Housing Only,No,,,,,,,,No,,,,,
Minimum Lot Size (acres),0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),25'/off-lot water +/or sewer; 75'/on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,25'/off-lot water +/or sewer; 75'/on-lot water+sewer,Alternative,,Feet,,Feet
Side Setback (ft),15'/on-lot water+sewer; 25'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,15'/on-lot water+sewer; 25'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet
Rear Setback (ft),35'/on-lot water+sewer; 50'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,35'/on-lot water+sewer; 50'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet
Frontage (ft),100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,,Feet,,Feet
Max. Lot Coverage - Buildings (%),30,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,Percent,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,Stories,,Stories,,Stories,,N/A,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,,,No,,,,,
Elderly Housing Only,No,,,,,,,,No,,,,,
Minimum Lot Size (acres),0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),25'/off-lot water +/or sewer; 75'/on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,25'/off-lot water +/or sewer; 75'/on-lot water+sewer,Alternative,,Feet,,Feet
Side Setback (ft),15'/on-lot water+sewer; 25'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,15'/on-lot water+sewer; 25'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet
Rear Setback (ft),35'/on-lot water+sewer; 50'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,35'/on-lot water+sewer; 50'/off-lot water/sewer and on-lot water+sewer,Alternative,,Feet,,Feet
Frontage (ft),100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,,Feet,,Feet,,Feet,100'/off-lot water +/or sewer; 150'/on-lot water+sewer,Alternative,,Feet,,Feet
Max. Lot Coverage - Buildings (%),30,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,Percent,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,Stories,,Stories,,Stories,,N/A,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,
Elderly Housing Only,no,,no,,no,,no,,no,,no,,no,
Minimum Lot Size (acres),0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,5,Acres Per Treatment,10 acres/unit,Alternative,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,0.46 acres/off-lot water+sewer; 1.38/off-lot water or sewer; 2.75/on-lot water+sewer,Alternative,0.92,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Elderly Housing Only,no,,no,,no,,no,,no,,no,,no,
Minimum Lot Size (acres),0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,5,Acres Per Treatment,10,Acres Per Treatment,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,0.46 acres/off-lot water+sewer; 0.92/off-lot water or sewer; 1.38/on-lot water+sewer,Alternative,0.46 acres/off-lot water+sewer; 1.38/off-lot water or sewer; 2.75/on-lot water+sewer,Alternative,0.92,Acres Per Treatment
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Restricted to Only Primary Structure,no,,no,,no,,no,,no,,no,,no,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent
Max. ADU Size (sq. ft.),600,Square Feet,600,Square Feet,600,Square Feet,600,Square Feet,600,Square Feet,600,Square Feet,600,Square Feet
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,No,,No,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,
PUD Allowed,No,,Yes,,Yes,,No,,No,,No,,No,
PUD requiring land conservation,,,Yes,,Yes,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
