Abbreviated District Name,RR-1,Units/Special,RR-5,Units/Special,RC,Units/Special,AF,Units/Special,WD,Units/Special,C-I 1,Units/Special,C-I 2,Units/Special,SR,Units/Special,MHHD,Units/Special,R-7,Units/Special,R14,Units/Special,RB-14,Units/Special,CB-7,Units/Special,CBE-14,Units/Special,IND-14,Units/Special,DDRD,Units/Special,R-14,Units/Special,NR,Units/Special
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Overlay,,Prohibited,,Overlay,
3-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,,Prohibited,,Overlay,
4+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,,Prohibited,,Overlay,
5+-Family Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Overlay,,Prohibited,,Overlay,
ADUs Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Prohibited,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Overlay,,Public Hearing Required,,Overlay,
Notes - Write any explanations here.,ADUs not do not require public hearing if there is no new construction or change to the floor area of the primary structure,,ADUs not do not require public hearing if there is no new construction or change to the floor area of the primary structure,,,,ADUs not do not require public hearing if there is no new construction or change to the floor area of the primary structure,,,,,,,,"ADUs not do not require public hearing if there is no new construction or change to the floor area of the primary structure, dimensions vary based on connectivity to public water and sewer, info provided is for public water and sewage (see page 32 of bylaws for more info)",,"ADUs not do not require public hearing if there is no new construction or change to the floor area of the primary structure, multifamily dwelling can only be contrusted as a part of a PUD",,,,,,,,,,,,Multifamily dwellings could be included as accessory uses in a PUD,,,,Multifamily dwellings could be included as accessory uses in a PUD,,"Uses vary based on base district (no residential development over RC, only one and two family allowed over CI-1, and multifamily and PUD conditional over RR-1)",
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,5,Acres Per Treatment,,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,2,Acres Per Treatment,0.16,Acres Per Treatment,0.32,Acres Per Treatment,0.32,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Front Setback (ft),50,Feet,75,Feet,,Feet,75,Feet,,Feet,,Feet,,Feet,25,Feet,50,Feet,25,Feet,40,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),30,Feet,50,Feet,,Feet,50,Feet,,Feet,,Feet,,Feet,15,Feet,30,Feet,20,Feet,30,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,,Feet,50,Feet,,Feet,,Feet,,Feet,25,Feet,50,Feet,30,Feet,20,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),150,Feet,300,Feet,,Feet,300,Feet,,Feet,,Feet,,Feet,70,Feet,150,Feet,70,Feet,100,Feet,100,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),15,Percent,5,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,20,Percent,15,Percent,33,Percent,15,Percent,25,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,35,Feet,,Feet,35,Feet,,Feet,,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,,,,,,,,,,,,
Elderly Housing Only,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,,,,,,,,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,5,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,2,Acres Per Treatment,0.16,Acres Per Treatment,,Acres Per Treatment,0.32,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),6,Units Per Acre,0.2,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,4,Units Per Acre,0.5,Units Per Acre,6.25,Units Per Acre,,Units Per Acre,6.25,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,75,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,50,Feet,25,Feet,,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),30,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15,Feet,50,Feet,20,Feet,,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,50,Feet,30,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),150,Feet,300,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,70,Feet,200,Feet,70,Feet,,Feet,100,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),15,Percent,5,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,20,Percent,10,Percent,33,Percent,,Percent,25,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,35,Feet,35,Feet,,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Elderly Housing Only,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,5,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,2,Acres Per Treatment,0.16,Acres Per Treatment,,Acres Per Treatment,0.32,Acres Per Treatment,0.16,Acres Per Treatment,0.32,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),6,Units Per Acre,0.2,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,4,Units Per Acre,0.5,Units Per Acre,6.25,Units Per Acre,,Units Per Acre,6.25,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,75,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,50,Feet,25,Feet,,Feet,30,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),30,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15,Feet,50,Feet,20,Feet,,Feet,50,Feet,12,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,50,Feet,30,Feet,,Feet,20,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),150,Feet,300,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,70,Feet,200,Feet,70,Feet,,Feet,100,Feet,70,Feet,100,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),15,Percent,5,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,20,Percent,10,Percent,33,Percent,,Percent,25,Percent,50,Percent,25,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,35,Feet,35,Feet,,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Elderly Housing Only,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,5,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,2,Acres Per Treatment,0.16,Acres Per Treatment,,Acres Per Treatment,0.32,Acres Per Treatment,0.16,Acres Per Treatment,0.32,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),6,Units Per Acre,0.2,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,4,Units Per Acre,0.5,Units Per Acre,6.25,Units Per Acre,,Units Per Acre,6.25,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,75,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,50,Feet,25,Feet,,Feet,30,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),30,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15,Feet,50,Feet,20,Feet,,Feet,50,Feet,12,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,50,Feet,30,Feet,,Feet,20,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),150,Feet,300,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,70,Feet,200,Feet,70,Feet,,Feet,100,Feet,70,Feet,100,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),15,Percent,5,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,20,Percent,10,Percent,33,Percent,,Percent,25,Percent,50,Percent,25,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,35,Feet,35,Feet,,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Elderly Housing Only,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),1,Acres Per Treatment,5,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,2,Acres Per Treatment,0.16,Acres Per Treatment,,Acres Per Treatment,0.32,Acres Per Treatment,0.16,Acres Per Treatment,0.32,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),6,Units Per Acre,0.2,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,4,Units Per Acre,0.5,Units Per Acre,6.25,Units Per Acre,,Units Per Acre,6.25,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,75,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,50,Feet,25,Feet,,Feet,30,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),30,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15,Feet,50,Feet,20,Feet,,Feet,50,Feet,12,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,50,Feet,30,Feet,,Feet,20,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),150,Feet,300,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,70,Feet,200,Feet,70,Feet,,Feet,100,Feet,70,Feet,100,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),15,Percent,5,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,20,Percent,10,Percent,33,Percent,,Percent,25,Percent,50,Percent,25,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,No,,No,,,,,,,,,,,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
