Abbreviated District Name,IND,Units/Special,COM/IND,Units/Special,COM,Units/Special,R-HD,Units/Special,R-MD,Units/Special,R-1,Units/Special,R-2,Units/Special,RR,Units/Special,SD,Units/Special,SL,Units/Special,VC/DL,Units/Special,VR-1/DL,Units/Special,VR-2/DL,Units/Special,VC/DC,Units/Special,VR/DC,Units/Special,VR-MF/DC,Units/Special,SPA,Units/Special
2-Family Allowed?,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,
3-Family Allowed?,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,
4+-Family Allowed?,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,
5+-Family Allowed?,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,
ADUs Allowed?,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,
Affordable Housing Allowed?,Prohibited,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Overlay,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,
Notes - Write any explanations here.,,,,,Lot classification: 1) Off-site Water AND off-site Sewer; 2) Either on-site Water OR on-site Sewer; 3) On-site Water AND on-site Sewer,,Lot classification: 1) Off-site Water AND off-site Sewer; 2) Either on-site Water OR on-site Sewer; 3) On-site Water AND on-site Sewer,,,,,,,,,,Where applicable the yard abutting the shoreline is considered the Front Yard for setbacks.,,,,Multi-famly dwelings are only permitted when above street level. Lot classification: 1) Off-site Water AND off-site Sewer; 2) Either on-site Water OR on-site Sewer; 3) On-site Water AND on-site Sewer.,,Lot classification: 1) Off-site Water AND off-site Sewer; 2) Either on-site Water OR on-site Sewer; 3) On-site Water AND on-site Sewer,,Lot classification: 1) Off-site Water AND off-site Sewer; 2) Either on-site Water OR on-site Sewer; 3) On-site Water AND on-site Sewer,,Lot classification: 1) Off-site Water AND off-site Sewer; 2) Either on-site Water OR on-site Sewer; 3) On-site Water AND on-site Sewer,,Lot classification: 1) Off-site Water AND off-site Sewer; 2) Either on-site Water OR on-site Sewer; 3) On-site Water AND on-site Sewer,,All site plans for multi-family housing shall include 500 square feet of common open space per housing unit.,,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1: 0.11; 2&3: 0.23,Alternative,0.23,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,0.23,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.34; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,0.29,Acres Per Treatment,,N/A
Front Setback (ft),,Feet,,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,25,Feet,50,Feet,,Feet,30,Feet,10,Feet,30,Feet,30,Feet,30,Feet,,N/A
Side Setback (ft),,Feet,,Feet,,Feet,20,Feet,20,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,20,Feet,10,Feet,10,Feet,20,Feet,20,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,25,Feet,10,Feet,20,Feet,25,Feet,20,Feet,,N/A
Frontage (ft),,Feet,,Feet,,Feet,1: 100; 2&3: 150,Alternative,150,Feet,150,Feet,200,Feet,200,Feet,100,Feet,200,Feet,,Feet,100,Feet,100,Feet,100,Feet,100,Feet,100,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,20,Percent
Minimum Parking Spaces,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A
Max. Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1: 0.11; 2&3: 0.23,Alternative,0.23,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,5,Acres Per Treatment,0.23,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.34; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,0.29,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,1: 18.2; 2&3: 8.7,Alternative,8.7,Units Per Acre,2,Units Per Acre,1,Units Per Acre,0.4,Units Per Acre,8.7,Units Per Acre,0.2,Units Per Acre,,Units Per Acre,1&2: 6.9; 3: 4.3,Units Per Acre,1&2: 6.9; 3: 4.3,Units Per Acre,1&2: 5.9; 3: 4.3,Alternative,1&2: 6.9; 3: 4.3,Units Per Acre,6.9,Units Per Acre,,N/A
Front Setback (ft),,Feet,,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,25,Feet,50,Feet,,Feet,30,Feet,10,Feet,30,Feet,30,Feet,30,Feet,,N/A
Side Setback (ft),,Feet,,Feet,,Feet,20,Feet,20,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,20,Feet,10,Feet,10,Feet,20,Feet,20,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,25,Feet,10,Feet,20,Feet,25,Feet,20,Feet,,N/A
Frontage (ft),,Feet,,Feet,,Feet,1: 100; 2&3: 150,Alternative,150,Feet,150,Feet,200,Feet,200,Feet,100,Feet,200,Feet,,Feet,100,Feet,100,Feet,100,Feet,100,Feet,100,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,20,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A
Max. Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,,,No,,No,,No,,No,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,1&2: 0.23; 3: 0.46,Alternative,1: 0.11; 2&3: 0.23,Alternative,0.23,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.34; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,0.29,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,1&2: 13; 3: 6.5,Units Per Acre,1: 27.3; 2&3: 13,Alternative,13,Units Per Acre,3,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,1&2: 10.3; 3: 6.5,Alternative,1&2: 10.3; 3: 6.5,Alternative,1&2: 10.3; 3: 6.5,Alternative,1&2: 8.6; 3: 6.5,Alternative,1&2: 10.3; 3: 6.5,Alternative,10.3,Units Per Acre,,N/A
Front Setback (ft),,Feet,,Feet,25,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,30,Feet,10,Feet,30,Feet,30,Feet,30,Feet,,N/A
Side Setback (ft),,Feet,,Feet,10,Feet,20,Feet,20,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,20,Feet,10,Feet,10,Feet,20,Feet,20,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,10,Feet,25,Feet,25,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,25,Feet,10,Feet,20,Feet,25,Feet,20,Feet,,N/A
Frontage (ft),,Feet,,Feet,100,Feet,1: 100; 2&3: 150,Alternative,150,Feet,150,Feet,,Feet,,Feet,,Feet,,Feet,100,Feet,100,Feet,100,Feet,100,Feet,100,Feet,100,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,20,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,,,,,No,,No,,No,,No,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,
Max. Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,75,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,No,,No,,No,,No,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,1&2: 0.23; 3: 0.46,Alternative,1: 0.11; 2&3: 0.23,Alternative,0.23,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.34; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,0.29,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,1&2: 17.4; 3: 8.7,Units Per Acre,1: 36.4; 2&3: 17.4,Alternative,17.4,Units Per Acre,4,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,1&2: 13.8; 3: 8.7,Alternative,1&2: 13.8; 3: 8.7,Alternative,1&2: 13.8; 3: 8.7,Alternative,1&2: 11.8; 3: 8.7,Alternative,1&2: 13.8; 3: 8.7,Alternative,13.8,Units Per Acre,,N/A
Front Setback (ft),,Feet,,Feet,25,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,30,Feet,10,Feet,30,Feet,30,Feet,30,Feet,,N/A
Side Setback (ft),,Feet,,Feet,10,Feet,20,Feet,20,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,20,Feet,10,Feet,10,Feet,20,Feet,20,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,10,Feet,25,Feet,25,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,25,Feet,10,Feet,20,Feet,25,Feet,20,Feet,,N/A
Frontage (ft),,Feet,,Feet,100,Feet,1: 100; 2&3: 150,Alternative,150,Feet,150,Feet,,Feet,,Feet,,Feet,,Feet,100,Feet,100,Feet,100,Feet,100,Feet,100,Feet,100,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,20,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,,,,,No,,No,,No,,No,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,
Max. Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,75,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,No,,No,,No,,No,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,1&2: 0.23; 3: 0.46,Alternative,1: 0.11; 2&3: 0.23,Alternative,0.23,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,1&2: 0.34; 3: 0.46,Alternative,1&2: 0.29; 3: 0.46,Alternative,0.29,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,1&2: 21.7; 3: 10.9,Units Per Acre,1: 45.5; 2&3: 21.7,Alternative,21.7,Units Per Acre,5,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,1&2: 17.2; 3: 10.7,Alternative,1&2: 17.2; 3: 10.7,Alternative,1&2: 17.2; 3: 10.7,Alternative,1&2: 14.7; 3: 10.9,Alternative,1&2: 17.2; 3: 10.7,Alternative,17.2,Units Per Acre,,N/A
Front Setback (ft),,Feet,,Feet,25,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,30,Feet,10,Feet,30,Feet,30,Feet,30,Feet,,N/A
Side Setback (ft),,Feet,,Feet,10,Feet,20,Feet,20,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,20,Feet,10,Feet,10,Feet,20,Feet,20,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,10,Feet,25,Feet,25,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,25,Feet,10,Feet,20,Feet,25,Feet,20,Feet,,N/A
Frontage (ft),,Feet,,Feet,100,Feet,1: 100; 2&3: 150,Alternative,150,Feet,150,Feet,,Feet,,Feet,,Feet,,Feet,100,Feet,100,Feet,100,Feet,100,Feet,100,Feet,100,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,20,Percent
