Abbreviated District Name,A/R,Units/Special,HDR,Units/Special,V R/C,Units/Special,G R/C,Units/Special,V/C,Units/Special,C,Units/Special,I/C,Units/Special,MHP,Units/Special,JC,Units/Special,VD,Units/Special,SPO,Units/Special,FHO,Units/Special
Rear Setback (ft),20,Feet,15,Feet,15,Feet,15,Feet,,Feet,,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),100,Feet,75,Feet,75,Feet,75,Feet,,Feet,,Feet,,Feet,100,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),30,Percent,40,Percent,60,Percent,60,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,,,,,,,,,,,,,,,No,
Elderly Housing Only,,,No,,No,,No,,,,,,,,,,,,,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.67,Acres Per Treatment,0.34,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,4.5,Units Per Acre,9,Units Per Acre,9,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,Feet,35,Feet,10,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),,Feet,15,Feet,15,Feet,15,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),,Feet,75,Feet,75,Feet,75,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,40,Percent,60,Percent,60,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,,,,,,,,,,,,,,,No,
Max. Stories,,Stories,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,No,,,,,,,,,,,,,,,,No,
Elderly Housing Only,,,No,,No,,No,,,,,,,,,,,,,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.67,Acres Per Treatment,0.46,Acres Per Treatment,0.46,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,6,Units Per Acre,9,Units Per Acre,9,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,Feet,35,Feet,10,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),,Feet,15,Feet,15,Feet,15,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),,Feet,75,Feet,75,Feet,75,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,40,Percent,60,Percent,60,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,,,,,,,,,,,,,,,No,
Max. Stories,,Stories,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,No,,,,,,,,,,,,,,,,No,
Elderly Housing Only,,,No,,No,,No,,,,,,,,,,,,,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.67,Acres Per Treatment,0.57,Acres Per Treatment,0.46,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,7.5,Units Per Acre,9,Units Per Acre,9,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,Feet,35,Feet,10,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),,Feet,15,Feet,15,Feet,15,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),,Feet,75,Feet,75,Feet,75,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,40,Percent,60,Percent,60,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,,,,,,,,,,,,,,,No,
Max. Stories,,Stories,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,No,
Minimum Lot Size (acres),1,Acres Per Treatment,0.67,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,0.33,Acres Per Treatment,0.33,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,No,
Max. ADU Size (%),75,Percent,75,Percent,75,Percent,75,Percent,75,Percent,75,Percent,75,Percent,75,Percent,,Percent,,Percent,,Percent,,N/A
Max. ADU Size (sq. ft.),1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,2,Bedrooms Per Unit,2,Bedrooms Per Unit,2,Bedrooms Per Unit,2,Bedrooms Per Unit,2,Bedrooms Per Unit,2,Bedrooms Per Unit,2,Bedrooms Per Unit,2,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,,,,,No,,No,,No,,Yes,,No,,No,,,,No,
Minimum Lot Size (acres),,N/A,,N/A,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,10,Acres Per Treatment,,N/A,,N/A,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A
Max. Units,,,,,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
