Abbreviated District Name,CR,Units/Special,VC,Units/Special,RDI,Units/Special,RDII,Units/Special,REC,Units/Special,HD,Units/Special
Minimum Parking Spaces,,Spaces Per Unit,,N/A,3,Spaces Per Unit,3,Spaces Per Unit,3,Spaces Per Unit,3,Spaces Per Unit
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,,N/A,,N/A
Floor to Area Ratio,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.5,Acres Per Treatment,3,Acres Per Treatment,10,Acres Per Treatment,1.5,Acres Per Treatment,0.5,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),,Feet,50,Feet,65,Feet,75,Feet,65,Feet,50,Feet
Side Setback (ft),,Feet,25,Feet,40,Feet,50,Feet,40,Feet,25,Feet
Rear Setback (ft),,Feet,25,Feet,40,Feet,50,Feet,40,Feet,25,Feet
Frontage (ft),,Feet,100,Feet,250,Feet,250,Feet,200,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,N/A,3,Spaces Per Unit,3,Spaces Per Unit,3,Spaces Per Unit,3,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,N/A,3,Spaces Per Unit,3,Spaces Per Unit,3,Spaces Per Unit,3,Spaces Per Unit
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,,N/A,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,,,,,,
Elderly Housing Only,,,No,,No,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,0.5,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,50,Feet,65,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,40,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,40,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,100,Feet,250,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,N/A,3,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,N/A,3,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,No,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,No,,,,,,,
Max. Stories,,Stories,,N/A,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,,,,,,
Elderly Housing Only,,,No,,No,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,0.5,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,50,Feet,65,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,40,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,40,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,100,Feet,250,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,N/A,3,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,N/A,3,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,No,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,No,,,,,,,
Max. Stories,,Stories,,N/A,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,,,,,,
Elderly Housing Only,,,No,,No,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,0.5,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,50,Feet,65,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,40,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,40,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,100,Feet,250,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,N/A,3,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,N/A,3,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,No,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,No,,,,,,,
Max. Stories,,Stories,,N/A,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,No,,No,,No,,No,,No,
Renter Occupancy Required,,,No,,No,,No,,No,,No,
Owner Occupancy Required,,,No,,No,,No,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,,,Yes,,Yes,,Yes,,Yes,,Yes,
Max. ADU Size (%),,Percent,50,Percent,50,Percent,50,Percent,50,Percent,50,Percent
Max. ADU Size (sq. ft.),,Square Feet,1500,Square Feet,1500,Square Feet,1500,Square Feet,1500,Square Feet,1500,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,Yes,,Yes,,,,No,,Yes,
Minimum Lot Size (acres),,Acres Per Treatment,,N/A,,N/A,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,1,Units Per Acre,1,Units Per Acre,,Units Per Acre,1,Units Per Acre,1,Units Per Acre
Max. Units,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,No,,No,,,,No,,No,
PUD Threshold #,,,,,,,,,,,,
PUD Allowed,No,,Yes,,Yes,,No,,Yes,,Yes,
PUD requiring land conservation,,,Yes,,Yes,,,,Yes,,Yes,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
