Abbreviated District Name,DWN,Units/Special,MU,Units/Special,NH,Units/Special,R-1,Units/Special,CAM,Units/Special,CI,Units/Special,CFP,Units/Special,DRO,Units/Special
Notes - Write any explanations here.,,,,,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,0.09,Acres Per Treatment,0.09,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Front Setback (ft),,Feet,,N/A,12,Feet,20,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),,Feet,4,Feet,8,Feet,8,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),,Feet,8,Feet,12,Feet,12,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),,Feet,30,Feet,45,Feet,120,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,80,Percent,80,Percent,80,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces,,Spaces Per Unit,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Max. Stories,,Stories,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,Feet,48,Feet,48,Feet,48,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,,,,,,No,
Elderly Housing Only,No,,No,,No,,No,,,,,,,,No,
Minimum Lot Size (acres),0.09,Acres Per Treatment,0.09,Acres Per Treatment,0.09,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),22.2,Units Per Acre,22.2,Units Per Acre,22.2,Units Per Acre,2,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,N/A,,N/A,12,Feet,20,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),,N/A,4,Feet,8,Feet,8,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),,N/A,8,Feet,12,Feet,12,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),30,Feet,30,Feet,45,Feet,120,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),100,Percent,80,Percent,80,Percent,80,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),60,Feet,48,Feet,48,Feet,48,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,,,,,,No,
Elderly Housing Only,No,,No,,No,,No,,,,,,,,No,
Minimum Lot Size (acres),0.09,Acres Per Treatment,0.09,Acres Per Treatment,0.09,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),33.3,Units Per Acre,33.2,Units Per Acre,33.3,Units Per Acre,3,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,N/A,,N/A,12,Feet,20,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),,N/A,4,Feet,8,Feet,8,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),,N/A,8,Feet,12,Feet,12,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),30,Feet,30,Feet,45,Feet,120,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),100,Percent,80,Percent,80,Percent,80,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,,,,,,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),60,Feet,48,Feet,48,Feet,48,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,,,,,,,No,
Elderly Housing Only,No,,No,,No,,No,,,,,,,,No,
Minimum Lot Size (acres),0.09,Acres Per Treatment,0.09,Acres Per Treatment,0.09,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),44.4,Units Per Acre,44.4,Units Per Acre,44.4,Units Per Acre,4,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,N/A,,N/A,12,Feet,20,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),,N/A,4,Feet,8,Feet,8,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),,N/A,8,Feet,12,Feet,12,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),30,Feet,30,Feet,45,Feet,120,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),100,Percent,80,Percent,80,Percent,80,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,,,,,,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),60,Feet,48,Feet,48,Feet,48,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,No,,No,,,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,,,No,
Minimum Lot Size (acres),0.09,Acres Per Treatment,0.09,Acres Per Treatment,0.09,Acres Per Treatment,1,Acres Per Treatment,,N/A,0.23,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),55.5,Units Per Acre,55.5,Units Per Acre,55.5,Units Per Acre,5,Units Per Acre,,N/A,21.7,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,N/A,,N/A,12,Feet,20,Feet,20,Feet,16,Feet,,Feet,,N/A
Side Setback (ft),,N/A,4,Feet,8,Feet,8,Feet,20,Feet,12,Feet,,Feet,,N/A
Rear Setback (ft),,N/A,8,Feet,12,Feet,12,Feet,20,Feet,12,Feet,,Feet,,N/A
Frontage (ft),30,Feet,30,Feet,45,Feet,120,Feet,,N/A,60,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),100,Percent,80,Percent,80,Percent,80,Percent,60,Percent,80,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,No,,No,,,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),60,Feet,48,Feet,48,Feet,48,Feet,60,Feet,48,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,,,,,,,No,
Renter Occupancy Required,No,,No,,No,,No,,,,,,,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,
Elderly Housing Only,No,,No,,No,,No,,,,,,,,No,
Minimum Lot Size (acres),0.09,Acres Per Treatment,0.09,Acres Per Treatment,0.09,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,,,,,,,No,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,,Percent,,Percent,,Percent,30,Percent
Max. ADU Size (sq. ft.),1400,Square Feet,1400,Square Feet,1400,Square Feet,1400,Square Feet,,Square Feet,,Square Feet,,Square Feet,1400,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Max. Units,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
