Abbreviated District Name,V,Units/Special,NR,Units/Special,L,Units/Special,RR,Units/Special,I,Units/Special,RL,Units/Special,CL,Units/Special,SO,Units/Special
Notes - Write any explanations here.,,,Class 1: both municipal water and municipal sewer; Class 2: either municipal water or municipal sewer but not both.,,,,,,Class 1: both municipal water and municipal sewer; Class 2: either municipal water or municipal sewer but not both; Class 3: neither municipal water nor municipal sewer.,,,,,,"A 30-foot vegetative buffer, consisting of grass, shrubs and/or trees, shall be maintained adjacent to the shoreline",
1-Family Dimensions,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),0.21,Acres Per Treatment,Class 1: 0.34; Class 2: 0.92,Acres Per Treatment,0.46,Acres Per Treatment,2,Acres Per Treatment,Class 1: 0.46; Class 2: 1.38; Class 3: 2.75,Alternative,5,Acres Per Treatment,,Acres Per Treatment,,N/A
Front Setback (ft),15,Feet,25,Feet,30,Feet,50,Feet,Class 1: 20; Class 2: 50; Class 3: 75,Alternative,50,Feet,,Feet,,N/A
Side Setback (ft),10,Feet,Class 1: 15; Class 2: 25,Alternative,30,Feet,50,Feet,Class 1: 10; Class 2: 20; Class 3: 50,Alternative,50,Feet,,Feet,,N/A
Rear Setback (ft),15,Feet,Class 1: 35; Class 2: 50,Alternative,30,Feet,50,Feet,Class 1: 20; Class 2: 20; Class 3: 75,Alternative,100,Feet,,Feet,,N/A
Frontage (ft),80,Feet,Class 1: 100; Class 2: 120,Alternative,120,Feet,200,Feet,Class 1: 100; Class 2: 100; Class 3: 300,Alternative,300,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),40,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,,,No,,,,,,,,No,
Elderly Housing Only,No,,No,,,,No,,,,,,,,No,
Minimum Lot Size (acres),0.21,Acres Per Treatment,Class 1: 0.34; Class 2: 0.92,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,Class 1: 0.46; Class 2: 1.38; Class 3: 2.75,Alternative,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),9.5,Units Per Acre,Class 1: 5.9; Class 2: 2.2,Units Per Acre,,Units Per Acre,1,Units Per Acre,Class 1: 4.3; Class 2: 1.4; Class 3: 0.73,Alternative,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),15,Feet,25,Feet,,Feet,50,Feet,Class 1: 20; Class 2: 50; Class 3: 75,Alternative,,Feet,,Feet,,N/A
Side Setback (ft),10,Feet,Class 1: 15; Class 2: 25,Alternative,,Feet,50,Feet,Class 1: 10; Class 2: 20; Class 3: 50,Alternative,,Feet,,Feet,,N/A
Rear Setback (ft),15,Feet,Class 1: 35; Class 2: 50,Alternative,,Feet,50,Feet,Class 1: 20; Class 2: 20; Class 3: 75,Alternative,,Feet,,Feet,,N/A
Frontage (ft),80,Feet,Class 1: 100; Class 2: 120,Alternative,,Feet,200,Feet,Class 1: 100; Class 2: 100; Class 3: 300,Alternative,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,N/A,,N/A,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,N/A,,N/A,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,Stories,,N/A,,N/A,,Stories,,Stories,,N/A
Max. Height (ft),40,Feet,,N/A,,Feet,,N/A,,N/A,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,Ratio,,N/A,,N/A,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,,,,,No,,No,,,,,,No,
Elderly Housing Only,No,,,,,,No,,No,,,,,,No,
Minimum Lot Size (acres),0.21,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,Class 1: 0.46; Class 2: 1.38; Class 3: 2.75,Alternative,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),14.3,Units Per Acre,,Units Per Acre,,Units Per Acre,1.5,Units Per Acre,Class 1: 6.5; Class 2: 2.2; Class 3: 1.1,Alternative,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),15,Feet,,Feet,,Feet,50,Feet,Class 1: 20; Class 2: 50; Class 3: 75,Alternative,,Feet,,Feet,,N/A
Side Setback (ft),10,Feet,,Feet,,Feet,50,Feet,Class 1: 10; Class 2: 20; Class 3: 50,Alternative,,Feet,,Feet,,N/A
Rear Setback (ft),15,Feet,,Feet,,Feet,50,Feet,Class 1: 20; Class 2: 20; Class 3: 75,Alternative,,Feet,,Feet,,N/A
Frontage (ft),80,Feet,,Feet,,Feet,200,Feet,Class 1: 100; Class 2: 100; Class 3: 300,Alternative,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A,,N/A,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A,,N/A,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,Yes,,,,,,Yes,,Yes,,,,,,Yes,
Connection or Proximity to Public Transit Required,No,,,,,,No,,No,,,,,,No,
Max. Stories,,N/A,,Stories,,Stories,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),40,Feet,,Feet,,Feet,,N/A,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,No,,No,,,,,,No,
Elderly Housing Only,No,,,,,,No,,No,,,,,,No,
Minimum Lot Size (acres),0.21,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.5,Acres Per Treatment,Class 1: 0.46; Class 2: 1.38; Class 3: 2.75,Alternative,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),19,Units Per Acre,,Units Per Acre,,Units Per Acre,2,Units Per Acre,Class 1: 8.7; Class 2: 2.9; Class 3: 1.5,Alternative,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),15,Feet,,Feet,,Feet,50,Feet,Class 1: 20; Class 2: 50; Class 3: 75,Alternative,,Feet,,Feet,,N/A
Side Setback (ft),10,Feet,,Feet,,Feet,50,Feet,Class 1: 10; Class 2: 20; Class 3: 50,Alternative,,Feet,,Feet,,N/A
Rear Setback (ft),15,Feet,,Feet,,Feet,50,Feet,Class 1: 20; Class 2: 20; Class 3: 75,Alternative,,Feet,,Feet,,N/A
Frontage (ft),80,Feet,,Feet,,Feet,200,Feet,Class 1: 100; Class 2: 100; Class 3: 300,Alternative,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A,,N/A,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A,,N/A,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,Yes,,,,,,Yes,,Yes,,,,,,Yes,
Connection or Proximity to Public Transit Required,No,,,,,,No,,No,,,,,,No,
Max. Stories,,N/A,,Stories,,Stories,,N/A,,N/A,,Stories,,Stories,,N/A
Max. Height (ft),40,Feet,,Feet,,Feet,,N/A,,N/A,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A,,N/A,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,No,,No,,,,,,No,
Elderly Housing Only,No,,,,,,No,,No,,,,,,No,
Minimum Lot Size (acres),0.21,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,Class 1: 0.46; Class 2: 1.38; Class 3: 2.75,Alternative,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),23.8,Units Per Acre,,Units Per Acre,,Units Per Acre,2.5,Units Per Acre,Class 1: 10.9; Class 2: 3.6; Class 3: 1.8,Alternative,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),15,Feet,,Feet,,Feet,50,Feet,Class 1: 20; Class 2: 50; Class 3: 75,Alternative,,Feet,,Feet,,N/A
Side Setback (ft),10,Feet,,Feet,,Feet,50,Feet,Class 1: 10; Class 2: 20; Class 3: 50,Alternative,,Feet,,Feet,,N/A
Rear Setback (ft),15,Feet,,Feet,,Feet,50,Feet,Class 1: 20; Class 2: 20; Class 3: 75,Alternative,,Feet,,Feet,,N/A
Frontage (ft),80,Feet,,Feet,,Feet,200,Feet,Class 1: 100; Class 2: 100; Class 3: 300,Alternative,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A,,N/A,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A,,N/A,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,Yes,,,,,,Yes,,Yes,,,,,,Yes,
Connection or Proximity to Public Transit Required,No,,,,,,No,,No,,,,,,No,
Max. Stories,,N/A,,Stories,,Stories,,N/A,,N/A,,Stories,,Stories,,N/A
Max. Height (ft),40,Feet,,Feet,,Feet,,N/A,,N/A,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A,,N/A,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,,,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,,,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,,,No,
Minimum Lot Size (acres),0.21,Acres Per Treatment,Class 1: 0.34; Class 2: 0.92,Acres Per Treatment,0.46,Acres Per Treatment,2,Acres Per Treatment,Class 1: 0.46; Class 2: 1.38; Class 3: 2.75,Alternative,5,Acres Per Treatment,,Acres Per Treatment,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,,,,No,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,,Percent,,N/A
Max. ADU Size (sq. ft.),600,Square Feet,600,Square Feet,600,Square Feet,600,Square Feet,600,Square Feet,600,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,Yes,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,N/A,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
