Abbreviated District Name,V,Units/Special,RR,Units/Special,Ru,Units/Special,C,Units/Special
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,
Minimum Lot Size (acres),0.17,Acres Per Treatment,3,Acres Per Treatment,3,Acres Per Treatment,27,Acres Per Treatment
Maximum Density (units/acre),- not to exceed one principle dwelling on each lot,Alternative,- not to exceed one principle dwelling on each lot,Alternative,- not to exceed one principle dwelling on each lot,Alternative,- not to exceed one principle dwelling on each lot,Alternative
Front Setback (ft),45,Feet,65,Feet,65,Feet,65,Feet
Side Setback (ft),10,Feet,25,Feet,40,Feet,50,Feet
Rear Setback (ft),10,Feet,25,Feet,40,Feet,50,Feet
Frontage (ft),Street: 60'; Lake: 240',Contextual,Street: 150'; Lake: 240',Feet,Street: 150'; Lake: 300',Contextual,300,Feet
Max. Lot Coverage - Buildings (%),40,Percent,10,Percent,10,Percent,10,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,
Affordable Housing Only,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,,
Minimum Lot Size (acres),0.17,Acres Per Treatment,3,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre
Front Setback (ft),45,Feet,65,Feet,65,Feet,,Feet
Side Setback (ft),10,Feet,25,Feet,40,Feet,,Feet
Rear Setback (ft),10,Feet,25,Feet,40,Feet,,Feet
Frontage (ft),Street: 60'; Lake: 240',Contextual,Street: 150'; Lake: 240',Feet,Street: 150'; Lake: 300',Contextual,,Feet
Max. Lot Coverage - Buildings (%),40,Percent,10,Percent,10,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,,
Minimum Lot Size (acres),0.17,Acres Per Treatment,3,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre
Front Setback (ft),45,Feet,65,Feet,65,Feet,,Feet
Side Setback (ft),10,Feet,25,Feet,40,Feet,,Feet
Rear Setback (ft),10,Feet,25,Feet,40,Feet,,Feet
Frontage (ft),Street: 60'; Lake: 240',Contextual,Street: 150'; Lake: 240',Feet,Street: 150'; Lake: 300',Contextual,,Feet
Max. Lot Coverage - Buildings (%),40,Percent,10,Percent,10,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit
Max. Units Per Building,4,Units Per Building,4,Units Per Building,4,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,,
Minimum Lot Size (acres),0.17,Acres Per Treatment,3,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre
Front Setback (ft),45,Feet,65,Feet,65,Feet,,Feet
Side Setback (ft),10,Feet,25,Feet,40,Feet,,Feet
Rear Setback (ft),10,Feet,25,Feet,40,Feet,,Feet
Frontage (ft),Street: 60'; Lake: 240',Contextual,Street: 150'; Lake: 240',Feet,Street: 150'; Lake: 300',Contextual,,Feet
Max. Lot Coverage - Buildings (%),40,Percent,10,Percent,10,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit
Max. Units Per Building,4,Units Per Building,4,Units Per Building,4,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,
Elderly Housing Only,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,,,,,,
Renter Occupancy Required,,,,,,,,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,
Elderly Housing Only,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,,,,,,,,
Max. ADU Size (%),50,Percent,50,Percent,50,Percent,50,Percent
Max. ADU Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,
PUD Threshold #,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,Yes,
PUD requiring land conservation,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
