Abbreviated District Name,RD,Units/Special,VD,Units/Special,SL1,Units/Special,SL2,Units/Special,AO,Units/Special,WH,Units/Special
Front Setback (ft),65,Feet,45,Feet,100,Feet,100,Feet,45,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,35,Feet,35,Feet,25,Feet,,Feet
Frontage (ft),200,Feet,100,Feet,100,Feet,300,Feet,200,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
2-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,No,,No,,,,,,No,,,
Elderly Housing Only,No,,No,,,,,,No,,,
Minimum Lot Size (acres),2,Acres Per Treatment,0.5,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre
Front Setback (ft),65,Feet,45,Feet,,Feet,,Feet,45,Feet,,Feet
Side Setback (ft),25,Feet,25,Feet,,Feet,,Feet,25,Feet,,Feet
Rear Setback (ft),25,Feet,25,Feet,,Feet,,Feet,25,Feet,,Feet
Frontage (ft),200,Feet,100,Feet,,Feet,,Feet,200,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,Percent,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,Stories,,Stories,,N/A,,Stories
Max. Height (ft),30,Feet,30,Feet,,Feet,,Feet,30,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet
3-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,,,No,,,,,,,,,
Elderly Housing Only,,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,0.5,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,45,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,100,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,,,,,,,,
Max. Stories,,Stories,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,,,,,,,,
Elderly Housing Only,,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,0.5,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,45,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,100,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,,,,,,,,
Max. Stories,,Stories,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,,,,,,,,
Elderly Housing Only,,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,0.5,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,45,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,100,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,,,,,,,,
Max. Stories,,Stories,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Elderly Housing Only,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,
Max. ADU Size (%),50,Percent,50,Percent,50,Percent,50,Percent,50,Percent,50,Percent
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre
Max. Units,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,Yes,,,
PUD Threshold #,,,,,,,,,Required with subdivision of 3+ parcels,,,
PUD Allowed,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
