Abbreviated District Name,IND,Units/Special,R-C,Units/Special,R-1/2,Units/Special,R-1,Units/Special,R-2,Units/Special,AGR,Units/Special,RL,Units/Special,WP,Units/Special,CF,Units/Special
Frontage (ft),100,Feet,100,Feet,100,Feet,150,Feet,200,Feet,400,Feet,400,Feet,200,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,
Minimum Lot Size (acres),1,Acres Per Treatment,0.5,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,2,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre
Front Setback (ft),20,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,20,Feet,,Feet
Side Setback (ft),20,Feet,15,Feet,15,Feet,15,Feet,20,Feet,35,Feet,50,Feet,10,Feet,,Feet
Rear Setback (ft),20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,50,Feet,50,Feet,20,Feet,,Feet
Frontage (ft),100,Feet,100,Feet,100,Feet,150,Feet,200,Feet,400,Feet,400,Feet,200,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,
Minimum Lot Size (acres),1 acre; at least 10000 sq. ft./family,Alternative,0.5 acres/2 units + 0.23/addt'l unit,Alternative,0.5 acres; at least 10000 sq. ft/family,Alternative,1 acre; at least 10000 sq. ft./family,Alternative,2 acres; at least 10000 sq. ft./family,Alternative,10 acres; at least 10000 sq. ft./family minimum,Acres Per Treatment,10 acres; at least 10000 sq. ft./family,Alternative,2 acres; at least 10000 sq. ft./family,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre
Front Setback (ft),20,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,20,Feet,,Feet
Side Setback (ft),20,Feet,15,Feet,15,Feet,15,Feet,20,Feet,35,Feet,50,Feet,10,Feet,,Feet
Rear Setback (ft),20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,50,Feet,50,Feet,20,Feet,,Feet
Frontage (ft),100,Feet,100,Feet,100,Feet,150,Feet,200,Feet,400,Feet,400,Feet,200,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,
Minimum Lot Size (acres),1 acre; at least 10000 sq. ft./family,Alternative,0.5 acres/2 units + 0.23/addt'l unit,Alternative,0.5 acres; at least 10000 sq. ft/family,Alternative,1 acre; at least 10000 sq. ft./family,Alternative,2 acres; at least 10000 sq. ft./family,Alternative,10 acres; at least 10000 sq. ft./family minimum,Acres Per Treatment,10 acres; at least 10000 sq. ft./family,Alternative,2 acres; at least 10000 sq. ft./family,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre
Front Setback (ft),20,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,20,Feet,,Feet
Side Setback (ft),20,Feet,15,Feet,15,Feet,15,Feet,20,Feet,35,Feet,50,Feet,10,Feet,,Feet
Rear Setback (ft),20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,50,Feet,50,Feet,20,Feet,,Feet
Frontage (ft),100,Feet,100,Feet,100,Feet,150,Feet,200,Feet,400,Feet,400,Feet,200,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,
Minimum Lot Size (acres),1 acre; at least 10000 sq. ft./family,Alternative,0.5 acres/2 units + 0.23/addt'l unit,Alternative,0.5 acres; at least 10000 sq. ft/family,Acres Per Treatment,1 acre; at least 10000 sq. ft./family,Alternative,2 acre; at least 10000 sq. ft./family,Alternative,10 acres; at least 10000 sq. ft./family minimum,Acres Per Treatment,10 acres; at least 10000 sq. ft./family,Alternative,2 acres; at least 10000 sq. ft./family,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre
Front Setback (ft),20,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,20,Feet,,Feet
Side Setback (ft),20,Feet,15,Feet,15,Feet,15,Feet,20,Feet,35,Feet,50,Feet,10,Feet,,Feet
Rear Setback (ft),20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,50,Feet,50,Feet,20,Feet,,Feet
Frontage (ft),100,Feet,100,Feet,100,Feet,150,Feet,200,Feet,400,Feet,400,Feet,200,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,
Minimum Lot Size (acres),1,Acres Per Treatment,0.5,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,,No,,No,,,
Max. ADU Size (%),"if floor area of 1-family is <1000 sq. ft., 50%; if >1000 sq. ft., 30%",Contextual,"if floor area of 1-family is <1000 sq. ft., 50%; if >1000 sq. ft., 30%",Contextual,"if floor area of 1-family is <1000 sq. ft., 50%; if >1000 sq. ft., 30%",Contextual,"if floor area of 1-family is <1000 sq. ft., 50%; if >1000 sq. ft., 30%",Contextual,"if floor area of 1-family is <1000 sq. ft., 50%; if >1000 sq. ft., 30%",Contextual,"if floor area of 1-family is <1000 sq. ft., 50%; if >1000 sq. ft., 30%",Contextual,"if floor area of 1-family is <1000 sq. ft., 50%; if >1000 sq. ft., 30%",Contextual,"if floor area of 1-family is <1000 sq. ft., 50%; if >1000 sq. ft., 30%",Contextual,,Percent
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre
Max. Units,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,No,,No,,No,,No,,No,,No,,No,,No,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
PUD requiring land conservation,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
