Abbreviated District Name,CON,Units/Special,FH,Units/Special,RR-I,Units/Special,RR-II,Units/Special,RS,Units/Special,VIL,Units/Special
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,20,Percent,,Percent,20,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,40,Feet,,Feet,40,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,No,,,,no,
Elderly Housing Only,,,,,,,No,,,,no,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,0.46,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,40,Feet,,Feet,40,Feet
Side Setback (ft),,Feet,,Feet,,Feet,20,Feet,,Feet,20,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,50,Feet,,Feet,50,Feet
Frontage (ft),,Feet,,Feet,,Feet,150,Feet,,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,20,Percent,,Percent,20,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,20,Percent,,Percent,20,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,no,,,,no,
Connection or Proximity to Public Transit Required,,,,,,,no,,,,no,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,40,Feet,,Feet,40,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,No,,,,no,
Elderly Housing Only,,,,,,,No,,,,no,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,0.46,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,40,Feet,,Feet,40,Feet
Side Setback (ft),,Feet,,Feet,,Feet,20,Feet,,Feet,20,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,50,Feet,,Feet,50,Feet
Frontage (ft),,Feet,,Feet,,Feet,150,Feet,,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,20,Percent,,Percent,20,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,20,Percent,,Percent,20,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,40,Feet,,Feet,40,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,
Elderly Housing Only,no,,,,no,,no,,no,,no,
Minimum Lot Size (acres),25,Acres Per Treatment,,Acres Per Treatment,10,Acres Per Treatment,2,Acres Per Treatment,10,Acres Per Treatment,0.46,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,,,No,,No,,No,,No,
Renter Occupancy Required,No,,,,No,,No,,No,,No,
Owner Occupancy Required,No,,,,No,,No,,No,,No,
Elderly Housing Only,No,,,,No,,No,,no,,no,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Restricted to Only Primary Structure,No,,,,No,,No,,,,,
Max. ADU Size (%),30,Percent,,Percent,30,Percent,30,Percent,30,Percent,30,Percent
Max. ADU Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,1,Bedrooms Per Unit,,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,,,No,,Yes,,,,No,
Minimum Lot Size (acres),50,Acres Per Treatment,,Acres Per Treatment,20,Acres Per Treatment,4,Acres Per Treatment,,Acres Per Treatment,1,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,6,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,
PUD Allowed,Yes,,No,,Yes,,Yes,,No,,Yes,
PUD requiring land conservation,Yes,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
