Abbreviated District Name,FHO,Units/Special,IND,Units/Special,MU,Units/Special,RR,Units/Special,VIL,Units/Special,WHPO,Units/Special
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,No,,,,No,,No,,,,,
Elderly Housing Only,No,,,,No,,No,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),65,Feet,,Feet,65,Feet,65,Feet,35,Feet,35,Feet
Side Setback (ft),50,Feet,,Feet,50,Feet,35,Feet,20,Feet,20,Feet
Rear Setback (ft),35,Feet,,Feet,35,Feet,35,Feet,20,Feet,20,Feet
Frontage (ft),20,Feet,,Feet,20,Feet,20,Feet,20,Feet,20,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Connection to Sewer and/or Water Required,No,,,,No,,No,,No,,No,
Connection or Proximity to Public Transit Required,No,,,,No,,No,,No,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,No,,No,,,,,
Elderly Housing Only,No,,,,No,,No,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),65,Feet,,Feet,65,Feet,65,Feet,35,Feet,35,Feet
Side Setback (ft),50,Feet,,Feet,50,Feet,35,Feet,20,Feet,20,Feet
Rear Setback (ft),25,Feet,,Feet,35,Feet,35,Feet,20,Feet,20,Feet
Frontage (ft),20,Feet,,Feet,20,Feet,20,Feet,20,Feet,20,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Connection to Sewer and/or Water Required,No,,,,No,,No,,No,,No,
Connection or Proximity to Public Transit Required,No,,,,No,,No,,No,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,No,,No,,No,,,
Elderly Housing Only,No,,,,No,,No,,No,,,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),65,Feet,,Feet,65,Feet,65,Feet,35,Feet,35,Feet
Side Setback (ft),50,Feet,,Feet,50,Feet,35,Feet,20,Feet,20,Feet
Rear Setback (ft),35,Feet,,Feet,35,Feet,35,Feet,20,Feet,20,Feet
Frontage (ft),20,Feet,,Feet,20,Feet,20,Feet,20,Feet,20,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Connection to Sewer and/or Water Required,No,,,,No,,No,,No,,No,
Connection or Proximity to Public Transit Required,No,,,,No,,No,,No,,No,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,
Elderly Housing Only,No,,No,,,,No,,No,,No,
Minimum Lot Size (acres),2,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment,.5 on sewer/1 no sewer,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,No,,No,,No,,No,,No,
Renter Occupancy Required,,,No,,No,,No,,No,,No,
Owner Occupancy Required,,,No,,No,,No,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Restricted to Only Primary Structure,,,No,,No,,No,,No,,No,
Max. ADU Size (%),,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent
Max. ADU Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,Yes,,,,Yes,,Yes,,Yes,,Yes,
Minimum Lot Size (acres),,Acres Per Treatment,1.5 on sewer/10 no sewer,Acres Per Treatment,1.5 on sewer/10 no sewer,Acres Per Treatment,1.5 on sewer/10 no sewer,Acres Per Treatment,1.5 on sewer/10 no sewer,Acres Per Treatment,1.5 on sewer/10 no sewer,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,
PUD Allowed,,,Yes,,Yes,,Yes,,Yes,,Yes,
PUD requiring land conservation,,,Yes,,Yes,,Yes,,Yes,,Yes,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,
