Abbreviated District Name,IND-COM,Units/Special,VIL,Units/Special,RR,Units/Special
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,
Connection or Proximity to Public Transit Required,,,,,,
Max. Stories,,N/A,,Stories,,N/A
Max. Height (ft),40,Feet,,Feet,40,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,Units Per Building,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,
Affordable Housing Only,No,,,,No,
Elderly Housing Only,No,,,,No,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment
Maximum Density (units/acre),0.5,Units Per Acre,,Units Per Acre,0.5,Units Per Acre
Front Setback (ft),65,Feet,,Feet,65,Feet
Side Setback (ft),35,Feet,,Feet,25,Feet
Rear Setback (ft),35,Feet,,Feet,25,Feet
Frontage (ft),200,Feet,,Feet,200,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,
Connection or Proximity to Public Transit Required,,,,,,
Max. Stories,,N/A,,Stories,,N/A
Max. Height (ft),40,Feet,,Feet,40,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,
Elderly Housing Only,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,,,,
Renter Occupancy Required,,,,,,
Owner Occupancy Required,Yes,,Yes,,Yes,
Elderly Housing Only,No,,No,,No,
Minimum Lot Size (acres),,N/A,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Restricted to Only Primary Structure,,,,,,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent
Max. ADU Size (sq. ft.),900,Square Feet,900,Square Feet,900,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,
PUD Threshold #,,,,,,
PUD Allowed,,,,,,
PUD requiring land conservation,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre
