Abbreviated District Name,CON,Units/Special,C/I,Units/Special,RR,Units/Special,SL,Units/Special,V,Units/Special
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,2,Stories,2,Stories,2,Stories,2,Stories,3,Stories
Max. Height (ft),50,Feet,50,Feet,50,Feet,35,Feet,50,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,"0.11ac for existing lots < 0.92ac, 0.92ac otherwise",Contextual,0.92,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),,Feet,35,Feet,35,Feet,40,Feet,35,Feet
Side Setback (ft),,Feet,25,Feet,25,Feet,"40ft for >0.92ac lots, 10ft otherwise",Contextual,25,Feet
Rear Setback (ft),,Feet,25,Feet,25,Feet,25,Feet,25,Feet
Frontage (ft),,Feet,100,Feet,100,Feet,"100ft for >0.92ac lots, 50ft otherwise",Contextual,100,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,2,Stories,2,Stories,2,Stories,3,Stories
Max. Height (ft),,Feet,50,Feet,50,Feet,35,Feet,50,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,
Affordable Housing Only,,,No,,No,,,,No,
Elderly Housing Only,,,No,,No,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,1.84,Acres Per Treatment,0.92,Acres Per Treatment,,Acres Per Treatment,0.92,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,Units Per Acre,,N/A
Front Setback (ft),,Feet,35,Feet,35,Feet,,Feet,35,Feet
Side Setback (ft),,Feet,50,Feet,25,Feet,,Feet,25,Feet
Rear Setback (ft),,Feet,50,Feet,25,Feet,,Feet,25,Feet
Frontage (ft),,Feet,150,Feet,100,Feet,,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,No,,,,No,
Connection or Proximity to Public Transit Required,,,No,,No,,,,No,
Max. Stories,,Stories,,Stories,2,Stories,,Stories,3,Stories
Max. Height (ft),,Feet,50,Feet,50,Feet,,Feet,50,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,,,No,
Elderly Housing Only,,,No,,No,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,1.84,Acres Per Treatment,0.92,Acres Per Treatment,,Acres Per Treatment,0.92,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,Units Per Acre,,N/A
Front Setback (ft),,Feet,35,Feet,35,Feet,,Feet,35,Feet
Side Setback (ft),,Feet,50,Feet,25,Feet,,Feet,25,Feet
Rear Setback (ft),,Feet,50,Feet,25,Feet,,Feet,25,Feet
Frontage (ft),,Feet,150,Feet,100,Feet,,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,,,,,,
Max. Stories,,Stories,,Stories,2,Stories,,Stories,3,Stories
Max. Height (ft),,Feet,50,Feet,50,Feet,,Feet,50,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,Units Per Building,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,,,No,
Elderly Housing Only,,,No,,No,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,1.84,Acres Per Treatment,0.92,Acres Per Treatment,,Acres Per Treatment,0.92,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,Units Per Acre,,N/A
Front Setback (ft),,Feet,35,Feet,35,Feet,,Feet,35,Feet
Side Setback (ft),,Feet,50,Feet,25,Feet,,Feet,25,Feet
Rear Setback (ft),,Feet,50,Feet,25,Feet,,Feet,25,Feet
Frontage (ft),,Feet,150,Feet,100,Feet,,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,,,,,,
Max. Stories,,Stories,,Stories,2,Stories,,Stories,3,Stories
Max. Height (ft),,Feet,50,Feet,50,Feet,,Feet,50,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,
Elderly Housing Only,No,,No,,No,,No,,No,
Minimum Lot Size (acres),25,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Restricted to Only Primary Structure,No,,No,,No,,No,,No,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,30,Percent
Max. ADU Size (sq. ft.),900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,Yes,,Yes,,No,,No,
Minimum Lot Size (acres),50,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,Yes,,Yes,,Yes,,Yes,,Yes,
PUD Threshold #,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,Yes,,Yes,
PUD requiring land conservation,No,,No,,No,,No,,No,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),25,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
