Abbreviated District Name,MF1,Units/Special,MF2,Units/Special,MF3,Units/Special,VC,Units/Special,HA,Units/Special,MF-MU1,Units/Special,MF-MU2,Units/Special,TOD,Units/Special,RO,Units/Special,OS,Units/Special,LI,Units/Special,PE,Units/Special,PA,Units/Special,FP,Units/Special,MCU,Units/Special,POO,Units/Special,NLSO,Units/Special,R1,Units/Special,R2,Units/Special,DRO,Units/Special,HRO,Units/Special
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,
3-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,
4+-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,
5+-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Overlay,,Overlay,
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Overlay,,Overlay,
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,,Not Mentioned,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Overlay,,Overlay,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,,Overlay,
Notes - Write any explanations here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This overlay is intended to allow for more office space to be built in areas where there are already offices.,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),0.17,Acres Per Treatment,0.17,Acres Per Treatment,0.17,Acres Per Treatment,0.11,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,0.17,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,0.17,Acres Per Treatment,,N/A,,N/A
Front Setback (ft),30,Feet,15,Feet,30,Feet,,N/A,,Feet,20,Feet,20,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,30,Feet,,Feet,20,Feet,,Feet,,Feet,20,Feet,15,Feet,,N/A,,N/A
Side Setback (ft),10,Feet,10,Feet,10,Feet,,N/A,,Feet,10,Feet,10,Feet,,Feet,8,Feet,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,,Feet,,Feet,8,Feet,8,Feet,,N/A,,N/A
Rear Setback (ft),10,Feet,10,Feet,10,Feet,,N/A,,Feet,10,Feet,10,Feet,,Feet,,N/A,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,,Feet,,Feet,25,Feet,25,Feet,,N/A,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,Feet,,N/A,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,Percent,,N/A,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),50,Percent,50,Percent,40,Percent,,N/A,,Percent,65,Percent,65,Percent,,Percent,40,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,65,Percent,,Percent,,Percent,40,Percent,40,Percent,,N/A,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Max. Stories,3,Stories,4,Stories,4,Stories,5,Stories,,Stories,5,Stories,5,Stories,,Stories,3,Stories,,Stories,,Stories,,Stories,3,Stories,,Stories,4,Stories,,Stories,,Stories,3,Stories,3,Stories,,N/A,,N/A
Max. Height (ft),35,Feet,48,Feet,48,Feet,72,Feet,,Feet,72,Feet,72,Feet,,Feet,35,Feet,,Feet,,Feet,,Feet,,N/A,,Feet,58,Feet,,Feet,,Feet,35,Feet,35,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,,No,,No,,,,No,,,,,,,,No,,,,No,,,,,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,,,No,,No,,,,No,,,,,,,,No,,,,No,,,,,,No,,No,,No,,No,
Minimum Lot Size (acres),0.17,Acres Per Treatment,0.17,Acres Per Treatment,0.24,Acres Per Treatment,0.11,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,0.18,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,0.17,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),11.8,Units Per Acre,11.8,Units Per Acre,8.3,Units Per Acre,18,Units Per Acre,,Units Per Acre,,N/A,15,Units Per Acre,,Units Per Acre,11.1,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,5.9,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,5.9,Units Per Acre,11.8,Units Per Acre,,N/A,,N/A
Front Setback (ft),30,Feet,15,Feet,30,Feet,,N/A,,Feet,20,Feet,20,Feet,,Feet,20,Feet,,Feet,,Feet,,Feet,30,Feet,,Feet,20,Feet,,Feet,,Feet,20,Feet,15,Feet,,N/A,,N/A
Side Setback (ft),10,Feet,10,Feet,10,Feet,,N/A,,Feet,10,Feet,10,Feet,,Feet,8,Feet,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,,Feet,,Feet,8,Feet,8,Feet,,N/A,,N/A
Rear Setback (ft),10,Feet,10,Feet,10,Feet,,N/A,,Feet,10,Feet,10,Feet,,Feet,,N/A,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,,Feet,,Feet,25,Feet,25,Feet,,N/A,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,Feet,,N/A,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,Percent,,N/A,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),50,Percent,50,Percent,40,Percent,,N/A,,Percent,65,Percent,65,Percent,,Percent,40,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,65,Percent,,Percent,,Percent,40,Percent,40,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,4,Spaces Per Unit,,N/A,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Max. Stories,3,Stories,4,Stories,48,Stories,5,Stories,,Stories,5,Stories,5,Stories,,Stories,3,Stories,,Stories,,Stories,,Stories,3,Stories,,Stories,4,Stories,,Stories,,Stories,3,Stories,3,Stories,,N/A,,N/A
Max. Height (ft),35,Feet,48,Feet,,N/A,72,Feet,,Feet,72,Feet,72,Feet,,Feet,35,Feet,,Feet,,Feet,,Feet,,N/A,,Feet,58,Feet,,Feet,,Feet,35,Feet,35,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,,,No,,No,,No,,No,,,,,,,,No,,,,No,,,,,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,,,No,,No,,No,,No,,,,,,,,No,,,,No,,,,,,No,,No,,No,,No,
Minimum Lot Size (acres),0.17,Acres Per Treatment,0.17,Acres Per Treatment,0.31,Acres Per Treatment,0.11,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,0.34,Acres Per Treatment,0.17,Acres Per Treatment,0.2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,0.17,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),17.5,Units Per Acre,17.5,Units Per Acre,9.7,Units Per Acre,27,Units Per Acre,,Units Per Acre,,N/A,15,Units Per Acre,,N/A,15,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,8.8,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,8.8,Units Per Acre,17.6,Units Per Acre,,N/A,,N/A
Front Setback (ft),30,Feet,15,Feet,30,Feet,,N/A,,Feet,20,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,30,Feet,,Feet,20,Feet,,Feet,,Feet,20,Feet,15,Feet,,N/A,,N/A
Side Setback (ft),10,Feet,10,Feet,10,Feet,,N/A,,Feet,10,Feet,10,Feet,,N/A,8,Feet,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,,Feet,,Feet,8,Feet,8,Feet,,N/A,,N/A
Rear Setback (ft),10,Feet,10,Feet,10,Feet,,N/A,,Feet,10,Feet,10,Feet,,N/A,,N/A,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,,Feet,,Feet,25,Feet,25,Feet,,N/A,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),50,Percent,50,Percent,40,Percent,,N/A,,Percent,65,Percent,65,Percent,100,Percent,40,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,65,Percent,,Percent,,Percent,40,Percent,40,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,,,,Yes,,,,,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,,,No,,No,,No,,No,,,,,,,,No,,,,No,,,,,,No,,No,,No,,No,
Max. Stories,3,Stories,4,Stories,4,Stories,5,Stories,,Stories,5,Stories,5,Stories,4,Stories,3,Stories,,Stories,,Stories,,Stories,3,Stories,,Stories,4,Stories,,Stories,,Stories,3,Stories,3,Stories,,N/A,,N/A
Max. Height (ft),35,Feet,48,Feet,48,Feet,72,Feet,,Feet,72,Feet,72,Feet,58,Feet,35,Feet,,Feet,,Feet,,Feet,,N/A,,Feet,58,Feet,,Feet,,Feet,35,Feet,35,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,,,No,,No,,No,,No,,,,,,,,No,,,,No,,,,,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,,,No,,No,,No,,No,,,,,,,,No,,,,No,,,,,,No,,No,,No,,No,
Minimum Lot Size (acres),0.23,Acres Per Treatment,0.23,Acres Per Treatment,0.38,Acres Per Treatment,0.11,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,0.34,Acres Per Treatment,0.17,Acres Per Treatment,0.21,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.34,Acres Per Treatment,0.17,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),17.5,Units Per Acre,17.5,Units Per Acre,10.5,Units Per Acre,36,Units Per Acre,,Units Per Acre,,N/A,15,Units Per Acre,,N/A,19,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,11.8,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,11.8,Units Per Acre,24.5,Units Per Acre,,N/A,,N/A
Front Setback (ft),30,Feet,15,Feet,30,Feet,,N/A,,Feet,20,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,30,Feet,,Feet,20,Feet,,Feet,,Feet,20,Feet,15,Feet,,N/A,,N/A
Side Setback (ft),10,Feet,10,Feet,10,Feet,,N/A,,Feet,10,Feet,10,Feet,,N/A,8,Feet,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,,Feet,,Feet,8,Feet,8,Feet,,N/A,,N/A
Rear Setback (ft),10,Feet,10,Feet,10,Feet,,N/A,,Feet,10,Feet,10,Feet,,N/A,,N/A,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,,Feet,,Feet,25,Feet,25,Feet,,N/A,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),50,Percent,50,Percent,40,Percent,,N/A,,Percent,65,Percent,65,Percent,100,Percent,40,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,65,Percent,,Percent,,Percent,40,Percent,40,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,,,,Yes,,,,,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,,,No,,No,,No,,No,,,,,,,,No,,,,No,,,,,,No,,No,,No,,No,
Max. Stories,3,Stories,4,Stories,4,Stories,5,Stories,,Stories,5,Stories,5,Stories,4,Stories,3,Stories,,Stories,,Stories,,Stories,3,Stories,,Stories,4,Stories,,Stories,,Stories,3,Stories,3,Stories,,N/A,,N/A
Max. Height (ft),35,Feet,48,Feet,48,Feet,72,Feet,,Feet,72,Feet,72,Feet,58,Feet,35,Feet,,Feet,,Feet,,Feet,,N/A,,Feet,58,Feet,,Feet,,Feet,35,Feet,35,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,N/A,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,,No,,,,No,,,,,,,,,,No,,No,
