Abbreviated District Name,PD,Units/Special,PDK,Units/Special,FR,Units/Special,R1,Units/Special,R3,Units/Special,HM,Units/Special,SV,Units/Special,C-KB,Units/Special,C-R4,Units/Special,B,Units/Special,CB,Units/Special,VA,Units/Special,SP,Units/Special,SVII,Units/Special,FP,Units/Special
PRDs Allowed?,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,
Notes - Write any explanations here.,,,,,,,,,,,,,,,,,Any structure on a lot adjacent to Route 4 must be set back 100 feet from the route.,,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,10,Acres Per Treatment,0.92,Acres Per Treatment,3,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,10,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,10,Acres Per Treatment
Front Setback (ft),,Feet,,Feet,25,Feet,25,Feet,25,Feet,20,Feet,25,Feet,15,Feet,15,Feet,15,Feet,15,Feet,20,Feet,25,Feet,,Feet,50,Feet
Side Setback (ft),,Feet,,Feet,50,Feet,25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,15,Feet,15,Feet,25,Feet,25,Feet,,Feet,50,Feet
Rear Setback (ft),,Feet,,Feet,50,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,50,Feet
Frontage (ft),,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,5,Percent,10,Percent,5,Percent,30,Percent,10,Percent,70,Percent,70,Percent,70,Percent,70,Percent,10,Percent,5,Percent,,Percent,10,Percent
Minimum Parking Spaces,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),,Feet,,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,Feet,40,Feet
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,10,Acres Per Treatment,0.92,Acres Per Treatment,3,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,10,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,10,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,0.2,Units Per Acre,2,Units Per Acre,0.67,Units Per Acre,2,Units Per Acre,2,Units Per Acre,8.7,Units Per Acre,8.7,Units Per Acre,8.7,Units Per Acre,8.7,Units Per Acre,0.2,Units Per Acre,0.67,Units Per Acre,,Units Per Acre,0.2,Units Per Acre
Front Setback (ft),,Feet,,Feet,25,Feet,25,Feet,25,Feet,20,Feet,25,Feet,15,Feet,15,Feet,15,Feet,15,Feet,20,Feet,25,Feet,,Feet,50,Feet
Side Setback (ft),,Feet,,Feet,50,Feet,25,Feet,25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,15,Feet,15,Feet,25,Feet,25,Feet,,Feet,50,Feet
Rear Setback (ft),,Feet,,Feet,50,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,50,Feet
Frontage (ft),,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,5,Percent,10,Percent,5,Percent,30,Percent,10,Percent,70,Percent,70,Percent,70,Percent,70,Percent,10,Percent,5,Percent,,Percent,10,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),,Feet,,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,Feet,40,Feet
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
3-Family Dimensions,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1.84,Acres Per Treatment,,Acres Per Treatment,0.45,Acres Per Treatment,0.45,Acres Per Treatment,0.45,Acres Per Treatment,0.45,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,1.6,Units Per Acre,,Units Per Acre,6.67,Units Per Acre,6.67,Units Per Acre,6.67,Units Per Acre,6.67,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,20,Feet,,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,70,Percent,70,Percent,70,Percent,70,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,Yes,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,,Feet,,Feet,40,Feet,,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2.76,Acres Per Treatment,,Acres Per Treatment,0.6,Acres Per Treatment,0.6,Acres Per Treatment,0.6,Acres Per Treatment,0.6,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,1.4,Units Per Acre,,Units Per Acre,6.67,Units Per Acre,6.67,Units Per Acre,6.67,Units Per Acre,6.67,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,20,Feet,,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,70,Percent,70,Percent,70,Percent,70,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,Yes,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,,Feet,,Feet,40,Feet,,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,3.68,Acres Per Treatment,,Acres Per Treatment,0.75,Acres Per Treatment,0.75,Acres Per Treatment,0.75,Acres Per Treatment,0.75,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,1.4,Units Per Acre,,Units Per Acre,6.67,Units Per Acre,6.67,Units Per Acre,6.67,Units Per Acre,6.67,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,20,Feet,,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,25,Feet,,Feet,25,Feet,25,Feet,25,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,70,Percent,70,Percent,70,Percent,70,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,Yes,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,,Feet,,Feet,40,Feet,,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
