Abbreviated District Name,RC-25,Units/Special,RR-5,Units/Special,RR-10,Units/Special,R-1,Units/Special,RC-A,Units/Special,RC-B,Units/Special,IM,Units/Special,RPO,Units/Special,SWHOD,Units/Special
1-Family Dimensions,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),25,Acres Per Treatment,5,Acres Per Treatment,10,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,0.5,Acres Per Treatment,,,,N/A,,N/A
Front Setback (ft),50,Feet,40,Feet,50,Feet,35,Feet,35,Feet,35,Feet,,,,N/A,,N/A
Side Setback (ft),25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,5,Feet,,,,N/A,,N/A
Rear Setback (ft),25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,5,Feet,,,,N/A,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,,,,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,,,,,,
Minimum Lot Size (acres),25,Acres Per Treatment,5,Acres Per Treatment,10,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,0.5,Acres Per Treatment,,,,N/A,,N/A
Maximum Density (units/acre),0.08,Units Per Acre,0.4,Units Per Acre,0.2,Units Per Acre,2,Units Per Acre,2,Units Per Acre,4,Units Per Acre,,,,N/A,,N/A
Front Setback (ft),50,Feet,40,Feet,50,Feet,35,Feet,35,Feet,35,Feet,,,,N/A,,N/A
Side Setback (ft),25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,5,Feet,,,,N/A,,N/A
Rear Setback (ft),25,Feet,25,Feet,25,Feet,15,Feet,15,Feet,5,Feet,,,,N/A,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,,,No,,No,,No,,,,,,,
Elderly Housing Only,,,No,,,,No,,No,,No,,,,,,,
Minimum Lot Size (acres),,,2.5,Acres Per Treatment,,,1.5,Acres Per Treatment,1.5,Acres Per Treatment,1.5,Acres Per Treatment,,,,N/A,,N/A
Maximum Density (units/acre),,,1.2,Units Per Acre,,,2,Units Per Acre,2,Units Per Acre,2,Units Per Acre,,,,N/A,,N/A
Front Setback (ft),,,40,Feet,,,35,Feet,35,Feet,35,Feet,,,,N/A,,N/A
Side Setback (ft),,,25,Feet,,,15,Feet,15,Feet,5,Feet,,,,N/A,,N/A
Rear Setback (ft),,,25,Feet,,,15,Feet,15,Feet,5,Feet,,,,N/A,,N/A
Frontage (ft),,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,,2,Spaces Per Unit,,,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,,2,Spaces Per Unit,,,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,,,N/A,,N/A
Connection to Sewer and/or Water Required,,,No,,,,Yes,,Yes,,No,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,,,No,,No,,No,,,,,,,
Max. Stories,,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Height (ft),,,35,Feet,,,35,Feet,35,Feet,35,Feet,,,,N/A,,N/A
Floor to Area Ratio,,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Minimum Unit Size (sq. ft.),,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Bedrooms,,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,,,No,,No,,No,,,,,,,
Elderly Housing Only,,,No,,,,No,,No,,No,,,,,,,
Minimum Lot Size (acres),,,2.5,Acres Per Treatment,,,2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,,,,N/A,,N/A
Maximum Density (units/acre),,,1.6,Units Per Acre,,,2,Units Per Acre,2,Units Per Acre,2,Units Per Acre,,,,N/A,,N/A
Front Setback (ft),,,40,Feet,,,35,Feet,35,Feet,35,Feet,,,,N/A,,N/A
Side Setback (ft),,,25,Feet,,,15,Feet,15,Feet,5,Feet,,,,N/A,,N/A
Rear Setback (ft),,,25,Feet,,,15,Feet,15,Feet,5,Feet,,,,N/A,,N/A
Frontage (ft),,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,,2,Spaces Per Unit,,,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,,2,Spaces Per Unit,,,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,,,N/A,,N/A
Connection to Sewer and/or Water Required,,,No,,,,Yes,,Yes,,No,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,,,No,,No,,No,,,,,,,
Max. Stories,,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Height (ft),,,35,Feet,,,35,Feet,35,Feet,35,Feet,,,,N/A,,N/A
Floor to Area Ratio,,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Minimum Unit Size (sq. ft.),,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Bedrooms,,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
Max. Units Per Building,,,,N/A,,,,N/A,,N/A,,N/A,,,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,,,
Affordable Housing Only,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,,,,,,,,,,,,,,,,,
Maximum Density (units/acre),,,,,,,,,,,,,,,,,,
Front Setback (ft),,,,,,,,,,,,,,,,,,
Side Setback (ft),,,,,,,,,,,,,,,,,,
Rear Setback (ft),,,,,,,,,,,,,,,,,,
Frontage (ft),,,,,,,,,,,,,,,,,,
Max. Lot Coverage - Buildings (%),,,,,,,,,,,,,,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per 2+ BR,,,,,,,,,,,,,,,,,,
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,
Max. Stories,,,,,,,,,,,,,,,,,,
Max. Height (ft),,,,,,,,,,,,,,,,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,
Max. Bedrooms,,,,,,,,,,,,,,,,,,
Max. Units Per Building,,,,,,,,,,,,,,,,,,
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,,,,,,,,,,,,,,,,,
Maximum Density (units/acre),,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per 2+ BR,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,
Max. Bedrooms,,,,,,,,,,,,,,,,,,
Max. Units Per Building,,,,,,,,,,,,,,,,,,
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,,No,,,,,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,,No,,,,,
Owner Occupancy Required,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,,,,
Minimum Lot Size (acres),25,Acres Per Treatment,5,Acres Per Treatment,10,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,0.5,Acres Per Treatment,5,Acres Per Treatment,,,,
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,,,
Restricted to Only Primary Structure,No,,No,,Yes,,No,,No,,No,,No,,,,,
Max. ADU Size (%),40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,,,,
Max. ADU Size (sq. ft.),1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,,,,
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,Yes,,Yes,,No,,No,,No,,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,,
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,,
Max. Units,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,,,,,,,,,,,,,,,,,
