Abbreviated District Name,CON,Units/Special,DCO,Units/Special,DSO,Units/Special,HN,Units/Special,LDR,Units/Special,MDR I,Units/Special,MDR II,Units/Special,R2,Units/Special,VC,Units/Special,VR,Units/Special
Front Setback (ft),,Feet,,Feet,25 from mean high water,Contextual,"10; or the average of existing front setback distances on adjacent lots on either side, whichever is greater.",Alternative,25,Feet,25,Feet,25,Feet,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principle building within the block on the same side of the street as the subject property.",Feet,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property.",Contextual,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property.",Contextual
Side Setback (ft),,Feet,,Feet,,Feet,"5; or the average of existing side setback distances on adjacent lots on either side, whichever is greater.",Feet,35,Feet,35,Feet,35,Feet,15,Feet,5; or average of existing on adjacent lots if lesser,Alternative,10,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,50,Feet,50,Feet,150,Feet,125,Feet,150,Feet,100,Feet,50,Feet,50,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,20,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,25,Feet,35,Feet,,Feet,,Feet,,Feet,40,Feet,40,Feet,30,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,1.5,Acres Per Treatment,0.459,Acres Per Treatment,0.195,Acres Per Treatment,0.23,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,25 from mean high water,Contextual,"10; or the average of existing front setback distances on adjacent lots on either side, whichever is greater.",Feet,25,Feet,25,Feet,25,Feet,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principle building within the block on the same side of the street as the subject property.",Feet,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property.",Contextual,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property.",Feet
Side Setback (ft),,Feet,,Feet,,Feet,"5; or the average of existing side setback distances on adjacent lots on either side, whichever is greater.",Feet,35,Feet,35,Feet,35,Feet,15,Feet,5; or average of existing on adjacent lots if lesser,Alternative,10,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,50,Feet,50,Feet,150,Feet,125,Feet,150,Feet,100,Feet,50,Feet,50,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,20,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,25,Feet,35,Feet,,Feet,,Feet,,Feet,40,Feet,40,Feet,30,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,1.5,Acres Per Treatment,0.459,Acres Per Treatment,0.195,Acres Per Treatment,0.23,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,25 from mean high water,Contextual,"10; or the average of existing front setback distances on adjacent lots on either side, whichever is greater.",Feet,25,Feet,25,Feet,25,Feet,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principle building within the block on the same side of the street as the subject property.",Feet,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property.",Contextual,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property.",Feet
Side Setback (ft),,Feet,,Feet,,Feet,"5; or the average of existing side setback distances on adjacent lots on either side, whichever is greater.",Feet,35,Feet,35,Feet,35,Feet,15,Feet,5; or average of existing on adjacent lots if lesser,Alternative,10,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,50,Feet,50,Feet,150,Feet,125,Feet,150,Feet,100,Feet,50,Feet,50,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,20,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,25,Feet,35,Feet,,Feet,,Feet,,Feet,40,Feet,40,Feet,30,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,,,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,1.5,Acres Per Treatment,0.459,Acres Per Treatment,0.195,Acres Per Treatment,0.23,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,25 from mean high water,Contextual,"10; or the average of existing front setback distances on adjacent lots on either side, whichever is greater.",Feet,25,Feet,25,Feet,25,Feet,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principle building within the block on the same side of the street as the subject property.",Feet,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property.",Contextual,"Equal to or between the existing principal building setbacks on adjacent lots on either side or if there are no principal buildings on one or both adjacent lots, then the next principal building within the block on the same side of the street as the subject property.",Feet
Side Setback (ft),,Feet,,Feet,,Feet,"5; or the average of existing side setback distances on adjacent lots on either side, whichever is greater.",Feet,35,Feet,35,Feet,35,Feet,15,Feet,5; or average of existing on adjacent lots if lesser,Alternative,10,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,50,Feet,50,Feet,150,Feet,125,Feet,150,Feet,100,Feet,50,Feet,50,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,20,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,25,Feet,35,Feet,,Feet,,Feet,,Feet,40,Feet,40,Feet,30,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,,,,,,,,,,,,,,,,,,
Renter Occupancy Required,,,,,,,,,,,,,,,,,,,,
Owner Occupancy Required,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Restricted to Only Primary Structure,,,,,,,,,,,,,,,,,,,,
Max. ADU Size (%),30,Percent,,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent
Max. ADU Size (sq. ft.),900,Square Feet,,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,No,,Yes,,Yes,,Yes,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
