Abbreviated District Name,R1,Units/Special,R2,Units/Special,R4,Units/Special,R7,Units/Special,R12,Units/Special,LN,Units/Special,QCP,Units/Special,SEQ-NRP,Units/Special,SEQ-NRT,Units/Special,SEQ-NR,Units/Special,SEQ-NRN,Units/Special,SEQ-VR,Units/Special,C1,Units/Special,C1-AUTO,Units/Special,C1-AIR,Units/Special,C1-LR,Units/Special,C2,Units/Special,SW,Units/Special,AR,Units/Special,R7-NC,Units/Special,SEQ-VC,Units/Special,IC,Units/Special,AIR,Units/Special,AIR-I,Units/Special,I-O,Units/Special,IA,Units/Special,PR,Units/Special,MU,Units/Special,FPO,Units/Special,TR,Units/Special,SVPO,Units/Special,IHO,Units/Special,TO,Units/Special,UDO,Units/Special,RCO,Units/Special,HBO,Units/Special,HCO,Units/Special,T-3,Units/Special,T-3+,Units/Special,T-4,Units/Special,T-5,Units/Special
2-Family Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Overlay,,Overlay,,Overlay,,Overlay,,Overlay,,Prohibited,,Overlay,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
3-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Overlay,,Overlay,,Overlay,,Overlay,,Overlay,,Prohibited,,Overlay,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
4+-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Overlay,,Overlay,,Overlay,,Overlay,,Overlay,,Prohibited,,Overlay,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
5+-Family Allowed?,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Public Hearing Required,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Overlay,,Overlay,,Overlay,,Overlay,,Overlay,,Prohibited,,Overlay,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
ADUs Allowed?,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Allowed/Permitted (Hearing not required),,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Overlay,,Overlay,,Overlay,,Overlay,,Overlay,,Prohibited,,Overlay,,Prohibited,,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),,Allowed/Permitted (Hearing not required),
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Public Hearing Required,,Overlay,,Overlay,,Overlay,,Overlay,,Overlay,,Prohibited,,Overlay,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Prohibited,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Prohibited,,Prohibited,,Public Hearing Required,,Overlay,,Overlay,,Overlay,,Overlay,,Overlay,,Prohibited,,Overlay,,Prohibited,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
Notes - Write any explanations here.,,,,,,,,,,,,,,,,,,,,,,,,,This district contains 2 subdistricts: Commerical 1-Residential 12 (C1-R12) and Commercial 1-Residential 15 (C1-R15).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All development in this overlay is subject to floodplain review.,,,,,,,,,,,,,,,,,,This district follows a form based code with all construction requiring a site plan review.,,This district follows a form based code with all construction requiring a site plan review.,,This district follows a form based code with all construction requiring a site plan review.,,This district follows a form based code with all construction requiring a site plan review.,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),0.92,Acres Per Treatment,0.5,Acres Per Treatment,0.22,Acres Per Treatment,0.14,Acres Per Treatment,0.14,Acres Per Treatment,0.28,Acres Per Treatment,0.17,Acres Per Treatment,0.22,Acres Per Treatment,0.22,Acres Per Treatment,0.22,Acres Per Treatment,0.22,Acres Per Treatment,0.22,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.14,Acres Per Treatment,,Acres Per Treatment,0.14,Acres Per Treatment,0.14,Acres Per Treatment,0.14,Acres Per Treatment,0.22,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,3,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),50,Feet,30,Feet,30,Feet,30,Feet,30,Feet,20,Feet,10,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,,Feet,,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,20,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,20,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Side Setback (ft),25,Feet,10,Feet,10,Feet,10,Feet,10,Feet,10,Feet,5,Feet,10,Feet,10,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,8,Feet,8,Feet,,N/A,,N/A
Rear Setback (ft),30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,10,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,20,Feet,20,Feet,,N/A,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,N/A,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),15,Percent,20,Percent,20,Percent,30,Percent,30,Percent,20,Percent,20,Percent,20,Percent,20,Percent,20,Percent,20,Percent,20,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,30,Percent,30,Percent,30,Percent,20,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),25,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,,Percent,,Percent,,Percent,40,Percent,,Percent,40,Percent,40,Percent,40,Percent,40,Percent,,Percent,,Percent,,Percent,50,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,75,Percent,75,Percent,,N/A,,N/A
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A
Max. Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,,Stories,,Stories,,Stories,4,Stories,,Stories,4,Stories,4,Stories,4,Stories,4,Stories,,Stories,,Stories,,Stories,,N/A,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,2.5,Stories,3.5,Stories,5,Stories,6,Stories
Max. Height (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,40,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,No,,,,No,,No,,No,,No,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,,,No,,,,No,,No,,No,,No,
Minimum Lot Size (acres),0.92,Acres Per Treatment,0.5,Acres Per Treatment,0.28,Acres Per Treatment,0.23,Acres Per Treatment,0.18,Acres Per Treatment,0.55,Acres Per Treatment,0.28,Acres Per Treatment,0.28,Acres Per Treatment,0.28,Acres Per Treatment,0.28,Acres Per Treatment,0.28,Acres Per Treatment,0.28,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.18,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,0.18,Acres Per Treatment,0.23,Acres Per Treatment,0.28,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),1,Units Per Acre,2,Units Per Acre,4,Units Per Acre,7,Units Per Acre,12,Units Per Acre,4,Units Per Acre,4,Units Per Acre,1.2,Units Per Acre,1.2,Units Per Acre,1.2,Units Per Acre,1.2,Units Per Acre,1.2,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,12,Units Per Acre,,Units Per Acre,7,Units Per Acre,12,Units Per Acre,7,Units Per Acre,1.2,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),50,Feet,30,Feet,30,Feet,30,Feet,30,Feet,20,Feet,10,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,,Feet,,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,20,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Side Setback (ft),25,Feet,10,Feet,10,Feet,10,Feet,10,Feet,10,Feet,5,Feet,10,Feet,10,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,10,Feet,,Feet,10,Feet,10,Feet,10,Feet,10,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,8,Feet,8,Feet,,N/A,,N/A
Rear Setback (ft),30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,10,Feet,30,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,30,Feet,,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,20,Feet,20,Feet,,N/A,,N/A
Frontage (ft),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,N/A,,N/A,,N/A
Max. Lot Coverage - Buildings (%),15,Percent,20,Percent,20,Percent,30,Percent,30,Percent,20,Percent,20,Percent,20,Percent,20,Percent,20,Percent,20,Percent,20,Percent,,Percent,,Percent,,Percent,30,Percent,,Percent,30,Percent,30,Percent,30,Percent,20,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),25,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,,Percent,,Percent,,Percent,40,Percent,,Percent,40,Percent,40,Percent,40,Percent,40,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,Percent,75,Percent,75,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A
Max. Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,4,Stories,,Stories,,Stories,,Stories,4,Stories,,Stories,4,Stories,4,Stories,4,Stories,4,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,Stories,2.5,Stories,3.5,Stories,5,Stories,6,Stories
