Abbreviated District Name,Aquifer,Units/Special,PropMuni,Units/Special,Lakes,Units/Special,Res,Units/Special,R-C1,Units/Special,R-C2,Units/Special,MtRec,Units/Special,JacG,Units/Special,Ind,Units/Special,RPOD,Units/Special
Max. Stories,3,Stories,,Stories,3,Stories,3,Stories,3,Stories,3,Stories,3,Stories,,N/A,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,45,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,,,No,,No,,No,,No,,No,,No,,,,,
Elderly Housing Only,No,,,,No,,No,,No,,No,,No,,No,,,,,
Minimum Lot Size (acres),5,Acres Per Treatment,,Acres Per Treatment,0.92,Acres Per Treatment,2.75,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,,N/A,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),0.2,Units Per Acre,,Units Per Acre,1.09,Units Per Acre,0.36,Units Per Acre,1.09,Units Per Acre,1.09,Units Per Acre,1.09,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,,Feet,55,Feet,55,Feet,55,Feet,55,Feet,55,Feet,10,Feet,,Feet,,Feet
Side Setback (ft),20,Feet,,Feet,15,Feet,15,Feet,15,Feet,15,Feet,15,Feet,10,Feet,,Feet,,Feet
Rear Setback (ft),20,Feet,,Feet,15,Feet,15,Feet,15,Feet,15,Feet,15,Feet,10,Feet,,Feet,,Feet
Frontage (ft),200,Feet,,Feet,100,Feet,100,Feet,100,Feet,100,Feet,100,Feet,,N/A,,Feet,,Feet
Max. Lot Coverage - Buildings (%),5,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,20,Percent,10,Percent,25,Percent,25,Percent,25,Percent,25,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Max. Stories,3,Stories,,Stories,3,Stories,3,Stories,3,Stories,3,Stories,3,Stories,,N/A,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,45,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,,,,,,,No,,,,No,,No,,,,,
Elderly Housing Only,,,,,,,,,No,,,,No,,No,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1.38,Acres Per Treatment,,Acres Per Treatment,0.92,Acres Per Treatment,,N/A,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,2.18,Units Per Acre,,Units Per Acre,1.09,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,,Feet,55,Feet,,Feet,55,Feet,10,Feet,,Feet,,Feet
Side Setback (ft),,Feet,,Feet,,Feet,,Feet,15,Feet,,Feet,15,Feet,10,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,15,Feet,,Feet,15,Feet,10,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,,Feet,,Feet,100,Feet,,Feet,100,Feet,,N/A,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,25,Percent,,Percent,25,Percent,25,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,No,,,,No,,No,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,No,,,,No,,No,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,3,Stories,,Stories,3,Stories,,N/A,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,35,Feet,45,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,,,No,,,,No,,No,,,,,
Elderly Housing Only,,,,,,,,,No,,,,No,,No,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1.38,Acres Per Treatment,,Acres Per Treatment,0.92,Acres Per Treatment,,N/A,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,2.18,Units Per Acre,,Units Per Acre,1.09,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,,Feet,55,Feet,,Feet,55,Feet,10,Feet,,Feet,,Feet
Side Setback (ft),,Feet,,Feet,,Feet,,Feet,15,Feet,,Feet,15,Feet,10,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,15,Feet,,Feet,15,Feet,10,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,,Feet,,Feet,100,Feet,,Feet,100,Feet,,N/A,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,25,Percent,,Percent,25,Percent,25,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,No,,,,No,,No,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,No,,,,No,,No,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,3,Stories,,Stories,3,Stories,,N/A,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,35,Feet,45,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,,,No,,,,No,,No,,,,,
Elderly Housing Only,,,,,,,,,No,,,,No,,No,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1.38,Acres Per Treatment,,Acres Per Treatment,0.92,Acres Per Treatment,,N/A,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,2.18,Units Per Acre,,Units Per Acre,1.09,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,,Feet,55,Feet,,Feet,55,Feet,10,Feet,,Feet,,Feet
Side Setback (ft),,Feet,,Feet,,Feet,,Feet,15,Feet,,Feet,15,Feet,10,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,15,Feet,,Feet,15,Feet,10,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,,Feet,,Feet,100,Feet,,Feet,100,Feet,,N/A,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,N/A,,Percent,,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,25,Percent,,Percent,25,Percent,25,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,No,,,,No,,No,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,No,,,,No,,No,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,3,Stories,,Stories,3,Stories,,N/A,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,35,Feet,45,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A,,Ratio,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,,,No,,No,,No,,No,,No,,No,,,,,
Renter Occupancy Required,No,,,,No,,No,,No,,No,,No,,No,,,,,
Owner Occupancy Required,No,,,,No,,No,,No,,No,,No,,No,,,,,
Elderly Housing Only,No,,,,No,,No,,No,,No,,No,,No,,,,,
Minimum Lot Size (acres),,N/A,,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,,N/A,,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,
Max. ADU Size (%),30,Percent,,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,,Percent,,Percent
Max. ADU Size (sq. ft.),,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,1,Bedrooms Per Unit,,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,No,,No,,No,,No,,No,,No,,No,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,
PUD Allowed,No,,No,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
PUD requiring land conservation,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),0.2,Units Per Acre,,Units Per Acre,1.09,Units Per Acre,0.36,Units Per Acre,1.09,Units Per Acre,1.09,Units Per Acre,1.09,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
