Abbreviated District Name,RR/A,Units/Special,C-M,Units/Special,IND,Units/Special,VIL,Units/Special
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,,
Elderly Housing Only,No,,,,,,,
Minimum Lot Size (acres),1 acre per dwelling unit,Contextual,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),1,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),"""A"" Lot: 50ft; ""B"" Lot: 75",Contextual,,Feet,,Feet,,Feet
Side Setback (ft),25,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),25,Feet,,Feet,,Feet,,Feet
Frontage (ft),150,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,,,,,,
Connection or Proximity to Public Transit Required,No,,,,,,,
Max. Stories,,N/A,,Stories,,Stories,,Stories
Max. Height (ft),,N/A,,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,
Elderly Housing Only,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,
Owner Occupancy Required,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,1 space per 1000 sqft,Contextual,1 space per 1000 sqft,Contextual,1 space per 1000 sqft,Contextual,1 space per 1000 sqft,Contextual
Restricted to Only Primary Structure,No,,No,,No,,No,
Max. ADU Size (%),50,Percent,50,Percent,50,Percent,50,Percent
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,Yes,,No,,,,No,
Minimum Lot Size (acres),,N/A,,N/A,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,N/A
Max. Units,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,No,,No,,No,,No,
PUD Threshold #,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,Yes,
PUD requiring land conservation,Yes,,Yes,,Yes,,Yes,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
