Abbreviated District Name,CB,Units/Special,VN,Units/Special,HM,Units/Special,CR,Units/Special,I,Units/Special,RR,Units/Special,FR,Units/Special,FHO,Units/Special
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,no,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,no,,,,,,,,,,,,,,,
Max. Stories,,Stories,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,"housing that is either: (1) owned by its inhabitants, whose gross annual household income does not exceed 80 percent of the state median income, as defined by the United States Department of Housing and Urban Development, and the total annual cost of the housing, including principal, interest, taxes and insurance, is not more than 30 percent of the household’s gross annual income; or (2) rented by its inhabitants whose gross annual household income does not exceed 65 percent of the state median income, as defined by the United States Department of Housing and Urban Development, and the total annual cost of the housing, including rent, utilities, and condominium association fees, is not more than 30 percent of the household’s gross annual income.",,,,,,,,,,,,,,,
Elderly Housing Only,no,,no,,no,,no,,,,no,,no,,,
Minimum Lot Size (acres),0.11,Acres Per Treatment,.17 acres; .08 acres/unit on municipal water + sewer; .17 acres/unit on municipal water or sewer or neither,Alternative,.46 acres; .11 acres/unit for municipal water + sewer; .23 acres/unit for municipal water or sewer or neither,Alternative,.23 acres/municipal water + sewer; .46/municipal water or sewer; .69/neither,Alternative,,Acres Per Treatment,3 acres/unit,Alternative,25,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,,,No,,No,,,
Renter Occupancy Required,No,,No,,No,,No,,,,No,,No,,,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,,
Elderly Housing Only,no,,no,,no,,no,,,,no,,no,,,
Minimum Lot Size (acres),0.11,Acres Per Treatment,0.17,Acres Per Treatment,0.46,Acres Per Treatment,.23 acres/municipal water + sewer; .46/municipal water or sewer; .69/neither,Alternative,,Acres Per Treatment,3,Acres Per Treatment,25,Acres Per Treatment,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Restricted to Only Primary Structure,no,,no,,no,,no,,,,no,,no,,,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,,Percent,30,Percent,30,Percent,,N/A
Max. ADU Size (sq. ft.),900,Square Feet,900,Square Feet,900,Square Feet,900,Square Feet,,Square Feet,900,Square Feet,900,Square Feet,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Max. Units,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,No,,No,,No,,No,,,,No,,No,,,
PUD Threshold #,,,,,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
PUD requiring land conservation,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
