Abbreviated District Name,C-D,Units/Special,COM,Units/Special,DCO,Units/Special,FHA,Units/Special,HDO,Units/Special,HS,Units/Special,IND,Units/Special,MU,Units/Special,R-A,Units/Special,R-B,Units/Special,RL-1,Units/Special,RL-2,Units/Special,R-T,Units/Special
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.138 if water and sewer off lot; 1.377 if water OR sewer on lot; 2.755 if water and sewer on lot,Alternative,0.344 if water and sewer off lot; 0.459 if water OR sewer on lot; 0.918 if water and sewer on lot,Alternative,0.069 if water and sewer off lot; 0.688 if water OR sewer on lot; 0.918 if water and sewer on lot,Acres Per Treatment,20,Acres Per Treatment,1.5 if water and sewer off lot; 3.0 if water OR sewer on lot; 4 if water and sewer on lot,Alternative,0.344 if water and sewer off lot; 0.689 if water OR sewer on lot; 1.377 if water and sewer on lot,Alternative
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,20,Feet,20,Feet,50,Feet,25 if water and sewer off lot; 25 if water OR sewer on lot; 50 if water and sewer on lot,Alternative,25,Feet
Side Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,15,Feet,15,Feet,50,Feet,25 if water and sewer off lot; 25 if water OR sewer on lot; 50 if water and sewer on lot,Alternative,15,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,25,Feet,25,Feet,100,Feet,50 if water and sewer off lot; 100 if water OR sewer on lot; 100 if water and sewer on lot,Alternative,35 if water and sewer off lot; 50 if water OR sewer on lot; 50 if water and sewer on lot,Alternative
Frontage (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,75 if water and sewer off lot; 100 if water OR sewer on lot; 200 if water and sewer on lot,Alternative,150 if water and sewer off lot; 150 if water OR sewer on lot; 175 if water and sewer on lot,Alternative,90 if water and sewer off lot; 125 if water OR sewer on lot; 175 if water and sewer on lot,Alternative,300,Feet,150 if water and sewer off lot; 200 if water OR sewer on lot; 300 if water and sewer on lot,Alternative,100 if water and sewer off lot; 125 if water OR sewer on lot; 150 if water and sewer on lot,Alternative
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,30,Percent,35,Percent,,Percent,,Percent,30,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,80,Feet,,Feet,45,Feet,,Feet,,Feet,45,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,,,,,,,,,,,No,,,,No,,,,No,,No,
Elderly Housing Only,,,No,,,,,,,,,,,,No,,,,No,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.459 if water and sewer off lot; 1.377 if water OR sewer on lot; 2.755 if water and sewer on lot,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.138 if water and sewer off lot; 1.377 if water OR sewer on lot; 2.755 if water and sewer on lot,Alternative,,Acres Per Treatment,0.103 if water and sewer off lot; 1.033 if water OR sewer on lot; 1.377 if water and sewer on lot,Acres Per Treatment,,Acres Per Treatment,2.25 if water and sewer off lot; 4.5 if water OR sewer on lot; 6 if water and sewer on lot,Alternative,0.517 if water and sewer off lot; 1.033 if water OR sewer on lot; 2.066 if water and sewer on lot,Alternative
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,,Feet,20,Feet,,Feet,25 if water and sewer off lot; 25 if water OR sewer on lot; 50 if water and sewer on lot,Alternative,25,Feet
Side Setback (ft),,Feet,10 if water and sewer off lot; 10 if water OR sewer on lot; 20 if water and sewer on lot,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,,Feet,15,Feet,,Feet,25 if water and sewer off lot; 25 if water OR sewer on lot; 50 if water and sewer on lot,Alternative,15,Feet
Rear Setback (ft),,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,,Feet,25,Feet,,Feet,50 if water and sewer off lot; 100 if water OR sewer on lot; 100 if water and sewer on lot,Alternative,35 if water and sewer off lot; 50 if water OR sewer on lot; 50 if water and sewer on lot,Alternative
Frontage (ft),,Feet,100 if water and sewer off lot; 100 if water OR sewer on lot; 200 if water and sewer on lot,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,75 if water and sewer off lot; 100 if water OR sewer on lot; 200 if water and sewer on lot,Alternative,,Feet,90 if water and sewer off lot; 125 if water OR sewer on lot; 175 if water and sewer on lot,Alternative,,Feet,150 if water and sewer off lot; 200 if water OR sewer on lot; 300 if water and sewer on lot,Alternative,100 if water and sewer off lot; 125 if water OR sewer on lot; 150 if water and sewer on lot,Alternative
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,35,Percent,,Percent,,Percent,30,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,80,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,80,Feet,,Feet,45,Feet,,Feet,,Feet,45,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,,,,,,,,,,,No,,,,No,,,,No,,No,
Elderly Housing Only,,,No,,,,,,,,,,,,No,,,,No,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.459 if water and sewer off lot; 1.377 if water OR sewer on lot; 2.755 if water and sewer on lot,Alternative,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.138 if water and sewer off lot; 1.377 if water OR sewer on lot; 2.755 if water and sewer on lot,Alternative,,Acres Per Treatment,0.138 if water and sewer off lot; 1.377 if water OR sewer on lot; 1.837 if water and sewer on lot,Acres Per Treatment,,Acres Per Treatment,3.0 if water and sewer off lot; 6 if water OR sewer on lot; 8 if water and sewer on lot,Alternative,0.689 if water and sewer off lot; 1.377 if water OR sewer on lot; 2.755 if water and sewer on lot,Alternative
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,,Feet,20,Feet,,Feet,25 if water and sewer off lot; 25 if water OR sewer on lot; 50 if water and sewer on lot,Alternative,25,Feet
Side Setback (ft),,Feet,10 if water and sewer off lot; 10 if water OR sewer on lot; 20 if water and sewer on lot,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,,Feet,15,Feet,,Feet,25 if water and sewer off lot; 25 if water OR sewer on lot; 50 if water and sewer on lot,Alternative,15,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,,Feet,25,Feet,,Feet,50 if water and sewer off lot; 100 if water OR sewer on lot; 100 if water and sewer on lot,Alternative,35 if water and sewer off lot; 50 if water OR sewer on lot; 50 if water and sewer on lot,Alternative
Frontage (ft),,Feet,100 if water and sewer off lot; 100 if water OR sewer on lot; 200 if water and sewer on lot,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,75 if water and sewer off lot; 100 if water OR sewer on lot; 200 if water and sewer on lot,Alternative,,Feet,90 if water and sewer off lot; 125 if water OR sewer on lot; 175 if water and sewer on lot,Alternative,,Feet,150 if water and sewer off lot; 200 if water OR sewer on lot; 300 if water and sewer on lot,Alternative,100 if water and sewer off lot; 125 if water OR sewer on lot; 150 if water and sewer on lot,Alternative
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,35,Percent,,Percent,,Percent,30,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,80,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,80,Feet,,Feet,45,Feet,,Feet,,Feet,45,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,,,,,,,,,,,No,,,,No,,,,No,,No,
Elderly Housing Only,,,No,,,,,,,,,,,,No,,,,No,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.459 if water and sewer off lot; 1.377 if water OR sewer on lot; 2.755 if water and sewer on lot,Alternative,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,0.138 if water and sewer off lot; 1.377 if water OR sewer on lot; 2.755 if water and sewer on lot,Alternative,,Acres Per Treatment,0.172 if water and sewer off lot; 1.722 if water OR sewer on lot; 2.296 if water and sewer on lot,Acres Per Treatment,,Acres Per Treatment,3.75 if water and sewer off lot; 7.5 if water OR sewer on lot; 10 if water and sewer on lot,Alternative,0.861 if water and sewer off lot; 1.723 if water OR sewer on lot; 3.444 if water and sewer on lot,Alternative
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,20,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,,Feet,20,Feet,,Feet,25 if water and sewer off lot; 25 if water OR sewer on lot; 50 if water and sewer on lot,Alternative,25,Feet
Side Setback (ft),,Feet,10 if water and sewer off lot; 10 if water OR sewer on lot; 20 if water and sewer on lot,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,,Feet,15,Feet,,Feet,25 if water and sewer off lot; 25 if water OR sewer on lot; 50 if water and sewer on lot,Alternative,15,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,15 if water and sewer off lot; 20 if water OR sewer on lot; 20 if water and sewer on lot,Alternative,,Feet,25,Feet,,Feet,50 if water and sewer off lot; 100 if water OR sewer on lot; 100 if water and sewer on lot,Alternative,35 if water and sewer off lot; 50 if water OR sewer on lot; 50 if water and sewer on lot,Alternative
Frontage (ft),,Feet,100 if water and sewer off lot; 100 if water OR sewer on lot; 200 if water and sewer on lot,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,75 if water and sewer off lot; 100 if water OR sewer on lot; 200 if water and sewer on lot,Alternative,,Feet,90 if water and sewer off lot; 125 if water OR sewer on lot; 175 if water and sewer on lot,Alternative,,Feet,150 if water and sewer off lot; 200 if water OR sewer on lot; 300 if water and sewer on lot,Alternative,100 if water and sewer off lot; 125 if water OR sewer on lot; 150 if water and sewer on lot,Alternative
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,35,Percent,,Percent,,Percent,30,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,80,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,80,Feet,,Feet,45,Feet,,Feet,,Feet,45,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
