Abbreviated District Name,FH,Units/Special,I,Units/Special,I/M,Units/Special,LDR,Units/Special,DWA,Units/Special,R,Units/Special,RS,Units/Special,VHD,Units/Special,VR,Units/Special,WET,Units/Special,WHP,Units/Special,CBD,Units/Special,LP,Units/Special
Notes - Write any explanations here.,"New developments prohibited; improvements to existing structures are permitted with public hearing. Buildings must be proven to not increase flooding by more than 1 foot in the community, and structures to be substantially improved must be elevated to 1 foot above base flood elevation; full list of development standards found in Section VII of Flood Hazard Bylaws. ",,PUD permitted uses are the uses permitted in the proposed districts,,PUD permitted uses are the uses permitted in the proposed districts,,Lot size can be waived to no less than 1 acre provided that overall permittable density on the lot stays the same (according to table 7.1),,Administrative officer/board of approval must find that any new development in the DWA has minimized impacts on deer wintering. Administrative officer approval when only a zoning permit is needed for development and BOA when conditional use (public hearing) is needed.,,,,,,"Any changes to existing structures must be approved by the planning commission, including additions, alterations, demolition, and relocation of the structure. Change of use/occupancy and routine repairs not affecting the outside of the structure do not require approval. Specific details found in Section 3.13 of bylaws.",,,,The overlay consists of designated wetlands and 50' surrounding the wetlands. Any development w/in this overlay must be issued a state wetlands permit prior to construction.,,"Mapped as the ""source protection area"". Nonresidential uses are restricted in this overlay to protect drinking water quality, but residential uses are unaffected.",,,,,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,N/A,,Acres Per Treatment,,Acres Per Treatment,7,Acres Per Treatment,,N/A,1 acre; 0.34/public water; 0.18/public sewer + water,Contextual,0.14,Acres Per Treatment,,N/A,0.14,Acres Per Treatment,,N/A,,N/A,,Acres Per Treatment,0.46,Acres Per Treatment
Front Setback (ft),,N/A,,Feet,,Feet,70,Feet,,N/A,55'; 40'/public water and/or sewer,Contextual,40,Feet,,N/A,40,Feet,,N/A,,N/A,,Feet,40'/US 5 + VT 25; 25'/other roads ,Contextual
Side Setback (ft),,N/A,,Feet,,Feet,50,Feet,,N/A,25'; 10'/public water and/or sewer,Contextual,10'; at least 20' between structures,Contextual,,N/A,10'; at least 20' between structures,Contextual,,N/A,,N/A,,Feet,10,Feet
Rear Setback (ft),,N/A,,Feet,,Feet,50,Feet,,N/A,25'; 10'/public water and/or sewer,Contextual,10'; at least 20' between structures,Contextual,,N/A,10'; at least 20' between structures,Contextual,,N/A,,N/A,,Feet,10,Feet
Frontage (ft),,N/A,,Feet,,Feet,200'; avg. lot width if not on public highways,Contextual,,N/A,200'; 100'/public water; 80'/public sewer + water,Contextual,60,Feet,,N/A,60,Feet,,N/A,,N/A,,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A,,N/A,,N/A,70,Percent,,N/A,70,Percent,,N/A,,N/A,,Percent,70,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Minimum Parking Spaces,,N/A,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,1,Spaces Per Unit
Max. Stories,,N/A,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),,N/A,,Feet,,Feet,35,Feet,,N/A,35,Feet,35,Feet,,N/A,35,Feet,,N/A,,N/A,,Feet,50,Feet
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,n,,,,,,
Affordable Housing Only,,,,,,,No,,,,No,,No,,,N/A,No,,,,,,,,No,
Elderly Housing Only,,,,,,,No,,,,No,,No,,,N/A,No,,,,,,,,No,
Minimum Lot Size (acres),,N/A,,Acres Per Treatment,,Acres Per Treatment,7,Acres Per Treatment,,N/A,1 acre; 0.34/public water; 0.18/public sewer + water,Contextual,0.14,Acres Per Treatment,,N/A,0.14,Acres Per Treatment,,N/A,,N/A,,Acres Per Treatment,0.46,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,N/A
Front Setback (ft),,N/A,,Feet,,Feet,70,Feet,,N/A,55'; 40'/public water and/or sewer,Contextual,40,,,N/A,40,Feet,,N/A,,N/A,,Feet,40'/US 5 + VT 25; 25'/other roads ,Contextual
Side Setback (ft),,N/A,,Feet,,Feet,50,Feet,,N/A,25'; 10'/public water and/or sewer,Contextual,10'; at least 20' between structures,Contextual,,N/A,10'; at least 20' between structures,Contextual,,N/A,,N/A,,Feet,10,Feet
Rear Setback (ft),,N/A,,Feet,,Feet,50,Feet,,N/A,25'; 10'/public water and/or sewer,Contextual,10'; at least 20' between structures,Contextual,,N/A,10'; at least 20' between structures,Contextual,,N/A,,N/A,,Feet,10,Feet
Frontage (ft),,N/A,,Feet,,Feet,200'; avg. lot width if not on public highways,Contextual,,N/A,200'; 100'/public water; 80'/public sewer + water,Contextual,60,Feet,,N/A,60,Feet,,N/A,,N/A,,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A,,N/A,,N/A,70,Percent,,N/A,70,Percent,,N/A,,N/A,,Percent,70,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,1,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit,1,Spaces Per Unit
Max. Stories,,N/A,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),,N/A,,Feet,,Feet,35,Feet,,N/A,35,Feet,35,Feet,,N/A,35,Feet,,N/A,,N/A,,Feet,50,Feet
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,,,No,,,,,,No,,,No,,,No,,,,,,No,,No,
Elderly Housing Only,,,,,No,,,,,,No,,,No,,,No,,,,,,No,,No,
Minimum Lot Size (acres),,N/A,,Acres Per Treatment,0.46,Acres Per Treatment,,Acres Per Treatment,,N/A,1 acre; 0.34/public water; 0.18/public sewer + water,Contextual,0.14,Acres Per Treatment,,N/A,0.14,Acres Per Treatment,,N/A,,N/A,0.09,Acres Per Treatment,0.46,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),,N/A,,Feet,40,Feet,,Feet,,N/A,55'; 40'/public water and/or sewer,Contextual,40,Feet,,N/A,40,Feet,,N/A,,N/A,25,Feet,40'/US 5 + VT 25; 25'/other roads ,Contextual
Side Setback (ft),,N/A,,Feet,15,Feet,,Feet,,N/A,25'; 10'/public water and/or sewer,Contextual,10'; at least 20' between structures,Contextual,,N/A,10'; at least 20' between structures,Contextual,,N/A,,N/A,,Feet,10,Feet
Rear Setback (ft),,N/A,,Feet,15,Feet,,Feet,,N/A,25'; 10'/public water and/or sewer,Contextual,10'; at least 20' between structures,Contextual,,N/A,10'; at least 20' between structures,Contextual,,N/A,,N/A,,Feet,10,Feet
Frontage (ft),,N/A,,Feet,60,Feet,,Feet,,N/A,200'; 100'/public water; 80'/public sewer + water,Contextual,60,Feet,,N/A,60,Feet,,N/A,,N/A,20,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,50,Percent,,Percent,,N/A,,N/A,70,Percent,,N/A,70,Percent,,N/A,,N/A,100,Percent,70,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,1,Spaces Per Unit,1,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,1,Spaces Per Unit,1,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Max. Stories,,N/A,,Stories,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,Feet,35,Feet,,Feet,,N/A,35,Feet,35,Feet,,N/A,35,Feet,,N/A,,N/A,50,Feet,50,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,No,,,,,,No,,,No,,,No,,,,,,No,,No,
Elderly Housing Only,,,,,No,,,,,,No,,,No,,,No,,,,,,No,,No,
Minimum Lot Size (acres),,N/A,,Acres Per Treatment,0.46,Acres Per Treatment,,Acres Per Treatment,,N/A,1 acre; 0.34/public water; 0.18/public sewer + water,Contextual,0.14,Acres Per Treatment,,N/A,0.14,Acres Per Treatment,,N/A,,N/A,0.09,Acres Per Treatment,0.46,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),,N/A,,Feet,40,Feet,,Feet,,N/A,55'; 40'/public water and/or sewer,Contextual,40,Feet,,N/A,40,Feet,,N/A,,N/A,25,Feet,40'/US 5 + VT 25; 25'/other roads ,Contextual
Side Setback (ft),,N/A,,Feet,15,Feet,,Feet,,N/A,25'; 10'/public water and/or sewer,Contextual,10'; at least 20' between structures,Contextual,,N/A,10'; at least 20' between structures,Contextual,,N/A,,N/A,,Feet,10,Feet
Rear Setback (ft),,N/A,,Feet,15,Feet,,Feet,,N/A,25'; 10'/public water and/or sewer,Contextual,10'; at least 20' between structures,Contextual,,N/A,10'; at least 20' between structures,Contextual,,N/A,,N/A,,Feet,10,Feet
Frontage (ft),,N/A,,Feet,60,Feet,,Feet,,N/A,200'; 100'/public water; 80'/public sewer + water,Contextual,60,Feet,,N/A,60,Feet,,N/A,,N/A,20,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,50,Percent,,Percent,,N/A,,N/A,70,Percent,,N/A,70,Percent,,N/A,,N/A,100,Percent,70,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,N/A,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,1,Spaces Per Unit,1,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,1,Spaces Per Unit,1,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Max. Stories,,N/A,,Stories,,N/A,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,Feet,35,Feet,,Feet,,N/A,35,Feet,35,Feet,,N/A,35,Feet,,N/A,,N/A,50,Feet,50,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,Units Per Building,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,,,,,,,,No,,,No,,,,,,No,,No,
Elderly Housing Only,,,,,,,,,,,,,,No,,,No,,,,,,No,,No,
Minimum Lot Size (acres),,N/A,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,,0.14,Acres Per Treatment,,N/A,0.14,Acres Per Treatment,,N/A,,N/A,0.09,Acres Per Treatment,0.46,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Front Setback (ft),,N/A,,Feet,,Feet,,Feet,,N/A,,,40,Feet,,N/A,40,Feet,,N/A,,N/A,25,Feet,40'/US 5 + VT 25; 25'/other roads ,Contextual
Side Setback (ft),,N/A,,Feet,,Feet,,Feet,,N/A,,,10'; at least 20' between structures,Contextual,,N/A,10'; at least 20' between structures,Contextual,,N/A,,N/A,,Feet,10,Feet
Rear Setback (ft),,N/A,,Feet,,Feet,,Feet,,N/A,,,10'; at least 20' between structures,Contextual,,N/A,10'; at least 20' between structures,Contextual,,N/A,,N/A,,Feet,10,Feet
Frontage (ft),,N/A,,Feet,,Feet,,Feet,,N/A,,,60,Feet,,N/A,60,Feet,,N/A,,N/A,20,Feet,100,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,Percent,,N/A,,,70,Percent,,N/A,70,Percent,,N/A,,N/A,100,Percent,70,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,Percent,,N/A,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,1,Spaces Per Unit,1,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,1,Spaces Per Unit,1,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Max. Stories,,N/A,,Stories,,Stories,,Stories,,N/A,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,Feet,,Feet,,Feet,,N/A,,,35,Feet,,N/A,35,Feet,,N/A,,N/A,50,Feet,50,Feet
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,No,,No,,,,No,,No,,,,No,,,,,,No,,No,
Minimum Lot Size (acres),,N/A,,Acres Per Treatment,0.46,Acres Per Treatment,7,Acres Per Treatment,,N/A,1 acre; 0.34/public water; 0.18/public sewer + water,Contextual,0.14,Acres Per Treatment,,N/A,0.14,Acres Per Treatment,,N/A,,N/A,0.09,Acres Per Treatment,0.46,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,1,Spaces Per Unit,1,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,1,Spaces Per Unit,1,Spaces Per Unit
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,,,,,No,,,,No,,No,,,,No,,,,,,No,,No,
Renter Occupancy Required,,,,,,,No,,,,No,,No,,,,No,,,,,,No,,No,
Owner Occupancy Required,,,,,,,No,,,,No,,No,,,,No,,,,,,No,,No,
Elderly Housing Only,,,,,,,No,,,,No,,No,,,,No,,,,,,No,,No,
Minimum Lot Size (acres),,N/A,,Acres Per Treatment,,Acres Per Treatment,7,Acres Per Treatment,,N/A,1 acre; 0.34/public water; 0.18/public sewer + water,Contextual,0.14,Acres Per Treatment,,N/A,0.14,Acres Per Treatment,,N/A,,N/A,0.09,Acres Per Treatment,0.46,Acres Per Treatment
Minimum Parking Spaces,,N/A,,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A,1,Spaces Per Unit,,N/A,,N/A,1,Spaces Per Unit,1,Spaces Per Unit
Restricted to Only Primary Structure,,,,,,,no; must be w/in 100' of home,,,,no; must be w/in 100' of home,,no; must be w/in 100' of home,,,N/A,no; must be w/in 100' of home,,,N/A,,,no; must be w/in 100' of home,,no; must be w/in 100' of primary structure,
Max. ADU Size (%),,N/A,,Percent,,Percent,50,Percent,,N/A,50,Percent,50,Percent,,N/A,50,Percent,,N/A,,N/A,50,Percent,50,Percent
Max. ADU Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,1,Bedrooms Per Unit,,N/A,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,N/A,1,Bedrooms Per Unit,,N/A,,N/A,1,Bedrooms Per Unit,1,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,N/A,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,,,,,N/A,,,,,,N/A,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,,,,,N/A,,,,,,N/A,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Allowed,,,Yes,,Yes,,Yes,,,,Yes,,Yes,,,,Yes,,,,,,Yes,,Yes,
PUD requiring land conservation,,,No,,No,,No,,,,No,,No,,,,No,,,,,,No,,No,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,,,,,,,,,,,Units Per Acre,,Units Per Acre,,Units Per Acre
