Abbreviated District Name,RL1,Units/Special,RL2,Units/Special,L,Percent,P,Units/Special,F,Units/Special,AZ,Units/Special,SO,Units/Special
PRDs Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Prohibited,,Overlay,
Notes - Write any explanations here.,,,,,,,,,,,,,,
1-Family Dimensions,,,,,,,,,,,,,,
Minimum Lot Size (acres),1.75,Acres Per Treatment,15,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment,,N/A
Front Setback (ft),100,Feet,100,Feet,25,Feet,125,Feet,100,Feet,,Feet,,N/A
Side Setback (ft),50,Feet,50,Feet,10,Feet,25,Feet,75,Feet,,Feet,,N/A
Rear Setback (ft),50,Feet,50,Feet,10,Feet,25,Feet,75,Feet,,Feet,,N/A
Frontage (ft),200,Feet,400,Feet,200,Feet,200,Feet,800,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),,N/A,,N/A,26,Feet,,N/A,,N/A,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
2-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,,,,,No,,,,No,
Elderly Housing Only,No,,No,,,,,,No,,,,No,
Minimum Lot Size (acres),3.5,Acres Per Treatment,15,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),0.57,Units Per Acre,0.13,Units Per Acre,,Units Per Acre,,Units Per Acre,0.08,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),100,Feet,100,Feet,,Feet,,Feet,100,Feet,,Feet,,N/A
Side Setback (ft),50,Feet,50,Feet,,Feet,,Feet,75,Feet,,Feet,,N/A
Rear Setback (ft),50,Feet,50,Feet,,Feet,,Feet,75,Feet,,Feet,,N/A
Frontage (ft),200,Feet,400,Feet,,Feet,,Feet,800,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,Percent,,Percent,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent,,N/A,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,Stories,,Stories,,N/A,,Stories,,N/A
Max. Height (ft),,N/A,,N/A,,Feet,,Feet,,N/A,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet,,N/A
3-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,,,,,,,,,,,No,
Elderly Housing Only,No,,,,,,,,,,,,No,
Minimum Lot Size (acres),5.25,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),0.57,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),100,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),200,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,,,,,,,,,,,No,
Connection or Proximity to Public Transit Required,No,,,,,,,,,,,,No,
Max. Stories,,N/A,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,N/A,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,,,,,,,No,
Elderly Housing Only,No,,,,,,,,,,,,No,
Minimum Lot Size (acres),7,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),0.57,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),100,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),200,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,,,,,,,,,,,No,
Connection or Proximity to Public Transit Required,No,,,,,,,,,,,,No,
Max. Stories,,N/A,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,N/A,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,,,,,,,No,
Elderly Housing Only,No,,,,,,,,,,,,No,
Minimum Lot Size (acres),8.75,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),0.57,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),100,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Side Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Rear Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Frontage (ft),200,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,,,,,,,,,,,No,
Connection or Proximity to Public Transit Required,No,,,,,,,,,,,,No,
Max. Stories,,N/A,,Stories,,Stories,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,N/A,,Feet,,Feet,,Feet,,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,
Elderly Housing Only,No,,No,,No,,No,,No,,,,No,
Minimum Lot Size (acres),1.75,Acres Per Treatment,15,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment,,N/A
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit,,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,,,No,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,,Percent,,N/A
Max. ADU Size (sq. ft.),600,Square Feet,600,Square Feet,600,Square Feet,600,Square Feet,600,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
