Abbreviated District Name,GV,Units/Special,GBV,Units/Special,RL,Units/Special,RE,Units/Special,SP,Units/Special
Maximum Density (units/acre),4,Units Per Acre,4,Units Per Acre,0.2,Units Per Acre,0.08,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,25,Feet,50,Feet,50,Feet,,Feet
Side Setback (ft),15,Feet,15,Feet,50,Feet,50,Feet,,Feet
Rear Setback (ft),15,Feet,15,Feet,50,Feet,50,Feet,,Feet
Frontage (ft),100,Feet,100,Feet,300,Feet,500,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,N/A,,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet
3-Family Dimensions,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,,,,
Elderly Housing Only,No,,No,,No,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),6,Units Per Acre,6,Units Per Acre,0.3,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,25,Feet,50,Feet,,Feet,,Feet
Side Setback (ft),15,Feet,15,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),15,Feet,15,Feet,50,Feet,,Feet,,Feet
Frontage (ft),100,Feet,100,Feet,300,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,No,,No,,,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,,,,
Elderly Housing Only,No,,No,,No,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),8,Units Per Acre,8,Units Per Acre,0.4,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,25,Feet,50,Feet,,Feet,,Feet
Side Setback (ft),15,Feet,15,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),15,Feet,15,Feet,50,Feet,,Feet,,Feet
Frontage (ft),100,Feet,100,Feet,300,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,No,,No,,,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,,,,
Elderly Housing Only,No,,No,,No,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),10,Units Per Acre,10,Units Per Acre,0.5,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,25,Feet,50,Feet,,Feet,,Feet
Side Setback (ft),15,Feet,15,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),15,Feet,15,Feet,50,Feet,,Feet,,Feet
Frontage (ft),100,Feet,100,Feet,300,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,No,,No,,,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,
Elderly Housing Only,No,,No,,No,,No,,No,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,10,Acres Per Treatment,25,Acres Per Treatment,1,Acres Per Treatment
Minimum Parking Spaces,,N/A,,N/A,,N/A,,N/A,,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,No,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,30,Percent
Max. ADU Size (sq. ft.),1200,Square Feet,1200,Square Feet,1200,Square Feet,1200,Square Feet,800,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,Yes,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,
PUD Threshold #,,,,,,,,,,
PUD Allowed,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
