Abbreviated District Name,RES,Units/Special,REC,Units/Special,P,Units/Special,G,Units/Special,FH,Units/Special,C/R,Units/Special,CN,Units/Special,FAH,Units/Special
Notes - Write any explanations here.,Public hearing to add your building to FAH district,,,,,,,,New construction and major improvement is public hearing,,"Dimensions are for C/R 1 and 2, C/R 3 (district @ intersection of W Jamaica and Stratton Arlington) has different dimensions: min lot size is 1 acre, frontage is 100, and setbacks from property line is 25 ft (from cetner road is still 50)",,"setback is from property line, 175 ft min from center line of road/right of way",,"Density max of 5 units/acre, Only in RES or C/R districts, must follow rules on page 51 of bylaws pdf",
1-Family Dimensions,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,25,Acres Per Treatment,,Acres Per Treatment
Front Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,150,Feet,,Feet
Side Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,150,Feet,,Feet
Rear Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,150,Feet,,Feet
Frontage (ft),200,Feet,,Feet,,Feet,,Feet,,Feet,200,Feet,600,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces,1.5 plus 1 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5 plus 1 per bedroom past 2 bedrooms,Contextual,1.5 plus 1 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,,,,,,,,,No,,,,,
Elderly Housing Only,No,,,,,,,,,,No,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),0.5,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,0.5,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Side Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Frontage (ft),200,Feet,,Feet,,Feet,,Feet,,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,1.5 plus 1 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5 plus 1 per bedroom past 2 bedrooms,Contextual,,Contextual,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1.5 plus 1 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5 plus 1 per bedroom past 2 bedrooms,Contextual,,Contextual,,Spaces Per Unit
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,,,,,,,,,No,,,,,
Elderly Housing Only,No,,,,,,,,,,No,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),0.5,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,0.5,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Side Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Frontage (ft),200,Feet,,Feet,,Feet,,Feet,,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,,,,,,,,,No,,,,,
Connection or Proximity to Public Transit Required,No,,,,,,,,,,No,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,,,,,No,,,,,
Elderly Housing Only,No,,,,,,,,,,No,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),0.5,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,0.5,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Side Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Frontage (ft),200,Feet,,Feet,,Feet,,Feet,,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,,,,,,,,,No,,,,,
Connection or Proximity to Public Transit Required,No,,,,,,,,,,No,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,,,,,No,,,,,
Elderly Housing Only,No,,,,,,,,,,No,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),0.5,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,0.5,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Side Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),50,Feet,,Feet,,Feet,,Feet,,Feet,50,Feet,,Feet,,Feet
Frontage (ft),200,Feet,,Feet,,Feet,,Feet,,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5 plus 0.5 per bedroom past 2 bedrooms,Contextual,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,,,,,,,,,No,,,,,
Connection or Proximity to Public Transit Required,No,,,,,,,,,,No,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),35,Feet,,Feet,,Feet,,Feet,,Feet,35,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,,,,,,,,,,,,,,
Renter Occupancy Required,,,,,,,,,,,,,,,,
Owner Occupancy Required,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,,,,,,,,,,,,,,,,
Max. ADU Size (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. ADU Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,Yes,,,,,,,,,,Yes,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,
PUD Allowed,Yes,,,,,,,,,,Yes,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
