Abbreviated District Name,UC,Units/Special,VC,Units/Special,SC,Units/Special,NC,Units/Special,MU,Units/Special,RN-36,Units/Special,RN-54,Units/Special,RL,Units/Special,RR,Units/Special,WF,Units/Special,IT,Units/Special,IN,Units/Special,FHO,Units/Special,HRO,Units/Special,MMHO,Units/Special
Rear Setback (ft),0,,6,,20,,6,,6,,6,,10,,,,40,,20,,,,,,,,,,6,
Frontage (ft),30,,36,,90,,36,,36,,36,,48,,,,150,,90,,90,,,,,,,,,
Max. Lot Coverage - Buildings (%),,,80,,70,,80,,80,,80,,70,,,,30,,40,,,,,,,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,,,,,,,,,,
Minimum Parking Spaces per 2+ BR,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,,,,,,,,,,
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,Yes,,No,,No,,,,No,,No,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Max. Stories,6,,4,,5,,5,,5,,3,,3,,,,,,,,,,,,,,,,,
Max. Height (ft),,,,,,,,,,,,,,,,,35,,35,,,,,,,,,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 plus 100 per bedroom,
Max. Bedrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),0.05,,0.08,,0.5,,0.08,,0.08,,0.08,,0.12,,,,1.5,,0.5,,0.5,,,,,,,,,
Maximum Density (units/acre),,,,,,,,,,,,,,,,,0.67,,2,,1,,,,,,,,,
Front Setback (ft),0,,10,,20,,10,,10,,10,,15,,,,40,,20,,,,,,,,,,10,
Side Setback (ft),0,,6,,20,,6,,6,,6,,10,,,,20,,20,,,,,,,,,,6,
Rear Setback (ft),0,,6,,20,,6,,6,,6,,10,,,,40,,20,,,,,,,,,,6,
Frontage (ft),30,,36,,90,,36,,36,,36,,48,,,,150,,90,,90,,,,,,,,,
Max. Lot Coverage - Buildings (%),,,80,,70,,80,,80,,80,,70,,,,30,,40,,,,,,,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,,,,,,,,,,
Minimum Parking Spaces per 2+ BR,1,,1,,1,,1,,1,,1,,1,,,,1,,1,,,,,,,,,,,
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,Yes,,n,,No,,,,No,,No,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,Yes,,Yes,,Yes,,No,,No,,n,,No,,,,No,,No,,No,,,,,,,,,
Max. Stories,6,,4,,5,,5,,5,,3,,3,,,,,,,,,,,,,,,,,
Max. Height (ft),,,,,,,,,,,,,,,,,35,,35,,,,,,,,,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 plus 100 per bedroom,
Max. Bedrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. Units Per Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,,,,,No,,No,,,,,,,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,,,,,No,,No,,,,,,,,,
Minimum Lot Size (acres),0.05,,0.08,,0.5,,0.08,,0.08,,0.08,,0.12,,,,,,0.5,,0.5,,,,,,,,,
Maximum Density (units/acre),,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,
Front Setback (ft),0,,10,,20,,10,,10,,10,,15,,,,,,20,,,,,,,,,,10,
Side Setback (ft),0,,6,,20,,6,,6,,6,,10,,,,,,20,,,,,,,,,,6,
Rear Setback (ft),0,,6,,20,,6,,6,,6,,10,,,,,,20,,,,,,,,,,6,
Frontage (ft),30,,36,,90,,36,,36,,36,,48,,,,,,90,,90,,,,,,,,,
Max. Lot Coverage - Buildings (%),,,80,,70,,80,,80,,80,,70,,,,,,40,,,,,,,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,1,,1,,1,,1,,1,,1,,1,,,,,,1,,,,,,,,,,,
Minimum Parking Spaces per 2+ BR,1,,1,,1,,1,,1,,1,,1,,,,,,1,,,,,,,,,,,
Connection to Sewer and/or Water Required,Yes,,Yes,,Yes,,Yes,,Yes,,n,,No,,,,,,No,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,No,,n,,No,,,,,,No,,No,,,,,,,,,
Max. Stories,6,,4,,5,,5,,5,,3,,3,,,,,,,,,,,,,,,,,
Max. Height (ft),,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 plus 100 per bedroom,
Max. Bedrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. Units Per Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Density (units/acre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per 2+ BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. Bedrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. Units Per Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Max. ADU Size (%),30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,30,,,,,,,,,
Max. ADU Size (sq. ft.),900,,900,,900,,900,,900,,900,,900,,900,,900,,900,,900,,,,,,,,,
Max. Bedrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,
Minimum Lot Size (acres),,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,
Maximum Density (units/acre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max. Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUD Allowed,,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,
PUD requiring land conservation,,,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
