id,created,updated,expired,type,abbrvname,name,mapped,extinct,overlay,jurisdiction_id,specialnotes,status,affordable_district,elderly_district,family1_treatment,family2_treatment,family3_treatment,family4_treatment,accessory_treatment,affordable_treatment,accessory_elderly_only,accessory_family_required,accessory_maxbedrooms,accessory_maxpercent,accessory_maxsqft,accessory_minlotacres,accessory_minparking,accessory_owner_required,accessory_primarystructure_only,accessory_renter_prohibited,affordable_definition,affordable_elderly_only,affordable_maxbedrooms,affordable_maxunitsperacre,affordable_maxunitsperbldg,affordable_minlotacres,affordable_minparking_1br,affordable_minparking_2br,affordable_minunitsqft,affordable_transit_required,affordable_water_required,family1_floorarearatio,family1_frontsetbackft,family1_maxheightft,family1_maxlotcoverage_building,family1_maxlotcoverage_buildingimpervious,family1_maxstories,family1_minlotacres,family1_minparking,family1_minunitsqft,family1_rearsetbackft,family1_sidesetbackft,family2_affordable_only,family2_elderly_only,family2_floorarearatio,family2_frontsetbackft,family2_maxheightft,family2_maxlotcoverage_building,family2_maxlotcoverage_buildingimpervious,family2_maxstories,family2_maxunitsperacre,family2_minlotacres,family2_minparking_1br,family2_minparking_2br,family2_minunitsqft,family2_rearsetbackft,family2_sidesetbackft,family3_affordable_only,family3_elderly_only,family3_floorarearatio,family3_frontsetbackft,family3_maxbedrooms,family3_maxheightft,family3_maxlotcoverage_building,family3_maxlotcoverage_buildingimpervious,family3_maxstories,family3_maxunitsperacre,family3_minlotacres,family3_minparking_1br,family3_minparking_2br,family3_minunitsqft,family3_rearsetbackft,family3_sidesetbackft,family3_transit_required,family3_water_required,family4_affordable_only,family4_elderly_only,family4_floorarearatio,family4_frontsetbackft,family4_maxbedrooms,family4_maxheightft,family4_maxlotcoverage_building,family4_maxlotcoverage_buildingimpervious,family4_maxstories,family4_maxunitsperacre,family4_maxunitsperbldg,family4_minlotacres,family4_minparking_1br,family4_minparking_2br,family4_minunitsqft,family4_rearsetbackft,family4_sidesetbackft,family4_transit_required,family4_water_required,plannedresidential_maxunits,plannedresidential_maxunitsperacre,plannedresidential_minlotacres,plannedresidential_mobilehome,plannedresidential_treatment,tooltipnotes,customfielddata,effectivedate,acres,nonresidential_type,jurisdiction,county,state
62627,2024/02/20,2024/02/25,,X,MI,Medical Institution,1,0,0,51,,done,0,0,prohibited,prohibited,prohibited,prohibited,allowed,nomention,0,0,,"30","900",,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nomention,,"{""36_87"": """", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,13.1626992858366,gov,Saint Albans City,Franklin County,Vermont
62622,2024/02/20,2024/02/25,,R,LDR,Residential 9500,1,0,0,51,,done,0,0,allowed,hearing,allowed,allowed,allowed,nomention,0,0,,"30","900",,,1,0,0,,,,,,,,,,,,,20 feet or average of neighboring properties within 200 feet,"28",,"40",,"0.2","2",,20 feet or average of neighboring properties within 200 feet,"10",0,0,,20 feet or average of neighboring properties within 200 feet,"28",,"40",,"10","0.2","2.5","2.5",,20 feet or average of neighboring properties within 200 feet,"10",0,0,,20 feet or average of neighboring properties within 200 feet,,"28",,"40",,"5","0.6","2.5","2.5",,20 feet or average of neighboring properties within 200 feet,"10",0,1,0,0,,20 feet or average of neighboring properties within 200 feet,,"28",,"40",,"5","4","0.8","2.5","2.5",,20 feet or average of neighboring properties within 200 feet,"10",0,1,,,,,nomention,,"{""36_87"": ""75"", ""36_88"": ""75"", ""36_89"": ""75"", ""36_90"": ""75"", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,711.18813056101,,Saint Albans City,Franklin County,Vermont
63589,2024/02/27,2024/03/01,,X,FHOD,Flood Hazard Overlay,1,0,1,51,,done,0,0,prohibited,prohibited,prohibited,prohibited,hearing,nomention,0,0,,"30","900",,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prohibited,,"{""36_87"": """", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": """", ""37_93"": """", ""37_94"": """", ""37_95"": """", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/27,2.16811820578751,protected,Saint Albans City,Franklin County,Vermont
63409,2024/02/25,2024/02/25,,R,MDOD,Multi-Dwelling Overlay,1,0,1,51,,done,0,0,overlay,overlay,overlay,overlay,nomention,nomention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0,0,,,,,nomention,Minimum of 10 units per building. Public hearing required.,"{""36_87"": """", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": ""0.34"", ""38_99"": ""29"", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": ""1.5"", ""38_106"": ""1.5"", ""38_107"": ""t"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": ""72"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/25,5.08609024173231,,Saint Albans City,Franklin County,Vermont
62628,2024/02/20,2024/02/25,,X,S-IND,Service-Industrial,1,0,0,51,,done,0,0,prohibited,prohibited,prohibited,prohibited,allowed,nomention,0,0,,"30","900",,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nomention,,"{""36_87"": """", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,190.500352803573,industrial,Saint Albans City,Franklin County,Vermont
62626,2024/02/20,2024/02/25,,M,B2,Traditional Business,1,0,0,51,,done,0,0,hearing,hearing,allowed,allowed,allowed,nomention,0,0,,"30","900",,,1,0,0,,,,,,,,,,,,,Average of neighboring properties within 200 feet,"28",,"70",,"0.17","2",,"10","10",0,0,,Average of neighboring properties within 200 feet,"28",,"70",,"11","0.17","2.5","2.5",,"10","10",0,0,,Average of neighboring properties within 200 feet,,"28",,"70",,"8","0.34","2.5","2.5",,"10","10",0,1,0,0,,Average of neighboring properties within 200 feet,,"28",,"70",,"8",,"0.5","2.5","2.5",,"10","10",0,1,,,,,nomention,Public hearing required for 3- and 4-unit housing if lot area is less than 0.17 acres per unit. Public hearing required for all 5+ unit housing.,"{""36_87"": ""75"", ""36_88"": ""75"", ""36_89"": ""75"", ""36_90"": ""75"", ""36_91"": ""75"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": ""0.57"", ""38_99"": ""8"", ""38_100"": """", ""38_101"": ""10"", ""38_102"": ""10"", ""38_103"": """", ""38_104"": ""70"", ""38_105"": ""2.5"", ""38_106"": ""2.5"", ""38_107"": ""t"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": ""28"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,102.144980463894,commercial,Saint Albans City,Franklin County,Vermont
62624,2024/02/20,2024/02/25,,R,BNT,Business-Neighborhood Transition,1,0,0,51,,done,0,0,allowed,hearing,allowed,allowed,allowed,nomention,0,0,,"30","900",,,1,0,0,,,,,,,,,,,,,20 feet or average of neighboring properties within 200 feet,"28",,"40",,"0.2","2",,20 feet or average of neighboring properties within 200 feet,"10",0,0,,20 feet or average of neighboring properties within 200 feet,"28",,"40",,"10","0.2","2.5","2.5",,20 feet or average of neighboring properties within 200 feet,"10",0,0,,20 feet or average of neighboring properties within 200 feet,,"28",,"40",,"5","0.6","2.5","2.5",,20 feet or average of neighboring properties within 200 feet,"10",0,1,0,0,,20 feet or average of neighboring properties within 200 feet,,"28",,"40",,"5","4","0.8","2.5","2.5",,20 feet or average of neighboring properties within 200 feet,"10",0,1,,,,,nomention,,"{""36_87"": ""75"", ""36_88"": ""75"", ""36_89"": ""75"", ""36_90"": ""75"", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,2.84477829366262,,Saint Albans City,Franklin County,Vermont
63393,2024/02/24,2024/02/25,,M,RP,Residential-Professional,1,0,0,51,,done,1,0,allowed,hearing,allowed,allowed,allowed,nomention,0,0,,"30","900",,,1,0,0,,,,,,,,,,,,,Average of neighboring properties within 200 feet,"28",,"70",,"0.17","2",,Average of neighboring properties within 200 feet,"10",0,0,,Average of neighboring properties within 200 feet,"28",,"70",,"11","0.17","2.5","2.5",,Average of neighboring properties within 200 feet,"10",0,0,,Average of neighboring properties within 200 feet,,"28",,"70",,"8","0.34","2.5","2.5",,Average of neighboring properties within 200 feet,"10",0,1,0,0,,Average of neighboring properties within 200 feet,,"28",,"70",,"8",,"0.5","2.5","2.5",,Average of neighboring properties within 200 feet,"10",0,1,,,,,nomention,Public hearing required for 3- and 4-unit housing if lot area is less than 0.17 acres per unit. Public hearing required for all 5+ unit housing.,"{""36_87"": ""75"", ""36_88"": ""75"", ""36_89"": ""75"", ""36_90"": ""75"", ""36_91"": ""75"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": ""0.57"", ""38_99"": ""8"", ""38_100"": """", ""38_101"": ""10"", ""38_102"": """", ""38_103"": """", ""38_104"": ""70"", ""38_105"": ""2.5"", ""38_106"": ""2.5"", ""38_107"": ""t"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": ""28"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/24,31.5101354285673,commercial,Saint Albans City,Franklin County,Vermont
62625,2024/02/20,2024/02/25,,M,B1,Central Business,1,0,0,51,,done,0,0,allowed,allowed,allowed,allowed,allowed,nomention,0,0,,"30","900",,,1,0,0,,,,,,,,,,,,,,"60",,,,,"None if lot is under 1 acre. Otherwise, 2 spaces",,,,0,0,,,"60",,,,,,2.5 if lot > 1 acre,2.5 if lot > 1 acre,,,,0,0,,,,"60",,,,,,2.5 if lot > 1 acre,2.5 if lot > 1 acre,,,,0,1,0,0,,,,"60",,,,,,,2.5 if lot > 1 acre,2.5 if lot > 1 acre,,,,0,1,,,,,nomention,"Public Hearing required if dwelling units are located on first floor or at density higher than 2,000 sq.ft. of lot space per dwelling unit.","{""36_87"": ""20"", ""36_88"": ""20"", ""36_89"": ""20"", ""36_90"": ""20"", ""36_91"": ""20"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": ""t"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": ""60"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,104.68027263372,commercial,Saint Albans City,Franklin County,Vermont
62623,2024/02/20,2024/02/25,,R,HDR,Residential 7500,1,0,0,51,,done,0,0,allowed,hearing,allowed,allowed,allowed,nomention,0,0,,"30","900",,,1,0,0,,,,,,,,,,,,,20 feet or average of neighboring properties within 200 feet,"28",,"50",,"0.17","2",,10 feet or average of neighboring properties within 200 feet,"10",0,0,,10 feet or average of neighboring properties within 200 feet,"28",,"50",,"11","0.17","2.5","2.5",,20 feet or average of neighboring properties within 200 feet,"10",0,0,,10 feet or average of neighboring properties within 200 feet,,"28",,"50",,"8","0.34","2.5","2.5",,20 feet or average of neighboring properties within 200 feet,"10",0,1,0,0,,10 feet or average of neighboring properties within 200 feet,,"28",,"50",,"8",,"0.5","2.5","2.5",,20 feet or average of neighboring properties within 200 feet,"10",0,1,,,,,nomention,Public hearing required for 3- and 4-unit housing if lot area is less than 0.17 acres per unit. Public hearing required for all 5+ unit housing.,"{""36_87"": ""75"", ""36_88"": ""75"", ""36_89"": ""75"", ""36_90"": ""75"", ""36_91"": ""75"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": ""0.57"", ""38_99"": ""8"", ""38_100"": """", ""38_101"": ""10"", ""38_102"": """", ""38_103"": """", ""38_104"": ""50"", ""38_105"": ""2.5"", ""38_106"": ""2.5"", ""38_107"": ""t"", ""38_108"": ""f"", ""38_109"": """", ""38_110"": ""28"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,97.5475648768316,,Saint Albans City,Franklin County,Vermont
62636,2024/02/20,2024/03/07,,X,CF,Correctional Facility Overlay,1,0,1,43,,done,0,0,prohibited,prohibited,prohibited,prohibited,prohibited,nomention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nomention,,"{""36_87"": """", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": """", ""37_93"": """", ""37_94"": """", ""37_95"": """", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,30.7969049964521,gov,Saint Albans Town,Franklin County,Vermont
62629,2024/02/20,2024/03/07,,R,R,Rural,1,0,0,43,,done,0,0,allowed,allowed,allowed,allowed,allowed,nomention,0,0,,"40","900",,"1",1,0,0,,,,,,,,,,,,,"40","36","85",,"3","0.20 acres with municipal water & sewer; 0.92 without",,,"25","25",0,0,,"40","36","85",,"3",,"0.20 acres with municipal water & sewer; .92 without","1","1",,"25","25",0,0,,"40",,"36","85",,"3",,"0.20 acres with municipal water & sewer; 0.92 without","1","1",,"25","25",0,0,0,0,,"40",,"36","85",,"3",,"4","0.20 acres with municipal water & sewer; 0.92 without","1","1",,"25","25",0,0,,,,,nomention,,"{""36_87"": ""175"", ""36_88"": ""200"", ""36_89"": ""200"", ""36_90"": ""200"", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,14217.265845524,,Saint Albans Town,Franklin County,Vermont
62634,2024/02/20,2024/03/07,,R,CONS,Conservation,1,0,0,43,,done,0,0,allowed,allowed,allowed,allowed,allowed,nomention,0,0,,"40","900",,"1",1,0,0,,,,,,,,,,,,,"30","36","10",,"3","2.75",,,"30","30",0,0,,"30","36","10",,"3",,"2.75","1","1",,"30","30",0,0,,"30",,"36","10",,"3",,"2.75","1","1",,"30","30",0,0,0,0,,"30",,"36","10",,"3",,"4","2.75","1","1",,"30","30",0,0,,,,,nomention,,"{""36_87"": ""200"", ""36_88"": ""200"", ""36_89"": ""200"", ""36_90"": ""200"", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,5212.42833143923,,Saint Albans Town,Franklin County,Vermont
62635,2024/02/20,2024/03/07,,M,LS,Lakeshore,1,0,0,43,,done,0,0,allowed,allowed,allowed,allowed,allowed,nomention,0,0,,"40","900",,,1,0,0,,,,,,,,,,,,,"25","36",,,"3","0.34 acres with municipal water & sewer; 0.46 acres without",,,"10","10",0,0,,"25","36",,,"3",,"0.34 acres with municipal water & sewer; 0.46 acres without","1","1",,"10","10",0,0,,"25",,"36",,,"3",,"0.34 acres with municipal water & sewer; 0.46 acres without","1","1",,"10","10",0,0,0,0,,"25",,"36",,,"3",,"4","0.34 acres with municipal water & sewer; 0.46 acres without","1","1",,"10","10",0,0,,,,,nomention,,"{""36_87"": ""100"", ""36_88"": ""100"", ""36_89"": ""100"", ""36_90"": ""100"", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,836.590839649986,commercial,Saint Albans Town,Franklin County,Vermont
62630,2024/02/20,2024/03/07,,R,RES,Residential,1,0,0,43,,done,0,0,allowed,allowed,allowed,allowed,allowed,nomention,0,0,,"40","900",,"1",1,0,0,,,,,,,,,,,,,"20","40","85",,"3","0.2",,,"15","15",0,0,,"20","40","85",,"3",,"0.2","1","1",,"15","15",0,0,,"20",,"40","85",,"3",,"0.2","1","1",,"15","15",0,0,0,0,,"20",,"40","85",,"3",,,"0.2","1","1",,"15","15",0,0,,,,,nomention,Multiunit housing over 4 units requires Public Hearing.,"{""36_87"": ""60"", ""36_88"": ""60"", ""36_89"": ""60"", ""36_90"": ""60"", ""36_91"": ""60"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": "".20"", ""38_99"": """", ""38_100"": ""20"", ""38_101"": ""15"", ""38_102"": ""15"", ""38_103"": ""85"", ""38_104"": """", ""38_105"": ""1"", ""38_106"": ""1"", ""38_107"": ""f"", ""38_108"": ""f"", ""38_109"": ""3"", ""38_110"": ""40"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,1185.24911558396,,Saint Albans Town,Franklin County,Vermont
62632,2024/02/20,2024/03/13,,M,COM,Commercial,1,0,0,43,,done,0,0,prohibited,prohibited,allowed,allowed,prohibited,nomention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,"25",,"60","75",,"4",,"0.11","1","1",,"20","20",0,0,0,0,,"25",,"60","75",,"4",,,"0.11","1","1",,"20","20",0,0,,,,,nomention,Multi-unit residential over 4 units requires public hearing.,"{""36_87"": """", ""36_88"": """", ""36_89"": ""60"", ""36_90"": ""60"", ""36_91"": ""60"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": ""0.11"", ""38_99"": """", ""38_100"": ""25"", ""38_101"": ""20"", ""38_102"": ""20"", ""38_103"": ""75"", ""38_104"": """", ""38_105"": ""1"", ""38_106"": ""1"", ""38_107"": ""f"", ""38_108"": ""f"", ""38_109"": ""4"", ""38_110"": ""60"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,1193.43348917073,commercial,Saint Albans Town,Franklin County,Vermont
62638,2024/02/20,2024/03/13,,O,GC,Growth Center,1,0,1,43,,done,0,0,overlay,overlay,overlay,overlay,nomention,nomention,,,,,,,,,,,,,,,,,,,,,,,Build to zone 10–40 ft.,"60","85",,"4",,,,"10","10",0,0,,Build to zone 10–40 ft.,"60","85",,"4",,,,,,"10","10",0,0,,"Build to zone 20-50ft in commercial zone; BTZ 10-40ft in mixed r/c",,"60","85",,"4",,"0.07 acres in commercial zone; 0.17 acres in mixed r/c",,,,"10","10",0,0,0,0,,"Build to zone 20-50ft in commercial zone; BTZ 10-40ft in mixed r/c",,"60","85",,"4",,,"0.07 acres in commercial zone; 0.17 acres in mixed r/c",,,,"10","10",0,0,,,,,nomention,,"{""36_87"": ""60"", ""36_88"": ""60"", ""36_89"": ""60"", ""36_90"": ""60"", ""36_91"": ""60"", ""37_92"": """", ""37_93"": """", ""37_94"": """", ""37_95"": """", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": ""10"", ""38_102"": ""10"", ""38_103"": ""85"", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": ""4"", ""38_110"": ""60"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,1558.82063997563,,Saint Albans Town,Franklin County,Vermont
62631,2024/02/20,2024/03/13,,M,R/C,Mixed Residential/Commercial,1,0,0,43,,done,0,0,allowed,allowed,allowed,allowed,allowed,nomention,0,0,,"40","900",,"1",1,0,0,,,,,,,,,,,,,"20","45","75",,"3","0.17",,,"15","15",0,0,,"20","45","75",,"3",,"0.17","1","1",,"15","15",0,0,,"20",,"45","75",,"3",,"0.17","1","1",,"15","15",0,0,0,0,,"20",,"45","75",,"3",,,,"1","1",,"15","15",0,0,,,,,nomention,Multi-unit residential over 4 units requires Public Hearing.,"{""36_87"": ""60"", ""36_88"": ""60"", ""36_89"": ""60"", ""36_90"": ""60"", ""36_91"": ""60"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": ""0.17"", ""38_99"": """", ""38_100"": ""20"", ""38_101"": ""15"", ""38_102"": ""15"", ""38_103"": ""75"", ""38_104"": """", ""38_105"": ""1"", ""38_106"": ""1"", ""38_107"": ""f"", ""38_108"": ""f"", ""38_109"": ""3"", ""38_110"": ""45"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,744.630162238697,commercial,Saint Albans Town,Franklin County,Vermont
62637,2024/02/20,2024/03/07,,M,BAY,St. Albans Bay Overlay,1,0,1,43,,done,0,0,allowed,allowed,allowed,allowed,allowed,nomention,0,0,,"40","900",,"1",1,0,0,,,,,,,,,,,,,"20","35",,"60","3","0.46 with municipal water and sewer; 0.67 without",,,"10","10",0,0,,"20","36",,"60","3",,"0.46 with municipal water and sewer; 0.67 without","1","1",,"10","10",0,0,,"20",,"36",,"60","3",,"0.46 with municipal water and sewer; 0.67 without","1","1",,"10","10",0,0,0,0,,"20",,"36",,"60","3",,,"0.46 with municipal water and sewer; 0.67 without","1","1",,"10","10",0,0,,,,,nomention,,"{""36_87"": ""100"", ""36_88"": ""100"", ""36_89"": ""100"", ""36_90"": ""100"", ""36_91"": ""100"", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": ""f"", ""38_97"": ""f"", ""38_98"": """", ""38_99"": """", ""38_100"": ""20"", ""38_101"": ""10"", ""38_102"": ""10"", ""38_103"": """", ""38_104"": ""60"", ""38_105"": ""1"", ""38_106"": ""1"", ""38_107"": ""f"", ""38_108"": ""f"", ""38_109"": ""3"", ""38_110"": ""36"", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,38.4134945801117,commercial,Saint Albans Town,Franklin County,Vermont
62633,2024/02/20,2024/03/07,,X,IND,Industrial,1,0,0,43,,done,0,0,prohibited,prohibited,prohibited,prohibited,prohibited,nomention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nomention,,"{""36_87"": """", ""36_88"": """", ""36_89"": """", ""36_90"": """", ""36_91"": """", ""37_92"": ""f"", ""37_93"": """", ""37_94"": ""t"", ""37_95"": ""f"", ""38_96"": """", ""38_97"": """", ""38_98"": """", ""38_99"": """", ""38_100"": """", ""38_101"": """", ""38_102"": """", ""38_103"": """", ""38_104"": """", ""38_105"": """", ""38_106"": """", ""38_107"": """", ""38_108"": """", ""38_109"": """", ""38_110"": """", ""38_111"": """", ""38_112"": """", ""38_113"": """", ""38_114"": """", ""39_115"": """", ""48_130"": """"}",2024/02/20,597.148830926429,industrial,Saint Albans Town,Franklin County,Vermont
