,State,County,Jurisdiction,Parent Jurisdiction,Last Updated,Does It Have Zoning?,Type of Government,# of Pages in the Zoning Code,Link to Zoning Code,Link to Zoning Map,Link to Downloadable GIS Layers,Staff Planner Name,Staff Planner Email,Staff Planner Phone,Notes
10,Vermont,Chittenden County,Shelburne,,2023-08-25,Yes,General-Purpose-Township,https://www.shelburnevt.org/DocumentCenter/View/4161/Zoning-By-Laws-June-2022,https://www.shelburnevt.org/DocumentCenter/View/1635/Map-of-Zoning-Districts,https://geodata.vermont.gov/explore?layout=list&query=shelburne%20zoning,Aaron DeNamur,adenamur@shelburnevt.org,(802) 264-5033,,
11,Vermont,Chittenden County,Hinesburg,,2023-08-25,Yes,General-Purpose-Township,https://www.hinesburg.org/sites/g/files/vyhlif6691/f/uploads/zoning_051023.pdf,https://www.hinesburg.org/sites/g/files/vyhlif6691/f/uploads/zoning_district_map_2011_101711.pdf,https://geodata.vermont.gov/explore?layout=list&query=hinesburg%20zoning,James Jarvis,jjarvis@hinesburg.org,(802) 482-4213,,
12,Vermont,Chittenden County,Essex,,2023-08-25,Yes,General-Purpose-Township,https://www.essexvt.org/DocumentCenter/View/171/Essex-Zoning-Regulations-PDF---2017,https://www.essexvt.org/DocumentCenter/View/172/Official-Town-Zoning-Map-PDF---2017,https://geodata.vermont.gov/explore?layout=list&query=essex%20zoning,Sharon Kelley,community-development@essex.org,(802) 878-1343,,
13,Vermont,Grand Isle County,Grand Isle,,2024-02-22,Yes,General-Purpose-Township,https://www.nrpcvt.com/wp-content/uploads/2022/08/ZoningRegs_GrandIsle2017.pdf,https://www.nrpcvt.com/wp-content/uploads/2022/08/Map_GrandIsleZoning.pdf,https://geodata.vermont.gov/datasets/NRPCVT::vt-data-grand-isle-zoning-1/explore,,,,,
14,Vermont,Addison County,Goshen,,2023-09-19,Yes,General-Purpose-Municipal,http://goshenvt.org/wp-content/uploads/2022/09/Town-of-Goshen-Zoning-Bylaws.pdf,http://goshenvt.org/wp-content/uploads/2023/04/Goshen-Town-Land-Use-Map.pdf,https://geodata.vermont.gov/datasets/0c745c952c6b4c45b5251be235ca0c45_0/explore?location=43.848986%2C-73.022000%2C13.60,Keith Arlund,koarlundZA@yahoo.com,(802) 465-8098,Current map is the proposed map from the updated town plan.,
15,Vermont,Chittenden County,Burlington,,2023-09-08,Yes,General-Purpose-Municipal,https://www.burlingtonvt.gov/DPI/CDO,https://www.burlingtonvt.gov/DPI/CDO/Maps,https://geodata.vermont.gov/explore?layout=list&query=burlington%20zoning,Charles Dillard,cdillard@burlingtonvt.gov,(802) 865-7194,,
16,Vermont,Chittenden County,Milton,,2023-08-25,Yes,General-Purpose-Township,https://www.miltonvt.gov/DocumentCenter/View/1334/Town-of-Milton-Unified-Development-Regulations-Amended-06072021-PDF,http://miltonvt.gov/DocumentCenter/View/560/Official-Town-Zoning-Map-Sep-2017-PDF,https://geodata.vermont.gov/explore?layout=list&query=milton%20zoning,Amanda Pitts,apitts@miltonvt.gov,(802) 893-6655 x2,,
17,Vermont,Rutland County,Pittsford,,2024-02-23,Yes,General-Purpose-Township,https://www.pittsfordvermont.com/wp-content/uploads/2023/06/Zoning-Regulations.pdf,,,,,,"There is a map, but it needs to be digitized. The map on geodata.vermont is outdated, and misrepresents district boundaries.",
18,Vermont,Rutland County,Brandon,,2024-02-12,Yes,General-Purpose-Township,https://www.townofbrandon.com/wp-content/uploads/2020/08/Adopted-Brandon-Land-Use-Ordinance-BLUO-7-27-20.pdf,https://www.townofbrandon.com/wp-content/uploads/2023/10/amendments_bluo_06_18_07_map.pdf,https://geodata.vermont.gov/datasets/efa839ff6af1426798fd575e6796ac2e_0/explore,,,,"Possibly some issues with lack of Neighborhood Residential in the Aquifer District
- VCGI did not have these polygons, and the map was unable to georeference
- Fixible, however possible that the zoning map is out of date (2007) (also Zoning map doesn't fully correspond to the TIGER boundary)",
19,Vermont,Rutland County,Castleton,,2024-02-21,Yes,General-Purpose-Township,https://www.castletonvermont.org/sites/g/files/vyhlif376/f/uploads/zoning_ordinance_june_2021.pdf,https://www.castletonvermont.org/sites/g/files/vyhlif376/f/uploads/zoning_districts_map_0.pdf,https://geodata.vermont.gov/datasets/fd6a8bd7742d49aa81b78a3e5a52c118_0/explore?location=43.633777%2C-73.177806%2C13.80,,,,"3+ family parking requirements:  one (1) per dwelling unit plus one half (1/2) per bedroom.
zoning codes state that the overlay districts appear on the official zoning map, but they are not present on the official zoning map from 2007 that is linked in files and documents.
",
20,Vermont,Addison County,Panton,,2023-09-19,Yes,General-Purpose-Township,https://cms2.revize.com/revize/pantonvt/Document%20Center/Departments%20Offices/Zoning/Zoning%20Regulations/panton_zoning_adopted_july_11_2017.doc_.pdf,https://cms2.revize.com/revize/pantonvt/Document%20Center/Governance/Zoning/Zoning%20Map/zoning_map_acrpc_24x36_2022.pdf,https://geodata.vermont.gov/datasets/cf9786f3429546baa9ce1dbab5f9b479_0/explore,David Martini,pantonzoning@pantonvt.us,802-475-2336,Table has already been approved by Zoning Administrator David Martini,
21,Vermont,Rutland County,Danby,,2024-02-13,No,General-Purpose-Township,,,,,,,,
22,Vermont,Chittenden County,Underhill,,2023-08-25,Yes,General-Purpose-Township,,,https://geodata.vermont.gov/datasets/8962a8a1b83645d2866b5baa8a438e82_0/explore,Nick Atherton,natherton@underhillvt.gov,(802) 899-4434 x5,,
23,Vermont,Addison County,Shoreham,,2023-08-25,Yes,General-Purpose-Township,https://shorehamvt.org/vertical/sites/%7B1FC608F9-A057-4578-8148-68F12F99BC10%7D/uploads/ShorehamZoningRegs-ADOPTED_5-22-19.pdf,https://shorehamvt.org/vertical/sites/%7B1FC608F9-A057-4578-8148-68F12F99BC10%7D/uploads/doc010491.pdf,https://geodata.vermont.gov/datasets/cc4ebb73563c40c280530f610809f2bc_0/explore?location=43.896966%2C-73.309000%2C13.22,Robin Conway,shorehamzoning@gmail.com,,,
24,Vermont,Grand Isle County,North Hero,,2024-02-23,Yes,General-Purpose-Township,https://firebasestorage.googleapis.com/v0/b/north-hero-town.appspot.com/o/2023%20NH%20Bylaw%20FINAL.pdf?alt=media&token=a44ca96a-5155-419a-b94b-dec3b18c28ef,https://www.nrpcvt.com/wp-content/uploads/2022/08/Map_NorthHeroZoning.pdf,https://geodata.vermont.gov/datasets/NRPCVT::vt-data-north-hero-zoning-1/explore?location=44.832083%2C-73.231719%2C11.79,,,,,
25,Vermont,Rutland County,Chittenden,,2024-02-13,No,General-Purpose-Township,,,,,,,,
26,Vermont,Addison County,Vergennes,,2023-08-25,Yes,General-Purpose-Municipal,https://cms8.revize.com/revize/vergennes//Zoning-and-Subdivision-Regulations-Adopted-05-24-2022.pdf,https://www.vergennes.org/departments/maps_and_ordinance.php#outer-102,zoning: https://geodata.vermont.gov/datasets/4ab50bd9d4314562a0d969825c0fcf4b_0/explore?location=44.166999%2C-73.253000%2C15.79 archaeological overlay: https://geodata.vermont.gov/datasets/a67cb0131953454dad06b51cbbb95c14_0/explore?location=44.166998%2C-73.253000%2C15.43,Peter Garon,pgaron@vergennes.org,802-377-9527,,
27,Vermont,Franklin County,Enosburgh,,2024-02-20,Yes,General-Purpose-Township,https://www.nrpcvt.com/wp-content/uploads/2022/08/ZoningRegs_Enosburgh2018.pdf,https://www.nrpcvt.com/wp-content/uploads/2022/08/Map_EnosburghZoning.pdf,https://geodata.vermont.gov/datasets/NRPCVT::vt-data-enosburgh-zoning/explore,,,,,
28,Vermont,Chittenden County,Essex Junction,,2023-08-25,Yes,General-Purpose-Municipal,https://www.essexjunction.org/fileadmin/files/Ordinances_Codes/Land_Development_Code/11Code_Chp6_2016.pdf?1184d4e07225bb4030bceadcbc00131545bf5372,https://www.essexjunction.org/fileadmin/files/Ordinances_Codes/Land_Development_Code/318Zoning_Map_2016.pdf?8fed1d8c46ccb644d21b05d9f46e49f82934eea6,https://geodata.vermont.gov/datasets/97533cdb04f94ce3ad965ab63f38d792_0/explore?location=44.489114%2C-73.113396%2C14.83,Kent Johnson,kjohnson@essex.org,(802) 878-1343,,
29,Vermont,Franklin County,Richford,,2024-02-20,Yes,General-Purpose-Township,https://www.nrpcvt.com/wp-content/uploads/2022/08/ZoningRegs_Richford2019.pdf,https://www.nrpcvt.com/wp-content/uploads/2022/08/Map_RichfordZoning.pdf,https://geodata.vermont.gov/datasets/NRPCVT::vt-data-richford-zoning/explore,,,,,
30,Vermont,Addison County,Salisbury,,2023-08-25,Yes,General-Purpose-Township,https://www.townofsalisbury.org/vertical/sites/%7B59D8C83C-9968-4A65-BB2B-00DE19899066%7D/uploads/1.Zoning_Regs.pdf,https://www.townofsalisbury.org/vertical/sites/%7B59D8C83C-9968-4A65-BB2B-00DE19899066%7D/uploads/1.Zoning_Regs.pdf,https://geodata.vermont.gov/datasets/d3b9f4a6372a4124887ef223f7c7656f_0/explore,Mark Wilch,salisburyza@gmail.com,(802) 598-8902,,
31,Vermont,Addison County,Starksboro,,2023-08-25,Yes,General-Purpose-Township,https://www.starksborovt.org/sites/default/files/uploads/forms/zoning/zoning-bylaws_sludr_adopted2020.pdf,https://www.starksborovt.org/sites/default/files/uploads/forms/zoning/starksboro-zoning-districts-map_09-27-2016.pdf,,"Nancy Boss, Zoning Administrator, Rebecca Elder, Acting ZA, Amy McCormick, Assistant ZA",zoning@starksborovt.org,802-453-2768,No staff planner.  Zoning Administrator only.,
32,Vermont,Chittenden County,Williston,,2023-09-22,Yes,General-Purpose-Township,https://www.town.williston.vt.us/index.asp?Type=B_BASIC&SEC={49CD3770-284B-45FF-8726-EB6EF44BF5CE},https://www.town.williston.vt.us/vertical/sites/%7BF506B13C-605B-4878-8062-87E5927E49F0%7D/uploads/WDB_October_4_2022_Official_Zoning_Districts_Map.pdf,https://geodata.vermont.gov/datasets/3d898c31f40a4dff840bf388ee105a7b_0/explore,Emily Heymann,eheymann@willistonvt.org,(802) 878-6704 x3,,
33,Vermont,Franklin County,Franklin,,2024-02-20,Yes,General-Purpose-Township,https://www.nrpcvt.com/wp-content/uploads/2022/08/ZoningRegs_Franklin2012.pdf,https://www.nrpcvt.com/wp-content/uploads/2022/08/Map_FranklinZoning.pdf,https://geodata.vermont.gov/datasets/NRPCVT::vt-data-franklin-zoning/about,,,,,
34,Vermont,Addison County,Bridport,,2023-09-19,Yes,General-Purpose-Municipal,https://static1.squarespace.com/static/5a5506cadc2b4a485cde597b/t/5a77ad5d419202f8d979a092/1517792608795/ZoningRegulations2006.pdf,https://static1.squarespace.com/static/5a5506cadc2b4a485cde597b/t/5ac52999758d4618107f69da/1522870688163/2002+Bridport+Zoning+MAP.pdf,https://geodata.vermont.gov/datasets/9d680f9afe534908a1204cf58cdff262_0/explore,Michael Wojciechowski,bridportzoning@gmavt.net,802-758-2483,,
35,Vermont,Franklin County,Berkshire,,2024-02-20,Yes,General-Purpose-Township,https://www.nrpcvt.com/wp-content/uploads/2022/08/ZoningRegs_Berkshire2019.pdf,https://www.nrpcvt.com/wp-content/uploads/2022/08/Map_BerkshireZoning2019.pdf,https://geodata.vermont.gov/datasets/NRPCVT::vt-data-berkshire-zoning/explore,,,,,
36,Vermont,Addison County,Cornwall,,2023-09-27,Yes,General-Purpose-Township,http://cornwallvt.com/wp-content/uploads/2017/09/Town-Of-Cornwall-Zoning-Regulations-2008.pdf,,https://geodata.vermont.gov/datasets/fd8e622d79f648538e95ce0255754158,"Dorsey ""Lynn"" Coale",dorseycoale@gmail.com,802-349-9772,"No staff planner.  Zoning Administrator only.  The rest are volunteers.

",
37,Vermont,Rutland County,Rutland Town,,2024-02-13,No,General-Purpose-Township,,,,,,,,
38,Vermont,Lamoille County,Stowe (Town),,2024-02-27,Yes,General-Purpose-Municipal,https://www.townofstowevt.org/vertical/sites/%7B97FA91EA-60A3-4AC6-8466-F386C5AE9012%7D/uploads/Stowe_Zoning_2024_with_Clerks_Certificate.pdf,https://www.townofstowevt.org/vertical/Sites/%7B97FA91EA-60A3-4AC6-8466-F386C5AE9012%7D/uploads/Primary_Zoning_Districts_2022(1).pdf,,Sarah McShane,PandZ@stowevt.gov,(802) 253-6141,,
39,Vermont,Addison County,Orwell,,2023-08-25,Yes,General-Purpose-Township,https://drive.google.com/file/d/1Ni0e9wGSTSmk4E_sQ4kqDWR6khimOgMY/view,,zoning: https://geodata.vermont.gov/datasets/0b1dddde0b1f4fae95595616fde05edd_0/explore shoreland overlay: https://geodata.vermont.gov/datasets/fe61c19e73e949c3831bb12cc92c3aac_0/explore,Stefanie Corey,,8028538150,,
40,Vermont,Franklin County,Saint Albans City,,2024-02-27,Yes,General-Purpose-Township,https://www.stalbansvt.com/vertical/sites/%7B6057F00C-4FBC-4942-B5A5-C142459B1038%7D/uploads/City_Land_Devt_Regs_-_March_4_2024.pdf,https://www.stalbansvt.com/vertical/sites/%7B6057F00C-4FBC-4942-B5A5-C142459B1038%7D/uploads/Map_-_Official_Zoning_-_May_2023.pdf,https://geodata.vermont.gov/datasets/NRPCVT::vt-data-st-albans-city-zoning/about,,,,,
41,Vermont,Rutland County,Benson,,2024-02-08,Yes,General-Purpose-Township,https://www.bensonvermont.gov/wp-content/uploads/2023/03/BensonVT-Zoning-Regulations-041618.pdf,,https://geodata.vermont.gov/datasets/41ba5ecefebe488d9c9ddb28a119494d_0/explore,,,,,
42,Vermont,Chittenden County,Bolton,,2023-08-25,Yes,General-Purpose-Township,https://boltonvt.com/wp-content/uploads/2023/03/2022-BLUDRs.pdf,https://boltonvt.com/wp-content/uploads/2023/03/2022-BLUDRs.pdf,https://geodata.vermont.gov/explore?layout=list&query=bolton%20zoning,Kelly Diglio,zoningbolton@gmavt.net,(802) 434-5075 x 225,,
43,Vermont,Addison County,Whiting,,2023-08-25,Yes,General-Purpose-Township,https://acrobat.adobe.com/link/review?uri=urn%3Aaaid%3Ascds%3AUS%3A8b1e969e-48fe-363a-b480-e8fe44147c6c,https://acrobat.adobe.com/link/review?uri=urn%3Aaaid%3Ascds%3AUS%3A8b1e969e-48fe-363a-b480-e8fe44147c6c (pg 60),https://geodata.vermont.gov/datasets/06bccc7157b443f0a98f49adf56aeac0_0/explore,Keith Arlund,keitharlund@yahoo.com,802-465-8098,,
44,Vermont,Chittenden County,Richmond,,2023-08-25,Yes,General-Purpose-Township,https://www.richmondvt.gov/fileadmin/files/Archive/2014/03/Richmond-Zoning-Regulations-May-20221.pdf,https://www.richmondvt.gov/fileadmin/files/General/ordinances-policies/RichmondZoning20220523.pdf,https://geodata.vermont.gov/explore?layout=list&query=richmond%20zoning,Tyler Machia,tmachia@richmondvt.gov,(802) 434-2430,,
45,Vermont,Chittenden County,Colchester,,2023-09-22,Yes,General-Purpose-Township,https://www.colchesterct.gov/planning-zoning-department/pages/colchester-land-development-regulations,https://www.colchesterct.gov/sites/g/files/vyhlif4286/f/uploads/website-district_map-effective-1.15.15.pdf,https://geodata.vermont.gov/datasets/a6df0b43767b4ba7b5507187fba2b34f_0/explore,Cathyann LaRose,PZinfo@colchestervt.gov,(802) 264-5606,,
46,Vermont,Addison County,New Haven,,2023-09-19,Yes,General-Purpose-Township,https://www.newhavenvt.com/index.asp?Type=B_BASIC&SEC={23DCA485-1DAC-447B-A080-4578DE79A999}&DE={6FECF450-B9AE-4082-BD12-E9384502CFD6},https://www.newhavenvt.com/index.asp?Type=B_BASIC&SEC={23DCA485-1DAC-447B-A080-4578DE79A999}&DE={548EC98A-25AC-4EAB-8127-F388C21C8FD1},https://geodata.vermont.gov/datasets/0a1338c942c04088a88f036cae751885_0/explore?location=44.123975%2C-73.155000%2C13.53,Peggy Connor,newhavenzoning@gmavt.net,802 453-3516 ext. 14,New Haven is currently in the process of updating their zoning regulations to incorporate density based zoning and density bonuses for affordable housing. I was told by their zoning administrator that one of their greatest barriers to higher density affordable housing is the lack of sewer and water service to the town.,
47,Vermont,Chittenden County,Jericho,,2023-08-25,Yes,General-Purpose-Municipal,https://ehq-production-us-california.s3.us-west-1.amazonaws.com/cec1ec07c8807a1990717a359745a8202f2bf2bc/original/1651775391/79a3b47bc04703fbd5305a17a3bf5856_Regs_22.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4KKNQAKICO37GBEP%2F20230525%2Fus-west-1%2Fs3%2Faws4_request&X-Amz-Date=20230525T184742Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&X-Amz-Signature=af54cccb81bbafa9872d6b30901f28338e4b3459e1ed1b3a87a390edac24f84e,https://ehq-production-us-california.s3.us-west-1.amazonaws.com/cec1ec07c8807a1990717a359745a8202f2bf2bc/original/1651775391/79a3b47bc04703fbd5305a17a3bf5856_Regs_22.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4KKNQAKICO37GBEP%2F20230525%2Fus-west-1%2Fs3%2Faws4_request&X-Amz-Date=20230525T184742Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&X-Amz-Signature=af54cccb81bbafa9872d6b30901f28338e4b3459e1ed1b3a87a390edac24f84e,https://geodata.vermont.gov/datasets/5529ef49584f4cc7ae6abb378d9fbd08_0/explore?location=44.489602%2C-72.961052%2C13.43,Linda Blasch,lblasch@jerichovt.gov,(802) 899-2287 x 103,,
48,Vermont,Addison County,Bristol,,2024-02-14,Yes,General-Purpose-Township,http://bristolvt.org/wp-content/uploads/2021/01/Bristol-Unified-Development-Regulations-8_24_20.pdf,http://bristolvt.org/wp-content/uploads/2021/01/Bristol-Unified-Development-Regulations-8_24_20.pdf,,,,,,
49,Vermont,Chittenden County,Winooski,,2023-08-25,Yes,General-Purpose-Municipal,https://www.winooskivt.gov/DocumentCenter/View/4842/Complete-ULUDR---Effective-08082022,https://www.winooskivt.gov/DocumentCenter/View/4836/Map-1---Zoning-Districts,https://geodata.vermont.gov/explore?layout=list&query=winooski%20zoning,Eric Vorwald,evorwald@winooskivt.gov,(802) 655 6410 x25,,
50,Vermont,Rutland County,Middletown Springs,,2024-02-13,No,General-Purpose-Township,,,,,,,,
51,Vermont,Rutland County,Wells,,2024-02-13,No,General-Purpose-Township,,,,,,,,
52,Vermont,Addison County,Lincoln,,2023-09-19,Yes,General-Purpose-Township,https://lincolnvermont.org/vertical/sites/%7B53E9A1A8-33C4-4381-8550-24F9124297B8%7D/uploads/Zoning_Regs_Lincoln_2011(1).pdf,,Zoning: https://geodata.vermont.gov/datasets/d89bfea09aa74d41acc1fa708d6cd41e_0/explore?location=44.105982%2C-72.997000%2C13.68 Viewshed Overlay: https://geodata.vermont.gov/datasets/4e2630a36d8a497496b3f28603ff6ae5_0/explore?location=44.105982%2C-72.997000%2C13.68 River Overlay: https://geodata.vermont.gov/datasets/27c8615844594563b060ecc02a7adece_0/explore?location=44.105982%2C-72.997000%2C13.68,Steve Gutowski,zoningadmin@lincolnvermont.org,(802) 453-2980,,
53,Vermont,Rutland County,Ira,,2024-02-13,No,General-Purpose-Township,,,,,,,,
54,Vermont,Addison County,Leicester,,2023-08-25,Yes,General-Purpose-Township,https://www.leicestervt.org/vertical/sites/%7BD3BA284D-6645-4F39-A903-6550C16F2FE9%7D/uploads/unified_bylaws_-_2017_Adopted.pdf,https://www.leicestervt.org/vertical/sites/%7BD3BA284D-6645-4F39-A903-6550C16F2FE9%7D/uploads/zoningAdopt05a8x11a_(1).pdf,https://geodata.vermont.gov/datasets/e2769f9298f9441e8b98cfcec4bea978_0/about,Keith Arlund,zoning@leicestervt.gov,(802) 465-8098,,
55,Vermont,Addison County,Hancock,,2023-08-23,No,General-Purpose-Township,,,,,,,"Hancock has no zoning regulations, only a flood hazard overlay layer. They have no zoning administrator, but town clerk Jody Jesso can be reached at 802-767-3660.",
56,Vermont,Bennington County,Old Bennington,,2024-02-19,Yes,General-Purpose-Township,https://img1.wsimg.com/blobby/go/2bb07981-6db0-4f22-adf0-09e315e1afda/downloads/Zoning%20Bylaws%20(2020).pdf?ver=1693703634691,,https://geodata.vermont.gov/datasets/3f3b134e71554bce904c6c04c11b1d4b_0/explore?location=42.883290%2C-73.215583%2C15.35,,,,"Needs a jurisdiction footprint and can be published. Check with ZA about ""Conditional"" and ""Open Space"" designations on GIS file at Open GeoData portal.",
57,Vermont,Franklin County,Sheldon,,2024-02-22,Yes,General-Purpose-Township,https://www.nrpcvt.com/wp-content/uploads/2022/08/ZoningRegs_Sheldon2015.pdf,https://www.nrpcvt.com/wp-content/uploads/2022/08/Map_SheldonZoning.pdf,https://geodata.vermont.gov/datasets/NRPCVT::vt-data-sheldon-zoning-1/about,,,,,
58,Vermont,Franklin County,Fairfield,,2024-02-21,Yes,General-Purpose-Municipal,https://img1.wsimg.com/blobby/go/bcfe7f6a-21a0-4365-83b2-ca876176b0e8/downloads/Fairfield%20Development%20Regulations_2.10.2020.pdf?ver=1707936301853,,https://geodata.vermont.gov/datasets/0232903bcb82434eb792cc0c97553179_0/explore?location=44.810191%2C-72.959874%2C12.85,Melanie Riddle,Zoning@fairfieldvermont.us,802-827-3261 x105,,
59,Vermont,Chittenden County,Westford,,2023-09-01,Yes,General-Purpose-Township,https://westfordma.gov/DocumentCenter/View/9939/2020-Zoning-Bylaw,https://westfordma.gov/DocumentCenter/View/9939/2020-Zoning-Bylaw,https://geodata.vermont.gov/datasets/f33e23fedb334a6a97a50e96fe514506_0/explore,Joseph Giniewicz,JGiniewicz@westfordma.gov,978-692-5524,,
60,Vermont,Addison County,Ripton,,2023-08-25,Yes,General-Purpose-Township,https://drive.google.com/file/d/159yRrgRmrPRo7KabrC1ywowl2eGJGyGy/view,https://static1.squarespace.com/static/5949c4aae3df283dc08b90f6/t/5949c7ccc4d04b57d54602a9/1400165744307/Zoning+Districts+Nov+2012.pdf,https://geodata.vermont.gov/datasets/76bdabe51c0a4c1d85305e1b3bb4d8ce_0/explore,Jonathan Heppell,zoning@riptonvt.org,(802) 388-2266,Jonathan Heppell is the Zoning Administrator.  There is no Staff Planner in Ripton. ,
61,Vermont,Chittenden County,Charlotte,,2023-08-25,Yes,General-Purpose-Township,https://www.charlottevt.org/vertical/sites/%7B5618C1B5-BAB5-4588-B4CF-330F32AA3E59%7D/uploads/Land_Use_Regs_-_as_adopted_Nov._8_2022.pdf,https://www.dropbox.com/s/7996sznq30qmin4/AdoptedZoningWall20180423.pdf?dl=0,https://geodata.vermont.gov/explore?layout=list&query=Charlotte%20zoning,Larry Lewack,townplanner@townofcharlotte.com,(802) 425-3533,,
62,Vermont,Rutland County,Rutland (City),,2024-02-23,Yes,General-Purpose-Municipal,https://www.rutlandcity.org/wp-content/uploads/2022/11/Full_land_use_regulations_effective_12-08-2020.pdf,https://www.rutlandcity.org/wp-content/uploads/2022/11/Zoning_Map_Updated_12-08-2020.pdf,https://geodata.vermont.gov/datasets/aa06661a723642f1a00af74182f593cf_0/explore,,,,,
63,Vermont,Rutland County,Mount Holly,,2024-02-13,No,General-Purpose-Township,,,,,,,,
64,Vermont,Franklin County,Montgomery,,2024-02-20,Yes,General-Purpose-Township,https://www.nrpcvt.com/wp-content/uploads/2022/08/ZoningRegs_Montgomery2018.pdf,https://www.nrpcvt.com/wp-content/uploads/2022/08/Map_MontgomeryZoning.pdf,https://geodata.vermont.gov/datasets/NRPCVT::vt-data-montgomery-zoning/about,,,,,
65,Vermont,Addison County,Monkton,,2023-09-19,Yes,General-Purpose-Township,http://monktonvt.com/documents/2012/01/unified-planning-document.pdf,http://monktonvt.com/documents/2012/01/unified-planning-document.pdf (pg 101-103),https://geodata.vermont.gov/explore?query=monkton,Andrew Peterson,zoning@monktonvt.com,8024353800,,
