Abbreviated District Name,CON,Units/Special,GR,Units/Special,UR,Units/Special,U-REC,Units/Special,C-B,Units/Special,PHO,Units/Special,LI,Units/Special,IND,Units/Special,SLC,Units/Special,FBCO,Units/Special
Affordable Housing Allowed?,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Overlay,,Overlay,
PRDs Allowed?,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Public Hearing Required,,Overlay,,Overlay,
Notes - Write any explanations here.,,,Lot classifications: A = public water AND sewer available; B = public water OR sewer available; C = on-site water AND sewer.,,,,,,,,,,,,,,"This district is established for all development located within 1,000 feet of the high water level of Lake Memphremagog.",,This district acts as overlay Not affecting use for development except requiring further review for adherence to the form based code set forth in the bylaws. The criteria for review are 1. Regulating Map; 2. Building Envelope Standards; 3. Streetscape Standards.,
1-Family Dimensions,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),25,Acres Per Treatment,A: 0.23; B: 0.46; C: 0.92,Alternative,0.18,Acres Per Treatment,0.11,Acres Per Treatment,0.23,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Front Setback (ft),100,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Side Setback (ft),200,Feet,20,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),200,Feet,30,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Frontage (ft),500,Feet,100,Feet,80,Feet,50,Feet,100,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),5,Percent,25,Percent,25,Percent,50,Percent,25,Percent,,Percent,,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A,,N/A
Max. Height (ft),30,Feet,A&B: 35; C: 40,Alternative,35,Feet,35,Feet,72,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,,n,,,
Affordable Housing Only,,,No,,No,,No,,No,,,,,,,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,,,,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,A: 0.23; B: 0.46; C: 0.92,Alternative,0.28,Acres Per Treatment,0.11,Acres Per Treatment,0.23,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,A: 8.7; B: 4.3; C: 2.2,Alternative,7.1,Units Per Acre,18.2,Units Per Acre,8.7,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Side Setback (ft),,Feet,20,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),,Feet,30,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Frontage (ft),,Feet,100,Feet,80,Feet,50,Feet,100,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,Percent,25,Percent,25,Percent,50,Percent,25,Percent,,Percent,,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A,,N/A
Max. Height (ft),,Feet,A&B: 35; C: 40,Alternative,50,Feet,35,Feet,72,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,No,,,,,,,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,,,,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,A: 0.23; B: 0.46; C: 0.92,Alternative,0.28,Acres Per Treatment,0.11,Acres Per Treatment,0.23,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,A: 13; B: 6.5; C: 3.3,Alternative,10.7,Units Per Acre,27.3,Units Per Acre,13,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Side Setback (ft),,Feet,20,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),,Feet,30,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Frontage (ft),,Feet,100,Feet,80,Feet,50,Feet,100,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,Percent,25,Percent,25,Percent,50,Percent,25,Percent,,Percent,,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,,,Yes,,Yes,,Yes,,Yes,,,,,,,,No,,No,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,,,,,,,No,,No,
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A,,N/A
Max. Height (ft),,Feet,A&B: 35; C: 40,Alternative,50,Feet,35,Feet,72,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,,,
Affordable Housing Only,,,No,,No,,No,,No,,,,,,,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,,,,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,A: 0.23; B: 0.46; C: 0.92,Alternative,0.28,Acres Per Treatment,0.11,Acres Per Treatment,0.23,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,A: 17.4; B: 8.7; C: 4.3,Alternative,14.3,Units Per Acre,36.4,Units Per Acre,17.4,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Side Setback (ft),,Feet,20,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),,Feet,30,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Frontage (ft),,Feet,100,Feet,80,Feet,50,Feet,100,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,Percent,25,Percent,25,Percent,50,Percent,25,Percent,,Percent,,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,,,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,,Yes,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,,,,,,,No,,No,
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A,,N/A
Max. Height (ft),,Feet,A&B: 35; C: 40,Alternative,50,Feet,35,Feet,72,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,No,,No,,,,,,,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,,,,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,A: 0.23; B: 0.46; C: 0.92,Alternative,0.28,Acres Per Treatment,0.11,Acres Per Treatment,0.23,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,A: 21.7; B: 10.9; C: 5.4,Alternative,17.9,Units Per Acre,45.5,Units Per Acre,21.7,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),,Feet,30,Feet,30,Feet,30,Feet,30,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Side Setback (ft),,Feet,20,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),,Feet,30,Feet,20,Feet,,N/A,20,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Frontage (ft),,Feet,100,Feet,80,Feet,50,Feet,100,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,Percent,25,Percent,25,Percent,50,Percent,25,Percent,,Percent,,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,1.33,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,,,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,,Yes,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,,,,,,,No,,No,
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,N/A,,N/A
Max. Height (ft),,Feet,A&B: 35; C: 40,Alternative,50,Feet,35,Feet,72,Feet,,Feet,,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,,,,,,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,,,,,,,No,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,,Yes,,Yes,
Elderly Housing Only,No,,No,,No,,No,,No,,,,,,,,No,,No,
Minimum Lot Size (acres),25,Acres Per Treatment,A: 0.23; B: 0.46; C: 0.92,Alternative,0.18,Acres Per Treatment,0.11,Acres Per Treatment,0.23,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Minimum Parking Spaces,0.1,Spaces Per Unit,0.1,Spaces Per Unit,0.1,Spaces Per Unit,0.1,Spaces Per Unit,0.1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,,,,,,,No,,No,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,,Percent,,Percent,,Percent,,N/A,,N/A
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
