Abbreviated District Name,RU,Units/Special,VIL,Units/Special,C-R,Units/Special,IND,Units/Special,VC,Units/Special,CBD,Units/Special,RCO,Units/Special
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Max. Stories,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,,,No,,No,,,
Elderly Housing Only,No,,No,,No,,,,No,,No,,,
Minimum Lot Size (acres),5,Acres Per Treatment,0.29 acres/municipal water + sewer; 0.46/municipal water or sewer; 0.92/on-lot water + sewer,Alternative,1,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,0.11,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,N/A,,N/A
Front Setback (ft),40,Feet,30,Feet,50,Feet,,Feet,15,Feet,"aligned with adjacent properties, but no more than 15' from property line",Contextual,,N/A
Side Setback (ft),25,Feet,20,Feet,25,Feet,,Feet,10,Feet,5,Feet,,N/A
Rear Setback (ft),25,Feet,20,Feet,25,Feet,,Feet,15,Feet,15,Feet,,N/A
Frontage (ft),125,Feet,100,Feet,150,Feet,,Feet,80,Feet,60,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,No,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,,,No,,No,,,
Elderly Housing Only,No,,No,,No,,,,No,,No,,,
Minimum Lot Size (acres),5,Acres Per Treatment,0.29 acres/municipal water + sewer; 0.46/municipal water or sewer; 0.92/on-lot water + sewer,Alternative,1,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,0.11,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,N/A,,N/A
Front Setback (ft),40,Feet,30,Feet,50,Feet,,Feet,15,Feet,"aligned with adjacent properties, but no more than 15' from property line",Contextual,,N/A
Side Setback (ft),25,Feet,20,Feet,25,Feet,,Feet,10,Feet,5,Feet,,N/A
Rear Setback (ft),25,Feet,20,Feet,25,Feet,,Feet,15,Feet,15,Feet,,N/A
Frontage (ft),125,Feet,100,Feet,150,Feet,,Feet,80,Feet,60,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,No,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,,,No,,No,,,
Elderly Housing Only,No,,No,,No,,,,No,,No,,,
Minimum Lot Size (acres),5,Acres Per Treatment,0.29 acres/municipal water + sewer; 0.46/municipal water or sewer; 0.92/on-lot water + sewer,Alternative,1,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,0.11,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,Units Per Acre,,N/A,,N/A,,N/A
Front Setback (ft),40,Feet,30,Feet,50,Feet,,Feet,15,Feet,"aligned with adjacent properties, but no more than 15' from property line",Contextual,,N/A
Side Setback (ft),25,Feet,20,Feet,25,Feet,,Feet,10,Feet,5,Feet,,N/A
Rear Setback (ft),25,Feet,20,Feet,25,Feet,,Feet,15,Feet,15,Feet,,N/A
Frontage (ft),125,Feet,100,Feet,150,Feet,,Feet,80,Feet,60,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,No,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A,,N/A
Max. Height (ft),,N/A,,N/A,,N/A,,Feet,,N/A,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,Units Per Building,,N/A,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,,,No,,No,,,
Renter Occupancy Required,No,,No,,No,,,,No,,No,,,
Owner Occupancy Required,Yes,,Yes,,Yes,,,,Yes,,Yes,,,
Elderly Housing Only,No,,No,,No,,,,No,,No,,,
Minimum Lot Size (acres),5,Acres Per Treatment,0.29 acres/municipal water + sewer; 0.46/municipal water or sewer; 0.92/on-lot water + sewer,Alternative,1,Acres Per Treatment,,Acres Per Treatment,0.23,Acres Per Treatment,0.11,Acres Per Treatment,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Restricted to Only Primary Structure,No,,No,,No,,,,No,,No,,,
Max. ADU Size (%),50,Percent,50,Percent,50,Percent,,Percent,50,Percent,50,Percent,,N/A
Max. ADU Size (sq. ft.),1500,Square Feet,1500,Square Feet,1500,Square Feet,,Square Feet,1500,Square Feet,1500,Square Feet,,N/A
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,N/A
Max. Units,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,No,,No,,No,,No,,No,,No,,,
PUD Threshold #,,,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,,,Yes,,Yes,,,
PUD requiring land conservation,No,,No,,No,,,,No,,No,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
