Abbreviated District Name,LS,Units/Special,R-C,Units/Special,RL-1,Units/Special,RL-2,Units/Special,RL-3,Units/Special,IND/RES,Units/Special
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),0.23,Acres Per Treatment,0.92,Acres Per Treatment,0.92,Acres Per Treatment,1.84,Acres Per Treatment,10,Acres Per Treatment,3,Acres Per Treatment
Maximum Density (units/acre),4.36,Units Per Acre,2.18,Units Per Acre,2.18,Units Per Acre,1.09,Units Per Acre,,N/A,,N/A
Front Setback (ft),30,Feet,25,Feet,25,Feet,25,Feet,50,Feet,40,Feet
Side Setback (ft),25,Feet,15,Feet,25,Feet,25,Feet,50,Feet,30,Feet
Rear Setback (ft),15,Feet,25,Feet,25,Feet,50,Feet,50,Feet,40,Feet
Frontage (ft),100,Feet,100,Feet,150,Feet,200,Feet,500,Feet,300,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),40,Feet,40,Feet,40,Feet,40,Feet,40,Feet,40,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,
Affordable Housing Only,,,No,,,,,,,,No,
Elderly Housing Only,,,No,,,,,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.92,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,3,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,2.18,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,40,Feet
Side Setback (ft),,Feet,15,Feet,,Feet,,Feet,,Feet,30,Feet
Rear Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,40,Feet
Frontage (ft),,Feet,100,Feet,,Feet,,Feet,,Feet,300,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,,,,,,,No,
Connection or Proximity to Public Transit Required,,,No,,,,,,,,No,
Max. Stories,,Stories,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,Feet,40,Feet,,Feet,,Feet,,Feet,40,Feet
Floor to Area Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,,,,,,,No,
Elderly Housing Only,,,No,,,,,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.92,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,3,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,2.18,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,40,Feet
Side Setback (ft),,Feet,15,Feet,,Feet,,Feet,,Feet,30,Feet
Rear Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,40,Feet
Frontage (ft),,Feet,100,Feet,,Feet,,Feet,,Feet,300,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,,,,,,,No,
Connection or Proximity to Public Transit Required,,,No,,,,,,,,No,
Max. Stories,,Stories,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,Feet,40,Feet,,Feet,,Feet,,Feet,40,Feet
Floor to Area Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,,,,,,,No,
Elderly Housing Only,,,No,,,,,,,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.92,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,3,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,2.18,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,40,Feet
Side Setback (ft),,Feet,15,Feet,,Feet,,Feet,,Feet,30,Feet
Rear Setback (ft),,Feet,25,Feet,,Feet,,Feet,,Feet,40,Feet
Frontage (ft),,Feet,100,Feet,,Feet,,Feet,,Feet,300,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,Percent,,Percent,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,Percent,,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,1.5,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,,,,,,,No,
Connection or Proximity to Public Transit Required,,,No,,,,,,,,No,
Max. Stories,,Stories,,N/A,,Stories,,Stories,,Stories,,N/A
Max. Height (ft),,Feet,40,Feet,,Feet,,Feet,,Feet,40,Feet
Floor to Area Ratio,,Ratio,,N/A,,Ratio,,Ratio,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,
Owner Occupancy Required,No,,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit
Restricted to Only Primary Structure,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Max. ADU Size (%),50,Percent,50,Percent,50,Percent,50,Percent,50,Percent,50,Percent
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,No,,No,,No,,Yes,
Minimum Lot Size (acres),10,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,10,Acres Per Treatment,50,Acres Per Treatment,10,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,No,,No,,No,,No,,No,,No,
PUD Threshold #,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
PUD requiring land conservation,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
