Abbreviated District Name,RR,Units/Special,H,Units/Special,RC,Units/Special,F,Units/Special,RPA,Units/Special,HD,Units/Special,HE,Units/Special
Front Setback (ft),73' from Windham Hill Road Route 121 or Route 11; 65' from others,Contextual,53’ minimum from Windham Hill Road; 45’ minimum from all otherroads,Contextual," 53’ minimum from Windham Hill Road, Route 121, Route 11; 45’ minimum from all other roads",Contextual,,Feet,,Feet,53’ minimum from Windham Hill Road; 45’  from all other roads,Contextual,,Feet
Side Setback (ft),25,Feet,15,Feet,15,Feet,,Feet,,Feet,15,Feet,,Feet
Rear Setback (ft),25,Feet,15,Feet,15,Feet,,Feet,,Feet,15,Feet,,Feet
Frontage (ft),,N/A,,N/A,,N/A,,Feet,,Feet,,N/A,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,Percent,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,Percent,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories,,Stories,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet,,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,,,,,No,,,
Elderly Housing Only,No,,No,,No,,,,,,No,,,
Minimum Lot Size (acres),1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),1,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),73' from Windham Hill Road Route 121 or Route 11; 65' from others,Contextual,53’ minimum from Windham Hill Road; 45’ minimum from all otherroads,Contextual," 53’ minimum from Windham Hill Road, Route 121, Route 11; 45’ minimum from all other roads",Feet,,Feet,,Feet,53’ minimum from Windham Hill Road; 45’  from all other roads,Contextual,,Feet
Side Setback (ft),25,Feet,15,Feet,15,Feet,,Feet,,Feet,15,Feet,,Feet
Rear Setback (ft),25,Feet,15,Feet,15,Feet,,Feet,,Feet,15,Feet,,Feet
Frontage (ft),,N/A,,N/A,,N/A,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,Percent,,Percent,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,Percent,,Percent,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,N/A,,Stories,,Stories,,N/A,,Stories
Max. Height (ft),35,Feet,35,Feet,35,Feet,,Feet,,Feet,35,Feet,,Feet
Floor to Area Ratio,,N/A,,N/A,,N/A,,Ratio,,Ratio,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet
Max. Bedrooms,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,N/A,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,,Feet,,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,,,,,,,,,,,,
Renter Occupancy Required,,,,,,,,,,,,,,
Owner Occupancy Required,Yes,,Yes,,Yes,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,,N/A,,N/A,,N/A,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,,,,,,,,,,,,,,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,,Percent,,Percent,,Percent,,Percent
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
