Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A
Max. Height (ft),40,Feet,40,Feet,40,Feet,40,Feet,60,Feet,60,Feet,60,Feet,60,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,
Minimum Lot Size (acres),25; 10,Acres Per Treatment,10,Acres Per Treatment,0.92,Acres Per Treatment,(1) 0.28 (2) 0.46 (3) 0.92,Alternative,0.1,Acres Per Treatment,0.04,Acres Per Treatment,0.04,Acres Per Treatment,0.46,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),0.08; 0.2,Units Per Acre,0.2,Units Per Acre,2,Units Per Acre,(1) 7.1 (2) 4.3 (3) 2.2,Alternative,20,Units Per Acre,50,Units Per Acre,50,Units Per Acre,4,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),50,Feet,50,Feet,40,Feet,(1) 30 (2) 40 (3) 40,Alternative,25,Feet,,N/A,10,Feet,60,Feet,,Feet,,N/A,,N/A
Side Setback (ft),50,Feet,50,Feet,30,Feet,(1) 12 (2) 20 (3) 30,Alternative,10,Feet,,N/A,10,Feet,20,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),75,Feet,75,Feet,40,Feet,(1) 30 (2) 30 (3) 40,Alternative,20,Feet,,N/A,20,Feet,40,Feet,,Feet,,N/A,,N/A
Frontage (ft),500; 400,Feet,300,Feet,150,Feet,(1) 75 (2) 100 (3) 150,Alternative,75,Feet,50,Feet,50,Feet,100,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,(1) 30 (2) 20 (3) 15,Alternative,40,Percent,90,Percent,75,Percent,20,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A,,N/A
Max. Height (ft),40,Feet,40,Feet,40,Feet,40,Feet,60,Feet,60,Feet,60,Feet,60,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,,,,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,,,,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,(1) 0.28 (2) 0.46 (3) 0.92,Alternative,0.15,Acres Per Treatment,0.06,Acres Per Treatment,0.06,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,(1) 10.7 (2) 6.5 (3) 3.3,Alternative,20,Units Per Acre,50,Units Per Acre,50,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),,Feet,,Feet,,Feet,(1) 30 (2) 40 (3) 40,Alternative,25,Feet,,N/A,10,Feet,,Feet,,Feet,,N/A,,N/A
Side Setback (ft),,Feet,,Feet,,Feet,(1) 12 (2) 20 (3) 30,Alternative,10,Feet,,N/A,10,Feet,,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),,Feet,,Feet,,Feet,(1) 30 (2) 30 (3) 40,Alternative,20,Feet,,N/A,20,Feet,,Feet,,Feet,,N/A,,N/A
Frontage (ft),,Feet,,Feet,,Feet,(1) 75 (2) 100 (3) 150,Alternative,75,Feet,50,Feet,50,Feet,,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,(1) 30 (2) 20 (3) 15,Alternative,40,Percent,90,Percent,75,Percent,,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,,,,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,No,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,,Feet,40,Feet,60,Feet,60,Feet,60,Feet,,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,,,,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,(1) 0.28 (2) 0.46 (3) 0.92,Alternative,0.2,Acres Per Treatment,0.08,Acres Per Treatment,0.08,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,(1) 14.3 (2) 8.7 (3) 4.3,Units Per Acre,20,Units Per Acre,50,Units Per Acre,50,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),,Feet,,Feet,,Feet,(1) 30 (2) 40 (3) 40,Alternative,25,Feet,,N/A,10,Feet,,Feet,,Feet,,N/A,,N/A
Side Setback (ft),,Feet,,Feet,,Feet,(1) 12 (2) 20 (3) 30,Alternative,10,Feet,,N/A,10,Feet,,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),,Feet,,Feet,,Feet,(1) 30 (2) 30 (3) 40,Alternative,20,Feet,,N/A,20,Feet,,Feet,,Feet,,N/A,,N/A
Frontage (ft),,Feet,,Feet,,Feet,(1) 75 (2) 100 (3) 150,Alternative,75,Feet,50,Feet,50,Feet,,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,(1) 30 (2) 20 (3) 15,Alternative,40,Percent,90,Percent,75,Percent,,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,,,,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,No,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,,Feet,40,Feet,60,Feet,60,Feet,60,Feet,,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,,,,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,(1) 0.28 (2) 0.46 (3) 0.92,Alternative,0.25,Acres Per Treatment,0.1,Acres Per Treatment,0.1,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,(1) 17.9 (2) 10.9 (3) 5.4,Alternative,20,Units Per Acre,50,Units Per Acre,50,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A
Front Setback (ft),,Feet,,Feet,,Feet,(1) 30 (2) 40 (3) 40,Alternative,25,Feet,,N/A,10,Feet,,Feet,,Feet,,N/A,,N/A
Side Setback (ft),,Feet,,Feet,,Feet,(1) 12 (2) 20 (3) 30,Alternative,10,Feet,,N/A,10,Feet,,Feet,,Feet,,N/A,,N/A
Rear Setback (ft),,Feet,,Feet,,Feet,(1) 30 (2) 30 (3) 40,Alternative,20,Feet,,N/A,20,Feet,,Feet,,Feet,,N/A,,N/A
Frontage (ft),,Feet,,Feet,,Feet,(1) 75 (2) 100 (3) 150,Alternative,75,Feet,50,Feet,50,Feet,,Feet,,Feet,,N/A,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,Percent,(1) 30 (2) 20 (3) 15,Alternative,40,Percent,90,Percent,75,Percent,,Percent,,Percent,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Connection to Sewer and/or Water Required,,,,,,,Yes,,Yes,,Yes,,Yes,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,No,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,,Feet,40,Feet,60,Feet,60,Feet,60,Feet,,Feet,,Feet,,N/A,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,
Definition,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,
Minimum Lot Size (acres),25; 10,Acres Per Treatment,5,Acres Per Treatment,0.92,Acres Per Treatment,(1) 0.28 (2) 0.46 (3) 0.92,Alternative,0.05,Acres Per Treatment,0.02,Acres Per Treatment,0.02,Acres Per Treatment,0.46,Acres Per Treatment,0.92,Acres Per Treatment,,N/A,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A,,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,,N/A,,N/A
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,No,,No,,No,,No,,No,,Yes,,No,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,1,Acres Per Treatment,,N/A,,N/A,,N/A
Maximum Density (units/acre),,N/A,0.5,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
