Abbreviated District Name,RL,Units/Special,LD,Units/Special,MD,Units/Special,HD,Units/Special,LAKE,Units/Special
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet
3-Family Dimensions,,,,,,,,,,
Affordable Housing Only,,,,,No,,No,,,
Elderly Housing Only,,,,,No,,No,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,0.46,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,1.5,Units Per Acre,6.5,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,25,Feet,25,Feet,,Feet
Side Setback (ft),,Feet,,Feet,25,Feet,10,Feet,,Feet
Rear Setback (ft),,Feet,,Feet,25,Feet,10,Feet,,Feet
Frontage (ft),,Feet,,Feet,150,Feet,100,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,Yes,,Yes,,,
Connection or Proximity to Public Transit Required,,,,,No,,No,,,
Max. Stories,,Stories,,Stories,,N/A,,N/A,,Stories
Max. Height (ft),,Feet,,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,No,,No,,,
Elderly Housing Only,,,,,No,,No,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,0.46,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,2,Units Per Acre,8.7,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,25,Feet,25,Feet,,Feet
Side Setback (ft),,Feet,,Feet,25,Feet,10,Feet,,Feet
Rear Setback (ft),,Feet,,Feet,25,Feet,10,Feet,,Feet
Frontage (ft),,Feet,,Feet,150,Feet,100,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,Yes,,Yes,,,
Connection or Proximity to Public Transit Required,,,,,No,,No,,,
Max. Stories,,Stories,,Stories,,N/A,,N/A,,Stories
Max. Height (ft),,Feet,,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,No,,No,,,
Elderly Housing Only,,,,,No,,No,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,0.46,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,2.5,Units Per Acre,10.9,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,,Feet,25,Feet,25,Feet,,Feet
Side Setback (ft),,Feet,,Feet,25,Feet,10,Feet,,Feet
Rear Setback (ft),,Feet,,Feet,25,Feet,10,Feet,,Feet
Frontage (ft),,Feet,,Feet,150,Feet,100,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,N/A,,N/A,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,,,Yes,,Yes,,,
Connection or Proximity to Public Transit Required,,,,,No,,No,,,
Max. Stories,,Stories,,Stories,,N/A,,N/A,,Stories
Max. Height (ft),,Feet,,Feet,35,Feet,35,Feet,,Feet
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,
Owner Occupancy Required,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,
Minimum Lot Size (acres),1,Acres Per Treatment,5,Acres Per Treatment,2,Acres Per Treatment,0.46,Acres Per Treatment,2,Acres Per Treatment
Minimum Parking Spaces,0,Spaces Per Unit,0,Spaces Per Unit,0,Spaces Per Unit,0,Spaces Per Unit,0,Spaces Per Unit
Restricted to Only Primary Structure,No,,No,,No,,No,,No,
Max. ADU Size (%),,N/A,,N/A,,N/A,,N/A,,N/A
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,
PUD Threshold #,,,,,,,,,,
PUD Allowed,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
