Abbreviated District Name,RHO,Units/Special,RD,Units/Special,VD,Units/Special,FHO,Units/Special
Elderly Housing Only,,,No,,No,,,
Minimum Lot Size (acres),,N/A,2,Acres Per Treatment,2,Acres Per Treatment,,N/A
Minimum Parking Spaces,,N/A,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Restricted to Only Primary Structure,,N/A,No,,No,,,N/A
Max. ADU Size (%),,N/A,,N/A,,N/A,,N/A
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,Yes,,No,,,
Minimum Lot Size (acres),,N/A,2,Acres Per Treatment,2,Acres Per Treatment,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A
Max. Units,,N/A,,N/A,,N/A,,N/A
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,
PUD Threshold #,,,,,,,,
PUD Allowed,,,,,,,,
PUD requiring land conservation,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,,,,,,,
