Abbreviated District Name,CHH,Units/Special,FH,Units/Special,SL,Units/Special
Connection or Proximity to Public Transit Required,,N/A,,,,N/A
Max. Stories,,N/A,,,,N/A
Max. Height (ft),,N/A,,,,N/A
Floor to Area Ratio,,N/A,,,,N/A
Minimum Unit Size (sq. ft.),,N/A,,,,N/A
Max. Bedrooms,,N/A,,,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,No,
Elderly Housing Only,No,,,,No,
Minimum Lot Size (acres),,N/A,,,,N/A
Maximum Density (units/acre),,N/A,,,,N/A
Front Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Side Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Rear Setback (ft),,N/A,,,75 feet from shoreline,Contextual
Frontage (ft),,N/A,,,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,,,N/A
Connection to Sewer and/or Water Required,,N/A,,,,N/A
Connection or Proximity to Public Transit Required,,N/A,,,,N/A
Max. Stories,,N/A,,,,N/A
Max. Height (ft),,N/A,,,,N/A
Floor to Area Ratio,,N/A,,,,N/A
Minimum Unit Size (sq. ft.),,N/A,,,,N/A
Max. Bedrooms,,N/A,,,,N/A
Max. Units Per Building,,N/A,,,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,,
Elderly Housing Only,,,,,,
Minimum Lot Size (acres),,,,,,
Maximum Density (units/acre),,,,,,
Front Setback (ft),,,,,,
Side Setback (ft),,,,,,
Rear Setback (ft),,,,,,
Frontage (ft),,,,,,
Max. Lot Coverage - Buildings (%),,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,
Minimum Parking Spaces per Studio or 1BR,,,,,,
Minimum Parking Spaces per 2+ BR,,,,,,
Connection to Sewer and/or Water Required,,,,,,
Connection or Proximity to Public Transit Required,,,,,,
Max. Stories,,,,,,
Max. Height (ft),,,,,,
Floor to Area Ratio,,,,,,
Minimum Unit Size (sq. ft.),,,,,,
Max. Bedrooms,,,,,,
Max. Units Per Building,,,,,,
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,
Elderly Housing Only,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,
Maximum Density (units/acre),,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,N/A
Employee or Family Occupancy Required,,,,,,
Renter Occupancy Required,,,,,,
Owner Occupancy Required,,,,,,
Elderly Housing Only,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A
Minimum Parking Spaces,,N/A,,N/A,,N/A
Restricted to Only Primary Structure,,N/A,,N/A,,N/A
Max. ADU Size (%),,N/A,,N/A,,N/A
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A
Max. Units,,N/A,,N/A,,N/A
PUD Questions,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,
PUD Threshold #,,,,,,
PUD Allowed,,,,,,
PUD requiring land conservation,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,,,,,
