Abbreviated District Name,COM,Units/Special,R3,Units/Special,R1,Units/Special,RLD,Units/Special,RMD,Units/Special,RHD,Units/Special,RO,Units/Special,CC,Units/Special,CLI,Units/Special,LC,Units/Special,INN,Units/Special,Conservation District,Units/Special,Flood Hazard District,Units/Special,Design Review District,Units/Special,Scenic Ridgeline District,Units/Special
Frontage (ft),,Feet,"100 feet on Routes 4, 12, and 106; 75 ft along a street; 50 ft at the end of a cul-de-sac",Contextual, 75 ft along a street; 50 ft at the end of a cul-de-sac,Contextual,75,Feet,50,Feet,50,Feet,75,Feet,50,Feet,50,Feet,50,Feet,150,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
2-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.46,Acres Per Treatment,0.18,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,8,Units Per Acre,8,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,"80 ft on Routes 4, 12, or 106; 60 ft otherwise",Contextual,60,Feet,"50 ft on Routes 4, 12, and 106; 35 ft otherwise",Contextual,"35 ft on Routes 4, 12, and 106; 25 ft otherwise",Contextual,25,Feet,30,Feet,30,Feet,30,Feet,50,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,25,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,N/A,15,Feet,15,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,25,Feet,25,Feet,20,Feet,20,Feet,,Feet,,N/A,,N/A,20,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,"100 feet on Routes 4, 12, and 106; 75 ft along a street; 50 ft at the end of a cul-de-sac",Contextual, 75 ft along a street; 50 ft at the end of a cul-de-sac,Feet,75,Feet,50,Feet,50,Feet,75,Feet,50,Feet,50,Feet,50,Feet,150,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,35,Feet,35,Feet,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,N/A,,N/A,35,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
3-Family Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Only,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.92,Acres Per Treatment,0.37,Acres Per Treatment,0.25,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,8,Units Per Acre,8,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,"80 ft on Routes 4, 12, or 106; 60 ft otherwise",Contextual,60,Feet,"50 ft on Routes 4, 12, and 106; 35 ft otherwise",Contextual,"35 ft on Routes 4, 12, and 106; 25 ft otherwise",Contextual,25,Feet,30,Feet,30,Feet,30,Feet,50,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,25,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,N/A,15,Feet,15,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,25,Feet,25,Feet,20,Feet,20,Feet,,Feet,,N/A,,N/A,20,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,"100 feet on Routes 4, 12, and 106; 75 ft along a street; 50 ft at the end of a cul-de-sac",Contextual, 75 ft along a street; 50 ft at the end of a cul-de-sac,Feet,75,Feet,50,Feet,50,Feet,75,Feet,50,Feet,50,Feet,50,Feet,150,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.92,Acres Per Treatment,0.37,Acres Per Treatment,0.25,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,8,Units Per Acre,8,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,"80 ft on Routes 4, 12, or 106; 60 ft otherwise",Contextual,60,Feet,"50 ft on Routes 4, 12, and 106; 35 ft otherwise",Contextual,"35 ft on Routes 4, 12, and 106; 25 ft otherwise",Contextual,25,Feet,30,Feet,30,Feet,30,Feet,50,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,25,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,N/A,15,Feet,15,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,25,Feet,25,Feet,20,Feet,20,Feet,,Feet,,N/A,,N/A,20,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,"100 feet on Routes 4, 12, and 106; 75 ft along a street; 50 ft at the end of a cul-de-sac",Contextual, 75 ft along a street; 50 ft at the end of a cul-de-sac,Feet,75,Feet,50,Feet,50,Feet,75,Feet,50,Feet,50,Feet,50,Feet,150,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Elderly Housing Only,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,3,Acres Per Treatment,1,Acres Per Treatment,0.92,Acres Per Treatment,0.37,Acres Per Treatment,0.25,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment,0.23,Acres Per Treatment,0.23,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,8,Units Per Acre,8,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Front Setback (ft),,Feet,"80 ft on Routes 4, 12, or 106; 60 ft otherwise",Contextual,60,Feet,"50 ft on Routes 4, 12, and 106; 35 ft otherwise",Contextual,"35 ft on Routes 4, 12, and 106; 25 ft otherwise",Contextual,25,Feet,30,Feet,30,Feet,30,Feet,50,Feet,50,Feet,,Feet,,Feet,,Feet,,Feet
Side Setback (ft),,Feet,25,Feet,25,Feet,15,Feet,15,Feet,15,Feet,15,Feet,,N/A,15,Feet,15,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Rear Setback (ft),,Feet,25,Feet,25,Feet,25,Feet,20,Feet,20,Feet,,Feet,,N/A,,N/A,20,Feet,25,Feet,,Feet,,Feet,,Feet,,Feet
Frontage (ft),,Feet,"100 feet on Routes 4, 12, and 106; 75 ft along a street; 50 ft at the end of a cul-de-sac",Contextual, 75 ft along a street; 50 ft at the end of a cul-de-sac,Feet,75,Feet,50,Feet,50,Feet,75,Feet,50,Feet,50,Feet,50,Feet,150,Feet,,Feet,,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,,,
Max. Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,Feet,,Feet,,Feet
Floor to Area Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
