Abbreviated District Name,VR,Units/Special,SSH,Units/Special,RR,Units/Special,UC,Units/Special,MULI,Units/Special,SFHA,Units/Special
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,,,,
Elderly Housing Only,No,,No,,No,,No,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),8,Units Per Acre,8,Units Per Acre,4,Units Per Acre,0.4,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),40,Feet,40,Feet,50,Feet,50,Feet,,Feet,,N/A
Side Setback (ft),15,Feet,15,Feet,25,Feet,25,Feet,,Feet,,N/A
Rear Setback (ft),10,Feet,10,Feet,25,Feet,25,Feet,,Feet,,N/A
Frontage (ft),100,Feet,100,Feet,100,Feet,400,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),20,Percent,20,Percent,20,Percent,2.5,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,No,,No,,No,,,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,No,,No,,,,,
Elderly Housing Only,No,,No,,No,,No,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,10,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),10,Units Per Acre,10,Units Per Acre,5,Units Per Acre,0.5,Units Per Acre,,Units Per Acre,,N/A
Front Setback (ft),40,Feet,40,Feet,50,Feet,50,Feet,,Feet,,N/A
Side Setback (ft),15,Feet,15,Feet,25,Feet,25,Feet,,Feet,,N/A
Rear Setback (ft),10,Feet,10,Feet,25,Feet,25,Feet,,Feet,,N/A
Frontage (ft),100,Feet,100,Feet,100,Feet,400,Feet,,Feet,,N/A
Max. Lot Coverage - Buildings (%),,N/A,,N/A,,N/A,,N/A,,Percent,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),20,Percent,20,Percent,20,Percent,2.5,Percent,,Percent,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,No,,No,,No,,No,,,,,
Connection or Proximity to Public Transit Required,No,,No,,No,,No,,,,,
Max. Stories,,N/A,,N/A,,N/A,,N/A,,Stories,,N/A
Max. Height (ft),35,Feet,35,Feet,35,Feet,35,Feet,,Feet,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,Ratio,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,Units Per Building,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,
Owner Occupancy Required,No,,No,,No,,No,,No,,No,
Elderly Housing Only,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),0.5,Acres Per Treatment,0.5,Acres Per Treatment,1,Acres Per Treatment,10,Acres Per Treatment,1,Acres Per Treatment,,N/A
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,
Max. ADU Size (%),50,Percent,50,Percent,50,Percent,50,Percent,50,Percent,50,N/A
Max. ADU Size (sq. ft.),1500,Square Feet,1500,Square Feet,1500,Square Feet,1500,Square Feet,1500,Square Feet,1500,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,Yes,,No,,No,,No,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
