Abbreviated District Name,VIL,Units/Special,A/R,Units/Special,CON,Units/Special,FHO,Units/Special,PL,Units/Special,SLO,Units/Special,SP,Units/Special
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A,,
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A,,
Max. Stories,,N/A,,N/A,,Stories,,N/A,,Stories,,N/A,,
Max. Height (ft),,N/A,,N/A,,Feet,,N/A,,Feet,,N/A,,
Floor to Area Ratio,,N/A,,N/A,,Ratio,,N/A,,Ratio,,N/A,,
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,
3-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,,,,,,,,,,,,
Elderly Housing Only,No,,,,,,,,,,,,,
Minimum Lot Size (acres),0.5 acre/1+2 unit + 0.5/addt'l unit in existing pond village; 1 acre/1+2 unit + 1/addt'l unit in extended pond village; 3 acres/1+2 unit +3/addt'l unit in east brookfield,Alternative,,Acres Per Treatment,,Acres Per Treatment,,N/A,,Acres Per Treatment,,,,
Maximum Density (units/acre),,N/A,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,,,
Front Setback (ft),40,Feet,,Feet,,Feet,,N/A,,Feet,,,,
Side Setback (ft),20'/existing pond village; 25'/extended village + east brookfield,Alternative,,Feet,,Feet,,N/A,,Feet,,,,
Rear Setback (ft),20'/existing pond village; 25'/extended village + east brookfield,Alternative,,Feet,,Feet,,N/A,,Feet,,,,
Frontage (ft),75'/existing pond village; 100'/extended; 200'/east brookfield,Alternative,,Feet,,Feet,,N/A,,Feet,,,,
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A,,Percent,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A,,Percent,,,,
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,,,
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,,,
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,Stories,,Stories,,N/A,,Stories,,,,
Max. Height (ft),,N/A,,Feet,,Feet,,N/A,,Feet,,,,
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A,,Ratio,,,,
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet,,,,
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,,,
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,,,,,,,,
Elderly Housing Only,No,,,,,,,,,,,,,
Minimum Lot Size (acres),0.5 acre/1+2 unit + 0.5/addt'l unit in existing pond village; 1 acre/1+2 unit + 1/addt'l unit in extended pond village; 3 acres/1+2 unit +3/addt'l unit in east brookfield,Alternative,,Acres Per Treatment,,Acres Per Treatment,,N/A,,Acres Per Treatment,,,,
Maximum Density (units/acre),,N/A,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,,,
Front Setback (ft),40,Feet,,Feet,,Feet,,N/A,,Feet,,,,
Side Setback (ft),20'/existing pond village; 25'/extended village + east brookfield,Alternative,,Feet,,Feet,,N/A,,Feet,,,,
Rear Setback (ft),20'/existing pond village; 25'/extended village + east brookfield,Alternative,,Feet,,Feet,,N/A,,Feet,,,,
Frontage (ft),75'/existing pond village; 100'/extended; 200'/east brookfield,Alternative,,Feet,,Feet,,N/A,,Feet,,,,
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A,,Percent,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A,,Percent,,,,
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,,,
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,,,
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,Stories,,Stories,,N/A,,Stories,,,,
Max. Height (ft),,N/A,,Feet,,Feet,,N/A,,Feet,,,,
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A,,Ratio,,,,
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet,,,,
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,,,
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,,,
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,,,,,,,,,,
Elderly Housing Only,No,,,,,,,,,,,,,
Minimum Lot Size (acres),0.5 acre/1+2 unit + 0.5/addt'l unit in existing pond village; 1 acre/1+2 unit + 1/addt'l unit in extended pond village; 3 acres/1+2 unit +3/addt'l unit in east brookfield,Alternative,,Acres Per Treatment,,Acres Per Treatment,,N/A,,Acres Per Treatment,,,,
Maximum Density (units/acre),,N/A,,Units Per Acre,,Units Per Acre,,N/A,,Units Per Acre,,,,
Front Setback (ft),40,Feet,,Feet,,Feet,,N/A,,Feet,,,,
Side Setback (ft),20'/existing pond village; 25'/extended village + east brookfield,Alternative,,Feet,,Feet,,N/A,,Feet,,,,
Rear Setback (ft),20'/existing pond village; 25'/extended village + east brookfield,Alternative,,Feet,,Feet,,N/A,,Feet,,,,
Frontage (ft),75'/existing pond village; 100'/extended; 200'/east brookfield,Alternative,,Feet,,Feet,,N/A,,Feet,,,,
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,Percent,,N/A,,Percent,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,Percent,,N/A,,Percent,,,,
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,,,
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,N/A,,Spaces Per Unit,,,,
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,Stories,,Stories,,N/A,,Stories,,,,
Max. Height (ft),,N/A,,Feet,,Feet,,N/A,,Feet,,,,
Floor to Area Ratio,,N/A,,Ratio,,Ratio,,N/A,,Ratio,,,,
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,Square Feet,,N/A,,Square Feet,,,,
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,,,
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,,,
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,
Elderly Housing Only,No,,No,,,,,,,,,N/A,,N/A
Minimum Lot Size (acres),0.5 acre/1+2 unit + 0.5/addt'l unit in existing pond village; 1 acre/1+2 unit + 1/addt'l unit in extended pond village; 3 acres/1+2 unit +3/addt'l unit in east brookfield,Alternative,5,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,2,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,2,Spaces Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,,,,,,N/A,No,
Renter Occupancy Required,No,,No,,No,,,,,,,N/A,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,,,,,,N/A,Yes,
Elderly Housing Only,No,,No,,No,,,,,,,N/A,No,
Minimum Lot Size (acres),0.5 acre/1+2 unit + 0.5/addt'l unit in existing pond village; 1 acre/1+2 unit + 1/addt'l unit in extended pond village; 3 acres/1+2 unit +3/addt'l unit in east brookfield,Alternative,5,Acres Per Treatment,25,Acres Per Treatment,,N/A,,Acres Per Treatment,,N/A,25,Acres Per Treatment
Minimum Parking Spaces,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,N/A,,Spaces Per Unit,,N/A,2,Spaces Per Unit
Restricted to Only Primary Structure,Yes,,Yes,,Yes,,,,,,,,Yes,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,,N/A,,Percent,,N/A,30,Percent
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,Square Feet,,N/A,,N/A
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,1,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,
Minimum Lot Size (acres),2 acres/pond village; 3 acres/east brookfield,Alternative,10,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),must not exceed density if land was subdivided into conforming lots; planning commission can grant up to 25% increase in density,Contextual,must not exceed density if land was subdivided into conforming lots; planning commission can grant up to 25% increase in density,Contextual,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,,,
