Abbreviated District Name,VMU,Units/Special,VR,Units/Special,AR I,Units/Special,AR II,Units/Special,R,Units/Special,CSO,Units/Special,FHO,Units/Special
Rear Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 15 feet; Neither Off-Lot Water or Sewer: 25 feet,Contextual,,Feet,100,Feet,,Feet,100,Feet,,Feet,,Feet
Frontage (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 80 feet; Neither Off-Lot Water or Sewer: 150 feet,Contextual,,Feet,200,Feet,,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,,,No,,,,No,,,,,
Connection or Proximity to Public Transit Required,No,,,,No,,,,No,,,,,
Max. Stories,,N/A,,Stories,,N/A,,Stories,,N/A,,Stories,,Stories
Max. Height (ft),,N/A,,Feet,,N/A,,Feet,,N/A,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A,,Ratio,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,No,,,,No,,,,,
Elderly Housing Only,No,,,,No,,,,No,,,,,
Minimum Lot Size (acres),Off-Lot Water and Sewer: 0.25 acres; Off-Lot Water or Sewer: 0.35 acres; Neither Off-Lot Water or Sewer: 0.75 acres,Contextual,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 40 feet; Neither Off-Lot Water or Sewer: 55 feet,Contextual,,Feet,75,Feet,,Feet,75,Feet,,Feet,,Feet
Side Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 10 feet; Neither Off-Lot Water or Sewer: 15 feet,Contextual,,Feet,50,Feet,,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 15 feet; Neither Off-Lot Water or Sewer: 25 feet,Contextual,,Feet,100,Feet,,Feet,100,Feet,,Feet,,Feet
Frontage (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 80 feet; Neither Off-Lot Water or Sewer: 150 feet,Contextual,,Feet,200,Feet,,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,,,No,,,,No,,,,,
Connection or Proximity to Public Transit Required,No,,,,No,,,,No,,,,,
Max. Stories,,N/A,,Stories,,N/A,,Stories,,N/A,,Stories,,Stories
Max. Height (ft),,N/A,,Feet,,N/A,,Feet,,N/A,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A,,Ratio,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,,,No,,,,No,,,,,
Elderly Housing Only,No,,,,No,,,,No,,,,,
Minimum Lot Size (acres),Off-Lot Water and Sewer: 0.25 acres; Off-Lot Water or Sewer: 0.35 acres; Neither Off-Lot Water or Sewer: 0.75 acres,Contextual,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,Units Per Acre,,N/A,,Units Per Acre,,N/A,,Units Per Acre,,Units Per Acre
Front Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 40 feet; Neither Off-Lot Water or Sewer: 55 feet,Contextual,,Feet,75,Feet,,Feet,75,Feet,,Feet,,Feet
Side Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 10 feet; Neither Off-Lot Water or Sewer: 15 feet,Contextual,,Feet,50,Feet,,Feet,50,Feet,,Feet,,Feet
Rear Setback (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 15 feet; Neither Off-Lot Water or Sewer: 25 feet,Contextual,,Feet,100,Feet,,Feet,100,Feet,,Feet,,Feet
Frontage (ft),Off-Lot Water and Sewer/Off-Lot Water or Sewer: 80 feet; Neither Off-Lot Water or Sewer: 150 feet,Contextual,,Feet,200,Feet,,Feet,200,Feet,,Feet,,Feet
Max. Lot Coverage - Buildings (%),,N/A,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,Percent,,N/A,,Percent,,N/A,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Connection to Sewer and/or Water Required,No,,,,No,,,,No,,,,,
Connection or Proximity to Public Transit Required,No,,,,No,,,,No,,,,,
Max. Stories,,N/A,,Stories,,N/A,,Stories,,N/A,,Stories,,Stories
Max. Height (ft),,N/A,,Feet,,N/A,,Feet,,N/A,,Feet,,Feet
Floor to Area Ratio,,N/A,,Ratio,,N/A,,Ratio,,N/A,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,N/A,,Square Feet,,N/A,,Square Feet,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,,,,
Renter Occupancy Required,No,,No,,No,,No,,No,,,,,
Owner Occupancy Required,No,,No,,No,,No,,No,,,,,
Elderly Housing Only,No,,No,,No,,No,,No,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,,,,
Max. ADU Size (%),30,Percent,30,Percent,30,Percent,30,Percent,30,Percent,,Percent,,Percent
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,Square Feet,,Square Feet
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,Yes,,No,,No,,,,,
Minimum Lot Size (acres),,N/A,,N/A,,N/A,,N/A,,N/A,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,N/A,,N/A,,N/A,,N/A,,N/A,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,No,,No,,No,,No,,No,,No,,,
PUD Threshold #,,,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,
PUD requiring land conservation,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
