Abbreviated District Name,VR,Units/Special,R1,Units/Special,R3,Units/Special,VC,Units/Special,SC,Units/Special,RC,Units/Special,RCO,Units/Special,S,Units/Special,FHO,Units/Special
Minimum Lot Size (acres),1,,1,,3,,1,,1,,1,,,,10,,,
Maximum Density (units/acre),1,,1,,0.33,,1,,1,,1,,,,0.1,,,
Front Setback (ft),15,,30,,40,,15,,50,,25,,,,10,,,
Side Setback (ft),10,,30,,50,,20,,50,,20,,,,50,,,
Rear Setback (ft),20,,30,,50,,30,,50,,30,,,,50,,,
Frontage (ft),75,,150,,300,,75,,150,,100,,,,50,,,
Max. Lot Coverage - Buildings (%),50,,10,,10,,50,,30,,50,,,,200,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,4,,,
Minimum Parking Spaces per Studio or 1BR,2,,2,,2,,2,,2,,2,,,,2,,,
Minimum Parking Spaces per 2+ BR,2,,2,,2,,2,,2,,2,,,,2,,,
Max. Stories,,,,,,,,,,,,,,,,,,
Max. Height (ft),35,,35,,35,,35,,35,,35,,,,35,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,
3-Family Dimensions,,,,,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,,,No,,,,No,,,,,,,
Elderly Housing Only,No,,No,,,,No,,,,No,,,,,,,
Minimum Lot Size (acres),1,,1,,,,1,,,,1,,,,,,,
Maximum Density (units/acre),1,,1,,,,1,,,,1,,,,,,,
Front Setback (ft),15,,30,,,,15,,,,25,,,,,,,
Side Setback (ft),10,,30,,,,20,,,,20,,,,,,,
Rear Setback (ft),20,,30,,,,30,,,,30,,,,,,,
Frontage (ft),75,,150,,,,75,,,,100,,,,,,,
Max. Lot Coverage - Buildings (%),50,,10,,,,50,,,,50,,,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,1.5,,1.5,,,,1.5,,,,1.5,,,,,,,
Minimum Parking Spaces per 2+ BR,1.5,,1.5,,,,1.5,,,,1.5,,,,,,,
Connection to Sewer and/or Water Required,No,,No,,,,No,,,,No,,,,,,,
Connection or Proximity to Public Transit Required,No,,No,,,,No,,,,No,,,,,,,
Max. Stories,,,,,,,,,,,,,,,,,,
Max. Height (ft),35,,35,,,,35,,,,35,,,,,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,
Max. Bedrooms,,,,,,,,,,,,,,,,,,
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,No,,,,No,,,,,,,
Elderly Housing Only,No,,No,,,,No,,,,No,,,,,,,
Minimum Lot Size (acres),1,,1,,,,1,,,,1,,,,,,,
Maximum Density (units/acre),1,,1,,,,1,,,,1,,,,,,,
Front Setback (ft),15,,30,,,,15,,,,25,,,,,,,
Side Setback (ft),10,,30,,,,20,,,,20,,,,,,,
Rear Setback (ft),20,,30,,,,30,,,,30,,,,,,,
Frontage (ft),75,,150,,,,75,,,,100,,,,,,,
Max. Lot Coverage - Buildings (%),50,,10,,,,50,,,,50,,,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,1.5,,1.5,,,,1.5,,,,1.5,,,,,,,
Minimum Parking Spaces per 2+ BR,1.5,,1.5,,,,1.5,,,,1.5,,,,,,,
Connection to Sewer and/or Water Required,No,,No,,,,No,,,,No,,,,,,,
Connection or Proximity to Public Transit Required,No,,No,,,,No,,,,No,,,,,,,
Max. Stories,,,,,,,,,,,,,,,,,,
Max. Height (ft),35,,35,,,,35,,,,35,,,,,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,
Max. Bedrooms,,,,,,,,,,,,,,,,,,
Max. Units Per Building,,,,,,,,,,,,,,,,,,
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,No,,,,No,,,,,,,
Elderly Housing Only,No,,No,,,,No,,,,No,,,,,,,
Minimum Lot Size (acres),1,,1,,,,1,,,,1,,,,,,,
Maximum Density (units/acre),1,,1,,,,1,,,,1,,,,,,,
Front Setback (ft),15,,30,,,,15,,,,25,,,,,,,
Side Setback (ft),10,,30,,,,20,,,,20,,,,,,,
Rear Setback (ft),20,,30,,,,30,,,,30,,,,,,,
Frontage (ft),75,,150,,,,75,,,,100,,,,,,,
Max. Lot Coverage - Buildings (%),50,,10,,,,50,,,,50,,,,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,1.5,,1.5,,,,1.5,,,,1.5,,,,,,,
Minimum Parking Spaces per 2+ BR,1.5,,1.5,,,,1.5,,,,1.5,,,,,,,
Connection to Sewer and/or Water Required,No,,No,,,,No,,,,No,,,,,,,
Connection or Proximity to Public Transit Required,No,,No,,,,No,,,,No,,,,,,,
Max. Stories,,,,,,,,,,,,,,,,,,
Max. Height (ft),35,,35,,,,35,,,,35,,,,,,,
Floor to Area Ratio,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,
Max. Bedrooms,,,,,,,,,,,,,,,,,,
Max. Units Per Building,,,,,,,,,,,,,,,,,,
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,,,,,
Minimum Lot Size (acres),,,,,,,,,,,,,,,,,,
Maximum Density (units/acre),,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per Studio or 1BR,,,,,,,,,,,,,,,,,,
Minimum Parking Spaces per 2+ BR,,,,,,,,,,,,,,,,,,
Minimum Unit Size (sq. ft.),,,,,,,,,,,,,,,,,,
Max. Bedrooms,,,,,,,,,,,,,,,,,,
Max. Units Per Building,,,,,,,,,,,,,,,,,,
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,,,,No,,,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,,,,No,,,
Owner Occupancy Required,No,,No,,No,,No,,No,,No,,,,No,,,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,,,No,,,
Minimum Lot Size (acres),,,,,,,,,,,,,,,,,,
Minimum Parking Spaces,1,,1,,1,,1,,1,,1,,,,1,,,
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,,,,No,,,
Max. ADU Size (%),60,,60,,60,,60,,60,,60,,,,60,,,
Max. ADU Size (sq. ft.),1000,,1000,,1000,,1000,,1000,,1000,,,,1000,,,
Max. Bedrooms,,,,,,,,,,,,,,,,,,
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,Yes,,Yes,,No,,No,,No,,,,No,,,
Minimum Lot Size (acres),,,,,,,,,,,,,,,,,,
Maximum Density (units/acre),1.5,,1.5,,0.5,,1.5,,1.5,,1.5,,,,1.5,,,
Max. Units,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,,
PUD requiring land conservation,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,,,,,,,,,,,,,,,,,
