Abbreviated District Name,RD,Units/Special,LD,Units/Special,MD,Units/Special,HD,Units/Special,MU,Units/Special,I,Units/Special,SLO,Units/Special
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,,,Yes,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,,,,,No,,No,,No,,No,,No,
Max. Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,35,Feet,35,Feet,35,Feet,40,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,N/A,,N/A,,N/A,,N/A,,N/A
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,,,No,,No,,No,,No,,No,
Elderly Housing Only,,,,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,A: 0.5; B: 1; C: 2,Alternative,0.162,Acres Per Treatment,0.162,Acres Per Treatment,1,Acres Per Treatment,,N/A
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,A: 10; B: 5; C: 2.5,Alternative,30.9,Units Per Acre,24.7,Units Per Acre,5,Units Per Acre,,N/A
Front Setback (ft),,Feet,,Feet,50,Feet,45,Feet,40,Feet,30,Feet,,N/A
Side Setback (ft),,Feet,,Feet,A: 10; B&C: 15,Alternative,5,Feet,5,Feet,15,Feet,,N/A
Rear Setback (ft),,Feet,,Feet,A: 10; B&C: 15,Alternative,5,Feet,5,Feet,10,Feet,,N/A
Frontage (ft),,Feet,,Feet,A: 90; B: 100; C: 150,Alternative,70,Feet,50,Feet,100,Feet,,N/A
Max. Lot Coverage - Buildings (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,1.5,Spaces Per Unit,,N/A
Connection to Sewer and/or Water Required,,,,,Yes,,Yes,,Yes,,Yes,,Yes,
Connection or Proximity to Public Transit Required,,,,,No,,No,,No,,No,,No,
Max. Stories,,Stories,,Stories,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Height (ft),,Feet,,Feet,35,Feet,35,Feet,35,Feet,40,Feet,,N/A
Floor to Area Ratio,,Ratio,,Ratio,,N/A,,N/A,,N/A,,N/A,,N/A
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units Per Building,,Units Per Building,,Units Per Building,,N/A,,Units Per Building,,N/A,,N/A,,N/A
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,No,,No,,No,,No,,No,,No,,No,
Renter Occupancy Required,No,,No,,No,,No,,No,,No,,No,
Owner Occupancy Required,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Elderly Housing Only,No,,No,,No,,No,,No,,No,,No,
Minimum Lot Size (acres),10,Acres Per Treatment,2,Acres Per Treatment,A: 0.5; B: 1; C: 2,Alternative,0.162,Acres Per Treatment,0.162,Acres Per Treatment,1,Acres Per Treatment,,N/A
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,N/A
Restricted to Only Primary Structure,No,,No,,No,,No,,No,,No,,No,
Max. ADU Size (%),65,Percent,65,Percent,65,Percent,65,Percent,65,Percent,65,Percent,,N/A
Max. ADU Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,N/A
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,Yes,,Yes,,Yes,,Yes,,Yes,,,
Minimum Lot Size (acres),,Acres Per Treatment,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Maximum Density (units/acre),,Units Per Acre,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Max. Units,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,
PUD Allowed,,,,,,,,,,,,,,
PUD requiring land conservation,,,,,,,,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
