Abbreviated District Name,BV,Units/Special,BR,Units/Special,RR 2,Units/Special,RR5,Units/Special,PVHD,Units/Special,FR,Units/Special,R11,Units/Special
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,,,N/A
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,,,N/A
Max. Stories,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A
Max. Height (ft),35,Feet,25,Feet,35,Feet,35,Feet,35,Feet,,,,N/A
Floor to Area Ratio,,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A
Minimum Unit Size (sq. ft.),,N/A,,N/A,,N/A,,N/A,,N/A,,,,N/A
3-Family Dimensions,,,,,,,,,,,,,,
Affordable Housing Only,No,,No,,,,,,,,,,,
Elderly Housing Only,No,,No,,,,,,,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,,,
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,,,
Front Setback (ft),55,Feet,100,Feet,,Feet,,Feet,,Feet,,,,
Side Setback (ft),25,Feet,75,Feet,,Feet,,Feet,,Feet,,,,
Rear Setback (ft),25,Feet,75,Feet,,Feet,,Feet,,Feet,,,,
Frontage (ft),50,Feet,25,Feet,,Feet,,Feet,,Feet,,,,
Max. Lot Coverage - Buildings (%),15,Percent,15,Percent,,Percent,,Percent,,Percent,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent,,Percent,,,,
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,,,
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,,,
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,Stories,,Stories,,Stories,,,,
Max. Height (ft),35,Feet,25,Feet,,Feet,,Feet,,Feet,,,,
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,,,
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,,,
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,,,
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,,,,,,,,
Elderly Housing Only,No,,No,,,,,,,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,,,
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,,,
Front Setback (ft),55,Feet,100,Feet,,Feet,,Feet,,Feet,,,,
Side Setback (ft),25,Feet,75,Feet,,Feet,,Feet,,Feet,,,,
Rear Setback (ft),25,Feet,75,Feet,,Feet,,Feet,,Feet,,,,
Frontage (ft),50,Feet,25,Feet,,Feet,,Feet,,Feet,,,,
Max. Lot Coverage - Buildings (%),15,Percent,15,Percent,,Percent,,Percent,,Percent,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent,,Percent,,,,
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,,,
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,,,
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,Stories,,Stories,,Stories,,,,
Max. Height (ft),35,Feet,25,Feet,,Feet,,Feet,,Feet,,,,
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,,,
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,,,
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,,,
Max. Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,,,
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,No,,No,,,,,,,,,,,
Elderly Housing Only,No,,No,,,,,,,,,,,
Minimum Lot Size (acres),0.5,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,,,
Maximum Density (units/acre),,N/A,,N/A,,Units Per Acre,,Units Per Acre,,Units Per Acre,,,,
Front Setback (ft),55,Feet,100,Feet,,Feet,,Feet,,Feet,,,,
Side Setback (ft),25,Feet,75,Feet,,Feet,,Feet,,Feet,,,,
Rear Setback (ft),25,Feet,75,Feet,,Feet,,Feet,,Feet,,,,
Frontage (ft),50,Feet,25,Feet,,Feet,,Feet,,Feet,,,,
Max. Lot Coverage - Buildings (%),15,Percent,15,Percent,,Percent,,Percent,,Percent,,,,
Max. Lot coverage - Buildings & Impervious Surface (%),,N/A,,N/A,,Percent,,Percent,,Percent,,,,
Minimum Parking Spaces per Studio or 1BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,,,
Minimum Parking Spaces per 2+ BR,1,Spaces Per Unit,1,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,,,
Connection to Sewer and/or Water Required,,,,,,,,,,,,,,
Connection or Proximity to Public Transit Required,,,,,,,,,,,,,,
Max. Stories,,N/A,,N/A,,Stories,,Stories,,Stories,,,,
Max. Height (ft),35,Feet,25,Feet,,Feet,,Feet,,Feet,,,,
Floor to Area Ratio,,N/A,,N/A,,Ratio,,Ratio,,Ratio,,,,
Minimum Unit Size (sq. ft.),,N/A,,N/A,,Square Feet,,Square Feet,,Square Feet,,,,
Max. Bedrooms,,N/A,,N/A,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,,,
Max. Units Per Building,,N/A,,N/A,,Units Per Building,,Units Per Building,,Units Per Building,,,,
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,,,
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,,,
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,,,
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,,,
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,,,
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,,,
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,,,
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,,,,,,,,,,,,
Renter Occupancy Required,,,,,,,,,,,,,,
Owner Occupancy Required,,,,,,,,,,,,,,
Elderly Housing Only,,,,,,,,,,,,,,
Minimum Lot Size (acres),,N/A,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,,,
Minimum Parking Spaces,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,1,Spaces Per Unit,,,,
Restricted to Only Primary Structure,,,,,,,,,,,,,,
Max. ADU Size (%),40,Percent,40,Percent,40,Percent,40,Percent,40,Percent,,,,
Max. ADU Size (sq. ft.),1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,1000,Square Feet,,,,
Max. Bedrooms,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,1,Bedrooms Per Unit,,,,
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,,,,,,,,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,,,
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,,,
Max. Units,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,
PUD requiring land conservation,Yes,,Yes,,Yes,,Yes,,Yes,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,,,
