Abbreviated District Name,CON,Units/Special,VIL,Units/Special,RES,Units/Special,R-RES,Units/Special,COM/RES,Units/Special,R-COM/RES,Units/Special,FLOOD,Units/Special,HDRD,Units/Special,VDRD,Units/Special
Max. Lot Coverage - Buildings (%),,Percent,,Percent,25,Percent,25,Percent,25,Percent,25,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,No,,No,,No,,No,,,,No,,No,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,No,,,,No,,No,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,38,Feet,38,Feet,38,Feet,38,Feet,38,Feet,,Feet,38,Feet,38,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
4+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,No,,No,,No,,,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,No,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.125,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,2,Units Per Acre,1,Units Per Acre,1,Units Per Acre,1,Units Per Acre,1,Units Per Acre,,Units Per Acre,2,Units Per Acre,2,Units Per Acre
Front Setback (ft),,Feet,20,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,Feet,0,Feet,0,Feet
Side Setback (ft),,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,0,Feet,0,Feet
Rear Setback (ft),,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,0,Feet,0,Feet
Frontage (ft),,Feet,150,Feet,150,Feet,150,Feet,150,Feet,150,Feet,,Feet,40,Feet,40,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,25,Percent,25,Percent,25,Percent,25,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,No,,No,,No,,No,,,,No,,No,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,No,,,,No,,No,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,38,Feet,38,Feet,38,Feet,38,Feet,38,Feet,,Feet,38,Feet,38,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
5+-Family Dimensions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Affordable Housing Only,,,No,,No,,No,,No,,No,,,,No,,No,
Elderly Housing Only,,,No,,No,,No,,No,,No,,,,No,,No,
Minimum Lot Size (acres),,Acres Per Treatment,0.125,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,1,Acres Per Treatment,,Acres Per Treatment,0.125,Acres Per Treatment,0.125,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,2,Units Per Acre,1,Units Per Acre,1,Units Per Acre,1,Units Per Acre,1,Units Per Acre,,Units Per Acre,2,Units Per Acre,2,Units Per Acre
Front Setback (ft),,Feet,20,Feet,40,Feet,40,Feet,40,Feet,40,Feet,,Feet,0,Feet,0,Feet
Side Setback (ft),,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,0,Feet,0,Feet
Rear Setback (ft),,Feet,20,Feet,20,Feet,20,Feet,20,Feet,20,Feet,,Feet,0,Feet,0,Feet
Frontage (ft),,Feet,150,Feet,150,Feet,150,Feet,150,Feet,150,Feet,,Feet,40,Feet,40,Feet
Max. Lot Coverage - Buildings (%),,Percent,,Percent,25,Percent,25,Percent,25,Percent,25,Percent,,Percent,,Percent,,Percent
Max. Lot coverage - Buildings & Impervious Surface (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit
Connection to Sewer and/or Water Required,,,No,,No,,No,,No,,No,,,,No,,No,
Connection or Proximity to Public Transit Required,,,No,,No,,No,,No,,No,,,,No,,No,
Max. Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories,,Stories
Max. Height (ft),,Feet,38,Feet,38,Feet,38,Feet,38,Feet,38,Feet,,Feet,38,Feet,38,Feet
Floor to Area Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio,,Ratio
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Affordable Housing Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Definition," A housing development in which at least 20% or a minimum of 5 units, whichever is greater, are affordable housing units as defined by 24 V.S.A.§ 4303 (1). Affordable units shall be subject to covenants or restrictions that preserve their affordability for a minimum of 20 years from the date of their first sale or lease.",,,,,,,,,,,,,,,,,
Elderly Housing Only,,,No,,No,,No,,No,,No,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Minimum Parking Spaces per Studio or 1BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Parking Spaces per 2+ BR,,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,2,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Minimum Unit Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
Max. Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building,,Units Per Building
Accessory Dwelling Unit (ADU) Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Employee or Family Occupancy Required,,,No,,No,,No,,No,,No,,,,,,,
Renter Occupancy Required,,,No,,No,,No,,No,,No,,,,,,,
Owner Occupancy Required,,,No,,No,,No,,No,,No,,,,,,,
Elderly Housing Only,,,No,,No,,No,,No,,No,,,,,,,
Minimum Lot Size (acres),,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Minimum Parking Spaces,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit,,Spaces Per Unit
Restricted to Only Primary Structure,,,,,,,,,,,,,,,,,,
Max. ADU Size (%),,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent,,Percent
Max. ADU Size (sq. ft.),,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet,,Square Feet
Max. Bedrooms,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit,,Bedrooms Per Unit
PRD Specifications,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Mobile or Manufactured Home Park,No,,No,,Yes,,Yes,,Yes,,Yes,,,,,,,
Minimum Lot Size (acres),2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,2,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment,,Acres Per Treatment
Maximum Density (units/acre),5,Units Per Acre,5,Units Per Acre,5,Units Per Acre,5,Units Per Acre,5,Units Per Acre,5,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
Max. Units,,,,,,,,,,,,,,,,,,
PUD Questions,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
PUD required with Subdivision,,,,,,,,,,,,,,,,,,
PUD Threshold #,,,,,,,,,,,,,,,,,,
PUD Allowed,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,
PUD requiring land conservation,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,,
Miscellaneous,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special,,Units/Special
Base residential density (units/acre),,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre,,Units Per Acre
